Target Name	ID	EC value	E-Value (sequence)	Score (domain)
CP001157.1_4100541_4101746_+	phrog_1		2e-65	218.2
CP001157.1_3679716_3680918_-	phrog_1		4.2e-59	197.2
CP001157.1_4001036_4001932_-	phrog_1		6.4e-58	193.3
CP001157.1_4842584_4843483_+	phrog_1		5.6e-55	183.6
CP001157.1_3720276_3721523_+	phrog_1		3.8e-41	138.2
CP001157.1_1104157_1105377_+	phrog_100		2.4e-22	43.4
CP001157.1_1104157_1105377_+	phrog_100		2.4e-22	32.1
CP001157.1_1612727_1612936_+	phrog_10078		1.9e-25	86.1
CP001157.1_3779311_3779748_-	phrog_101		2.3e-42	141.5
CP001157.1_1586433_1588550_-	phrog_1012		1.2e-81	234.6
CP001157.1_4591388_4593541_-	phrog_1012		2e-70	232.4
CP001157.1_3001830_3003674_-	phrog_1012		1.3e-47	159.3
CP001157.1_1586433_1588550_-	phrog_1012		1.2e-81	34.8
CP001157.1_5358067_5359059_-	phrog_10226		3.7e-12	41.4
CP001157.1_1597051_1597644_+	phrog_10255		1.7e-08	31.8
CP001157.1_49840_50436_+	phrog_10255		1.5e-07	28.7
CP001157.1_1261845_1263746_+	phrog_10255		2.6e-07	27.2
CP001157.1_3978720_3979367_-	phrog_10255		5.9e-07	26.1
CP001157.1_277220_277894_+	phrog_10276		7.1e-40	133.8
CP001157.1_3671645_3672151_-	phrog_10276		4.8e-38	127.3
CP001157.1_3790064_3790417_-	phrog_103		7.6e-46	152.3
CP001157.1_4848441_4849937_+	phrog_10371		4.3e-08	25.8
CP001157.1_3295633_3296010_-	phrog_10398		8.7e-31	102.9
CP001157.1_4607763_4608305_+	phrog_1040		3.6e-21	72.4
CP001157.1_4874148_4875503_-	phrog_10430		2.2e-79	263.9
CP001157.1_2868679_2870955_-	phrog_10430		2.4e-08	30.1
CP001157.1_5110745_5111137_+	phrog_1047		3.3e-07	25.4
CP001157.1_4031573_4031866_-	phrog_10531		8.8e-18	61.0
