NZ_BMDT01000026.1_orf74698	c867bf3d7fcbaf0caafa08b4ca776a8b	38	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	24-06-2023	-	-
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	FunFam	G3DSA:2.40.50.140:FF:000051	RNA-binding transcriptional accessory protein	638	728	3.3E-34	T	24-06-2023	-	-
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	SMART	SM00732	rnase_8s	326	425	5.9E-33	T	24-06-2023	IPR006641	YqgF/RNase H-like domain
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Pfam	PF16921	Tex protein YqgF-like domain	326	452	8.5E-56	T	24-06-2023	IPR032639	Tex protein, YqgF-like domain
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Pfam	PF00575	S1 RNA binding domain	653	723	6.0E-16	T	24-06-2023	IPR003029	S1 domain
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Gene3D	G3DSA:2.40.50.140	-	640	726	7.5E-25	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Pfam	PF17674	HHH domain	562	634	2.5E-20	T	24-06-2023	IPR041692	HHH domain 9
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Gene3D	G3DSA:1.10.3500.10	-	121	499	9.8E-151	T	24-06-2023	IPR023323	Tex-like domain superfamily
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	Coils	Coil	Coil	63	93	-	T	24-06-2023	-	-
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	FunFam	G3DSA:1.10.150.310:FF:000001	RNA-binding transcriptional accessory protein	500	634	5.4E-47	T	24-06-2023	-	-
NZ_BMDT01000007.1_orf47925	b11a955a3538057919f27cb7661dd09d	734	ProSiteProfiles	PS50126	S1 domain profile.	655	724	19.391176	T	24-06-2023	IPR003029	S1 domain
