	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_020840_NC_020840_1	NC_020840	NC_020840	1	3	191	-1	E															0
NC_020840_NC_020840_2	NC_020840	NC_020840	2	188	559	-1	E															0
NC_020840_NC_020840_3	NC_020840	NC_020840	3	525	743	-1	E															0
NC_020840_NC_020840_4	NC_020840	NC_020840	4	733	1080	-1	E															0
NC_020840_NC_020840_5	NC_020840	NC_020840	5	1049	2194	-1	D										Helix-turn-helix domain [PF13730.9]					0
NC_020840_NC_020840_6	NC_020840	NC_020840	6	2204	3694	-1	C	K02314	replicative DNA helicase [EC:5.6.2.3]								DnaB-like helicase C terminal domain [PF03796.18]; KaiC [PF06745.16]; DnaB-like helicase N terminal domain [PF00772.24]					0
NC_020840_NC_020840_7	NC_020840	NC_020840	7	3858	4151	1	E															0
NC_020840_NC_020840_8	NC_020840	NC_020840	8	4148	4339	1	E															0
NC_020840_NC_020840_9	NC_020840	NC_020840	9	4468	4683	1	E															0
NC_020840_NC_020840_10	NC_020840	NC_020840	10	4680	4943	1	E															0
NC_020840_NC_020840_11	NC_020840	NC_020840	11	4936	5550	-1	D										MT-A70 [PF05063.17]					0
NC_020840_NC_020840_12	NC_020840	NC_020840	12	5550	6113	-1	C	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]								Crossover junction endodeoxyribonuclease RuvC [PF02075.20]					0
NC_020840_NC_020840_13	NC_020840	NC_020840	13	6113	6832	-1	E															0
NC_020840_NC_020840_14	NC_020840	NC_020840	14	6845	7087	-1	E															0
NC_020840_NC_020840_15	NC_020840	NC_020840	15	7182	8357	1	D										PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]					0
NC_020840_NC_020840_16	NC_020840	NC_020840	16	8342	8566	1	E															0
NC_020840_NC_020840_17	NC_020840	NC_020840	17	8563	9885	1	E															0
NC_020840_NC_020840_18	NC_020840	NC_020840	18	9878	10159	1	E															0
NC_020840_NC_020840_19	NC_020840	NC_020840	19	10189	10752	1	E															0
NC_020840_NC_020840_20	NC_020840	NC_020840	20	10749	11012	1	E															0
NC_020840_NC_020840_21	NC_020840	NC_020840	21	11014	11352	1	E															0
NC_020840_NC_020840_22	NC_020840	NC_020840	22	11352	12254	1	D										Protein of unknown function (DUF5131) [PF07505.14]					0
NC_020840_NC_020840_23	NC_020840	NC_020840	23	12270	12692	1	E															0
NC_020840_NC_020840_24	NC_020840	NC_020840	24	12898	13131	-1	E															0
NC_020840_NC_020840_25	NC_020840	NC_020840	25	13088	13534	-1	E															0
NC_020840_NC_020840_26	NC_020840	NC_020840	26	13557	14063	-1	D										Transglycosylase SLT domain [PF01464.23]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	0
NC_020840_NC_020840_27	NC_020840	NC_020840	27	14119	14439	-1	E															0
NC_020840_NC_020840_28	NC_020840	NC_020840	28	14492	14893	-1	E															0
NC_020840_NC_020840_29	NC_020840	NC_020840	29	14903	15286	-1	D										Protein of unknown function (DUF2793) [PF10983.11]					0
NC_020840_NC_020840_30	NC_020840	NC_020840	30	15296	17614	-1	D										Putative phage tail protein [PF13550.9]					0
NC_020840_NC_020840_31	NC_020840	NC_020840	31	17615	18067	-1	D			MER0717783	C40	MER0717783 - family C40 unassigned peptidases (Burkholderia pseudomallei) [C40.UPW]#C40#{peptidase unit: 8-122}~source A0A095RI40~	False	0.365	81.0	1.247e-16						0
NC_020840_NC_020840_32	NC_020840	NC_020840	32	18064	19821	-1	D										Uncharacterized conserved protein (DUF2163) [PF09931.12]; Phage conserved hypothetical protein BR0599 [PF09356.13]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]					0
NC_020840_NC_020840_33	NC_020840	NC_020840	33	19831	20868	-1	E															0
NC_020840_NC_020840_34	NC_020840	NC_020840	34	20868	21554	-1	D										Conserved hypothetical protein 2217 (DUF2460) [PF09343.13]					0
NC_020840_NC_020840_35	NC_020840	NC_020840	35	21547	24372	-1	E															0
NC_020840_NC_020840_36	NC_020840	NC_020840	36	24372	24677	-1	E															0
NC_020840_NC_020840_37	NC_020840	NC_020840	37	24689	25042	-1	E															0
