locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLPGFLAG_00001	CDS	786	nifH_1	1.18.6.1		Nitrogenase iron protein
FLPGFLAG_00002	CDS	489				hypothetical protein
FLPGFLAG_00003	CDS	1125				hypothetical protein
FLPGFLAG_00004	CDS	552				hypothetical protein
FLPGFLAG_00005	CDS	1857				hypothetical protein
FLPGFLAG_00006	CDS	1368	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
FLPGFLAG_00007	CDS	1071				hypothetical protein
FLPGFLAG_00008	CDS	831	mtd	1.5.98.1	COG1927	F420-dependent methylenetetrahydromethanopterin dehydrogenase
FLPGFLAG_00009	CDS	1296				hypothetical protein
FLPGFLAG_00010	CDS	561				hypothetical protein
FLPGFLAG_00011	CDS	2010				hypothetical protein
FLPGFLAG_00012	CDS	810				hypothetical protein
FLPGFLAG_00013	CDS	561	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
FLPGFLAG_00014	CDS	213				hypothetical protein
FLPGFLAG_00015	CDS	696				hypothetical protein
FLPGFLAG_00016	CDS	591			COG0655	Iron-sulfur flavoprotein
FLPGFLAG_00017	CDS	1221	faeB-hpsB		COG0269	Bifunctional enzyme Fae/Hps
FLPGFLAG_00018	CDS	1293	trpB1_1	4.2.1.20	COG1350	Tryptophan synthase beta chain 1
FLPGFLAG_00019	CDS	1029				hypothetical protein
FLPGFLAG_00020	CDS	648				hypothetical protein
FLPGFLAG_00021	CDS	795				hypothetical protein
FLPGFLAG_00022	CDS	1518	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
FLPGFLAG_00023	CDS	765	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
FLPGFLAG_00024	CDS	1194	bchB_1	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
FLPGFLAG_00025	CDS	276	albA_1		COG1581	DNA/RNA-binding protein Alba
FLPGFLAG_00026	CDS	1239	bamB			Outer membrane protein assembly factor BamB
FLPGFLAG_00027	CDS	1176				hypothetical protein
FLPGFLAG_00028	CDS	1095	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FLPGFLAG_00029	CDS	477				hypothetical protein
FLPGFLAG_00030	CDS	270				hypothetical protein
FLPGFLAG_00031	CDS	669			COG1082	putative protein
FLPGFLAG_00032	CDS	1110	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
FLPGFLAG_00033	CDS	789	patS	3.6.3.-	COG4087	Soluble P-type ATPase-like phosphatase
FLPGFLAG_00034	CDS	666				hypothetical protein
FLPGFLAG_00035	CDS	162				hypothetical protein
FLPGFLAG_00036	CDS	993	ala	1.4.1.1	COG2423	Alanine dehydrogenase
FLPGFLAG_00037	CDS	765				hypothetical protein
FLPGFLAG_00038	CDS	546				hypothetical protein
FLPGFLAG_00039	CDS	1389		3.5.1.4	COG0154	Amidase
FLPGFLAG_00040	CDS	1605	cobB_1	6.3.5.11		Hydrogenobyrinate a,c-diamide synthase
FLPGFLAG_00041	CDS	681	ribB_1	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
FLPGFLAG_00042	CDS	387	ribK_1	2.7.1.161	COG1339	Riboflavin kinase
FLPGFLAG_00043	CDS	1107	btuC_1			Vitamin B12 import system permease protein BtuC
FLPGFLAG_00044	CDS	1056	btuF_1			Vitamin B12-binding protein
FLPGFLAG_00045	CDS	5136				hypothetical protein
FLPGFLAG_00046	CDS	618	hdrC1_1	1.8.7.3	COG1150	Ferredoxin:CoB-CoM heterodisulfide reductase subunit C
FLPGFLAG_00047	CDS	933	hdrB1_1	1.8.7.3	COG2048	Ferredoxin:CoB-CoM heterodisulfide reductase subunit B
FLPGFLAG_00048	CDS	2361	hdrA1_1	1.8.7.3	COG1148	Ferredoxin:CoB-CoM heterodisulfide reductase subunit A
FLPGFLAG_00049	CDS	2166				hypothetical protein
FLPGFLAG_00050	CDS	192				hypothetical protein
FLPGFLAG_00051	CDS	990	mvhB_1		COG1145	Polyferredoxin protein MvhB
