	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
Protein Count (Total)	3065	4817	283	7950	3108
Protein Count (>Min Score)	2204	3645	217	5550	2262
% Proteins > Min Score	71.91	75.67	76.68	69.81	72.78
Average Protein Length	284.25	316.74	336.73	291.11	294.33
FOAM KO Count	950	1427	214	1726	995
KEGG KO Count	3085	4570	439	5364	3183
COG KO Count	1653	2219	215	2330	1709
GC count	1525438	3523702	225002	4802878	1571596
GC %	52.27	65.68	72.95	60.53	52.05
N25	2918587	5365318	308429	4883137	947149
N50	2918587	5365318	308429	4883137	705844
N75	2918587	5365318	308429	1234209	342451
N90	2918587	5365318	308429	630306	98909
Contig Min Length	2918587	5365318	308429	415988	274
Contig Max Length	2918587	5365318	308429	4883137	947149
