	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCF_004102725.1_NZ_LHQS01000001.1_1	GCF_004102725.1	NZ_LHQS01000001.1	1	460	1044	1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_2	GCF_004102725.1	NZ_LHQS01000001.1	2	867	1703	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08242.15]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13489.9]					0
GCF_004102725.1_NZ_LHQS01000001.1_3	GCF_004102725.1	NZ_LHQS01000001.1	3	1762	2244	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_4	GCF_004102725.1	NZ_LHQS01000001.1	4	2452	3075	1	D										Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13673.10]; FR47-like protein [PF08445.13]					0
GCF_004102725.1_NZ_LHQS01000001.1_5	GCF_004102725.1	NZ_LHQS01000001.1	5	3123	3689	1	C	K03790	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]								Acetyltransferase (GNAT) domain [PF13302.10]; Acetyltransferase (GNAT) domain [PF13420.10]					0
GCF_004102725.1_NZ_LHQS01000001.1_6	GCF_004102725.1	NZ_LHQS01000001.1	6	3785	5704	-1	C	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]								Stage II sporulation protein E (SpoIIE) [PF07228.15]					0
GCF_004102725.1_NZ_LHQS01000001.1_7	GCF_004102725.1	NZ_LHQS01000001.1	7	5722	7032	-1	C	K04749	anti-sigma B factor antagonist								STAS domain [PF01740.24]; STAS domain [PF13466.9]					0
GCF_004102725.1_NZ_LHQS01000001.1_8	GCF_004102725.1	NZ_LHQS01000001.1	8	7279	7692	-1	C	K06996	uncharacterized protein								Glyoxalase-like domain [PF18029.4]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]					0
GCF_004102725.1_NZ_LHQS01000001.1_9	GCF_004102725.1	NZ_LHQS01000001.1	9	7800	8303	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_10	GCF_004102725.1	NZ_LHQS01000001.1	10	8422	10683	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_11	GCF_004102725.1	NZ_LHQS01000001.1	11	10866	11111	1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_12	GCF_004102725.1	NZ_LHQS01000001.1	12	11144	11548	-1	D										Response regulator receiver domain [PF00072.27]					0
GCF_004102725.1_NZ_LHQS01000001.1_13	GCF_004102725.1	NZ_LHQS01000001.1	13	11562	12041	-1	C	K03408	purine-binding chemotaxis protein CheW								CheW-like domain [PF01584.22]					0
GCF_004102725.1_NZ_LHQS01000001.1_14	GCF_004102725.1	NZ_LHQS01000001.1	14	12055	14430	-1	C	K03406	methyl-accepting chemotaxis protein								Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; PAS fold [PF00989.28]					0
GCF_004102725.1_NZ_LHQS01000001.1_15	GCF_004102725.1	NZ_LHQS01000001.1	15	15062	15493	1	D										Protein of unknown function (DUF3887) [PF13026.9]					0
GCF_004102725.1_NZ_LHQS01000001.1_16	GCF_004102725.1	NZ_LHQS01000001.1	16	15510	15905	-1	D										Protein of unknown function (DUF3795) [PF12675.10]					0
GCF_004102725.1_NZ_LHQS01000001.1_17	GCF_004102725.1	NZ_LHQS01000001.1	17	16006	16752	-1	D										Methyltransferase domain [PF13649.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase small domain [PF05175.17]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]; Putative methyltransferase [PF02390.20]; Mycolic acid cyclopropane synthetase [PF02353.23]; RNA cap guanine-N2 methyltransferase [PF09445.13]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]					1
GCF_004102725.1_NZ_LHQS01000001.1_18	GCF_004102725.1	NZ_LHQS01000001.1	18	16902	17642	1	C	K18979	epoxyqueuosine reductase [EC:1.17.99.6]								4Fe-4S binding domain [PF12837.10]; 4Fe-4S dicluster domain [PF13187.9]					0
GCF_004102725.1_NZ_LHQS01000001.1_19	GCF_004102725.1	NZ_LHQS01000001.1	19	17991	18434	-1	C	K03365	cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]								MafB19-like deaminase [PF14437.9]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; Bd3614-like deaminase [PF14439.9]					0
GCF_004102725.1_NZ_LHQS01000001.1_20	GCF_004102725.1	NZ_LHQS01000001.1	20	18620	20569	1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]; Single Cache domain 2 [PF17200.7]; Cache domain [PF08269.14]					0
GCF_004102725.1_NZ_LHQS01000001.1_21	GCF_004102725.1	NZ_LHQS01000001.1	21	20597	22072	-1	C	K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]								Pyridoxal-dependent decarboxylase conserved domain [PF00282.22]; Aminotransferase class-V [PF00266.22]					0
GCF_004102725.1_NZ_LHQS01000001.1_22	GCF_004102725.1	NZ_LHQS01000001.1	22	22372	23214	1	D										Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13489.9]; Tellurite resistance protein TehB [PF03848.17]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Thiopurine S-methyltransferase (TPMT) [PF05724.14]; Nodulation protein S (NodS) [PF05401.14]; Protein of unknown function (DUF1698) [PF08003.14]; Methyltransferase small domain [PF05175.17]; mRNA capping enzyme [PF03291.19]; Putative methyltransferase [PF12147.11]					0
GCF_004102725.1_NZ_LHQS01000001.1_23	GCF_004102725.1	NZ_LHQS01000001.1	23	23297	24118	-1	C	K07238	zinc transporter, ZIP family								ZIP Zinc transporter [PF02535.25]					0
GCF_004102725.1_NZ_LHQS01000001.1_24	GCF_004102725.1	NZ_LHQS01000001.1	24	24173	24724	-1	D										Ferritin-like domain [PF00210.27]					0
GCF_004102725.1_NZ_LHQS01000001.1_25	GCF_004102725.1	NZ_LHQS01000001.1	25	25145	25402	1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_26	GCF_004102725.1	NZ_LHQS01000001.1	26	25345	25794	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_27	GCF_004102725.1	NZ_LHQS01000001.1	27	26059	26547	1	C	K22900	tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]								tRNA-methyltransferase O [PF01980.19]					0
GCF_004102725.1_NZ_LHQS01000001.1_28	GCF_004102725.1	NZ_LHQS01000001.1	28	26606	26932	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_29	GCF_004102725.1	NZ_LHQS01000001.1	29	27347	27649	-1	D										Domain of unknown function (DUF3303) [PF11746.11]					0
GCF_004102725.1_NZ_LHQS01000001.1_30	GCF_004102725.1	NZ_LHQS01000001.1	30	27750	28163	1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_31	GCF_004102725.1	NZ_LHQS01000001.1	31	28273	28542	-1	D										GYD domain [PF08734.14]					0
GCF_004102725.1_NZ_LHQS01000001.1_32	GCF_004102725.1	NZ_LHQS01000001.1	32	28890	30446	1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_33	GCF_004102725.1	NZ_LHQS01000001.1	33	30567	31238	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_34	GCF_004102725.1	NZ_LHQS01000001.1	34	31326	31730	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_35	GCF_004102725.1	NZ_LHQS01000001.1	35	32001	32210	-1	E															0
GCF_004102725.1_NZ_LHQS01000001.1_36	GCF_004102725.1	NZ_LHQS01000001.1	36	32198	32437	-1	D										FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.31]					0
GCF_004102725.1_NZ_LHQS01000001.1_37	GCF_004102725.1	NZ_LHQS01000001.1	37	32964	33845	-1	C	K03799	heat shock protein HtpX [EC:3.4.24.-]	MER0348703	M48B	MER0348703 - subfamily M48B unassigned peptidases (Methanoculleus bourgensis) [M48.UPB]#M48B#{peptidase unit: 45-314}~source YP_006545100~	True	0.798	442.0	4.651e-139	Peptidase family M48 [PF01435.21]; BlaR1 peptidase M56 [PF05569.14]					0
GCF_004102725.1_NZ_LHQS01000001.1_38	GCF_004102725.1	NZ_LHQS01000001.1	38	33996	34760	1	C	K22699	sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]								FAD dependent oxidoreductase [PF12831.10]; FAD binding domain [PF01494.22]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; NAD(P)-binding Rossmann-like domain [PF13450.9]; Flavin-binding monooxygenase-like [PF00743.22]; Lycopene cyclase protein [PF05834.15]; FAD binding domain [PF00890.27]					0
GCF_004102725.1_NZ_LHQS01000001.1_39	GCF_004102725.1	NZ_LHQS01000001.1	39	34773	35429	1	D										Domain of unknown function (DUF1917) [PF08939.13]					0
GCF_004102725.1_NZ_LHQS01000001.1_40	GCF_004102725.1	NZ_LHQS01000001.1	40	35545	35691	-1	D										Ribosomal L40e family [PF01020.20]					0
GCF_004102725.1_NZ_LHQS01000001.1_41	GCF_004102725.1	NZ_LHQS01000001.1	41	35764	36300	-1	C	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]								Ham1 family [PF01725.19]					0
GCF_004102725.1_NZ_LHQS01000001.1_42	GCF_004102725.1	NZ_LHQS01000001.1	42	36309	37892	-1	C	K15904	bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]								tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]; RIO1 family [PF01163.25]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.17]; Protein kinase domain [PF00069.28]; Protein tyrosine and serine/threonine kinase [PF07714.20]					0
GCF_004102725.1_NZ_LHQS01000001.1_43	GCF_004102725.1	NZ_LHQS01000001.1	43	38157	38450	-1	C	K02974	small subunit ribosomal protein S24e								Ribosomal protein S24e [PF01282.22]					0
GCF_004102725.1_NZ_LHQS01000001.1_44	GCF_004102725.1	NZ_LHQS01000001.1	44	38505	38990	-1	C	K09735	GTP-dependent dephospho-CoA kinase [EC:2.7.1.237]								Protein of unknown function (DUF359) [PF04019.15]					0
GCF_004102725.1_NZ_LHQS01000001.1_45	GCF_004102725.1	NZ_LHQS01000001.1	45	38990	39196	-1	C	K15171	transcription elongation factor SPT4								Spt4/RpoE2 zinc finger [PF06093.16]					1
GCF_004102725.1_NZ_LHQS01000001.1_46	GCF_004102725.1	NZ_LHQS01000001.1	46	39183	39764	-1	C	K03049	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]								SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397 [PF03876.20]; S1 RNA binding domain [PF00575.26]					0
GCF_004102725.1_NZ_LHQS01000001.1_47	GCF_004102725.1	NZ_LHQS01000001.1	47	39770	40183	-1	C	K07158	uncharacterized protein								PIN like domain [PF18477.4]					0
GCF_004102725.1_NZ_LHQS01000001.1_48	GCF_004102725.1	NZ_LHQS01000001.1	48	40147	41382	-1	C	K03242	translation initiation factor 2 subunit 3								Initiation factor eIF2 gamma, C terminal [PF09173.14]; Elongation factor Tu GTP binding domain [PF00009.30]					0
GCF_004102725.1_NZ_LHQS01000001.1_49	GCF_004102725.1	NZ_LHQS01000001.1	49	41593	42015	1	C	K07722	CopG family transcriptional regulator, nickel-responsive regulator								NikR C terminal nickel binding domain [PF08753.14]					0
GCF_004102725.1_NZ_LHQS01000001.1_50	GCF_004102725.1	NZ_LHQS01000001.1	50	42012	42305	-1	D										Uncharacterized protein conserved in archaea (DUF2098) [PF09871.12]					0
GCF_004102725.1_NZ_LHQS01000001.1_51	GCF_004102725.1	NZ_LHQS01000001.1	51	42361	43542	1	C	K24409	thioglycine synthase [EC:6.2.2.1]								YcaO cyclodehydratase, ATP-ad Mg2+-binding [PF02624.19]					0
