locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHPIFPEK_00001	CDS	552				hypothetical protein
EHPIFPEK_00002	CDS	777				hypothetical protein
EHPIFPEK_00003	CDS	264				hypothetical protein
EHPIFPEK_00004	CDS	108				hypothetical protein
EHPIFPEK_00005	CDS	195				hypothetical protein
EHPIFPEK_00006	tRNA	72				tRNA-Pro(tgg)
EHPIFPEK_00007	CDS	1692				hypothetical protein
EHPIFPEK_00008	CDS	1440				hypothetical protein
EHPIFPEK_00009	CDS	291				hypothetical protein
EHPIFPEK_00010	CDS	765				hypothetical protein
EHPIFPEK_00011	CDS	429				hypothetical protein
EHPIFPEK_00012	CDS	516				hypothetical protein
EHPIFPEK_00013	CDS	957				hypothetical protein
EHPIFPEK_00014	CDS	444				hypothetical protein
EHPIFPEK_00015	CDS	339				hypothetical protein
EHPIFPEK_00016	CDS	3117				hypothetical protein
EHPIFPEK_00017	CDS	222				hypothetical protein
EHPIFPEK_00018	CDS	510				hypothetical protein
EHPIFPEK_00019	CDS	1293				hypothetical protein
EHPIFPEK_00020	CDS	546				hypothetical protein
EHPIFPEK_00021	CDS	471				hypothetical protein
EHPIFPEK_00022	CDS	363				hypothetical protein
EHPIFPEK_00023	CDS	1818				hypothetical protein
EHPIFPEK_00024	CDS	531				hypothetical protein
EHPIFPEK_00025	CDS	1443				hypothetical protein
EHPIFPEK_00026	CDS	438				hypothetical protein
EHPIFPEK_00027	CDS	366				hypothetical protein
EHPIFPEK_00028	CDS	327				hypothetical protein
EHPIFPEK_00029	CDS	1236				hypothetical protein
EHPIFPEK_00030	CDS	651				hypothetical protein
EHPIFPEK_00031	CDS	1410				hypothetical protein
EHPIFPEK_00032	CDS	1170				hypothetical protein
EHPIFPEK_00033	CDS	393				hypothetical protein
EHPIFPEK_00034	CDS	492				hypothetical protein
EHPIFPEK_00035	CDS	837				hypothetical protein
EHPIFPEK_00036	CDS	126				hypothetical protein
EHPIFPEK_00037	CDS	2421				hypothetical protein
EHPIFPEK_00038	CDS	1041				hypothetical protein
EHPIFPEK_00039	CDS	3867				hypothetical protein
EHPIFPEK_00040	CDS	189				hypothetical protein
EHPIFPEK_00041	CDS	1194				hypothetical protein
EHPIFPEK_00042	CDS	468				hypothetical protein
EHPIFPEK_00043	CDS	1362				hypothetical protein
EHPIFPEK_00044	CDS	213				hypothetical protein
EHPIFPEK_00045	CDS	258				hypothetical protein
EHPIFPEK_00046	CDS	186				hypothetical protein
EHPIFPEK_00047	CDS	261				hypothetical protein
EHPIFPEK_00048	CDS	429				hypothetical protein
EHPIFPEK_00049	CDS	549				hypothetical protein
EHPIFPEK_00050	CDS	705				hypothetical protein
EHPIFPEK_00051	CDS	213				hypothetical protein
EHPIFPEK_00052	CDS	2565				hypothetical protein
EHPIFPEK_00053	CDS	474				hypothetical protein
EHPIFPEK_00054	CDS	915				hypothetical protein
EHPIFPEK_00055	CDS	174				hypothetical protein
EHPIFPEK_00056	CDS	120				hypothetical protein
EHPIFPEK_00057	CDS	201				hypothetical protein
EHPIFPEK_00058	CDS	180				hypothetical protein
EHPIFPEK_00059	CDS	129				hypothetical protein
EHPIFPEK_00060	CDS	1017				hypothetical protein
EHPIFPEK_00061	CDS	159				hypothetical protein
EHPIFPEK_00062	CDS	162				hypothetical protein
EHPIFPEK_00063	CDS	282				hypothetical protein
EHPIFPEK_00064	CDS	387				hypothetical protein
EHPIFPEK_00065	CDS	351				hypothetical protein
EHPIFPEK_00066	CDS	426				hypothetical protein
EHPIFPEK_00067	CDS	1182				hypothetical protein
EHPIFPEK_00068	CDS	1236				hypothetical protein
EHPIFPEK_00069	CDS	1482				hypothetical protein
EHPIFPEK_00070	CDS	252				hypothetical protein
EHPIFPEK_00071	tRNA	70				tRNA-Tyr(gta)
EHPIFPEK_00072	tRNA	74				tRNA-Asn(gtt)
EHPIFPEK_00073	CDS	213				hypothetical protein
EHPIFPEK_00074	CDS	411				hypothetical protein
EHPIFPEK_00075	CDS	135				hypothetical protein
EHPIFPEK_00076	CDS	873				hypothetical protein
EHPIFPEK_00077	tRNA	77				tRNA-Arg(tct)
EHPIFPEK_00078	CDS	552				hypothetical protein
EHPIFPEK_00079	CDS	486				hypothetical protein
EHPIFPEK_00080	CDS	480				hypothetical protein
EHPIFPEK_00081	CDS	465				hypothetical protein
EHPIFPEK_00082	CDS	210				hypothetical protein
EHPIFPEK_00083	CDS	159				hypothetical protein
EHPIFPEK_00084	CDS	339				hypothetical protein
EHPIFPEK_00085	CDS	297				hypothetical protein
EHPIFPEK_00086	CDS	369				hypothetical protein
EHPIFPEK_00087	CDS	276				hypothetical protein
EHPIFPEK_00088	CDS	186				hypothetical protein
EHPIFPEK_00089	CDS	432				hypothetical protein
EHPIFPEK_00090	CDS	426				hypothetical protein
EHPIFPEK_00091	CDS	177				hypothetical protein
EHPIFPEK_00092	CDS	267				hypothetical protein
EHPIFPEK_00093	CDS	399				hypothetical protein
EHPIFPEK_00094	CDS	234				hypothetical protein
EHPIFPEK_00095	CDS	279				hypothetical protein
EHPIFPEK_00096	CDS	1806				hypothetical protein
