locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
ASOA01000001.1_1_447_+												Hypothetical
ASOA01000001.1_420_2558_+			COG1372				COG:COG1372	712	5.9e-17	36.9		Hop; 
ASOA01000001.1_2676_3143_+		K16011	COG0836			VOG01945	VOG:VOG01945	155	4.9e-14	41.3		sp|P07874|ALGA_PSEAE Alginate biosynthesis protein AlgA
ASOA01000001.1_3149_3607_-	K03574	K03574	COG1051		phrog_1198	VOG00917	COG:COG1051	152	9.1e-26	85.5		YjhB; 
ASOA01000001.1_3627_5138_-			COG5036				COG:COG5036	503	2.8e-17	57.3		; 
ASOA01000001.1_5141_6484_-		K23446	COG4264				COG:COG4264	447	4.3e-30	98.9		IucA; 
ASOA01000001.1_6550_7347_+		K06981	COG1608				COG:COG1608	265	7.7e-85	280.1		; 
ASOA01000001.1_7889_9649_+		K01872, K01872	COG0013, COG0013		phrog_28604, phrog_28604	VOG21387	COG:COG0013	586	3.3e-203	482.1		AlaS; Aminoacyl-tRNA synthetases
ASOA01000001.1_9657_11810_+												Hypothetical
ASOA01000001.1_11813_12628_+		K07284	COG3764				COG:COG3764	271	6.4e-35	115.7		SrtA; 
ASOA01000001.1_12635_13018_+		K07447	COG0816				COG:COG0816	127	4e-33	109.1		YqgF; 
ASOA01000001.1_13028_13228_+												Hypothetical
ASOA01000001.1_13297_13500_+												Hypothetical
ASOA01000001.1_13504_14487_+		K07082	COG1559				COG:COG1559	327	6e-93	306.5		MltG; 
ASOA01000001.1_14642_18058_+	K03043	K03043	COG0085		phrog_24349, phrog_24349	VOG00359, VOG00359, VOG00359	FOAM:K03043	1138	0	1454.4	2.7.7.6	rpoB; DNA-directed RNA polymerase subunit beta
ASOA01000001.1_18078_21791_+	K03046, K03046	K03046, K03046	COG0086		phrog_25354, phrog_3015	VOG01017, VOG01017, VOG07969, VOG01017	COG:COG0086	1237	0	1734.7		RpoC; RNA polymerase
ASOA01000001.1_21809_22231_+		K02950	COG0048				KEGG:K02950	140	2.3e-67	222.1		RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12
ASOA01000001.1_22235_22711_+		K02992	COG0049				COG:COG0049	158	8.4e-65	212.3		RpsG; Ribosome 30S subunit
ASOA01000001.1_22776_23039_-		K07461	COG2827				COG:COG2827	87	2.7e-37	122.9		YhbQ; 
ASOA01000001.1_23294_23860_+												Hypothetical
ASOA01000001.1_24215_24532_+												Hypothetical
ASOA01000001.1_24631_26760_+		K02355	COG0480		phrog_6880	VOG33006, VOG33006	COG:COG0480	709	0	1116.2		FusA; Translation factors
ASOA01000001.1_26794_27966_+		K02358	COG0050		phrog_6880	VOG01129	COG:COG0050	390	1.9e-241	798.0		TufA; Translation factors
ASOA01000001.1_27975_28286_+		K02946	COG0051		phrog_35964		COG:COG0051	103	1.4e-46	152.4		RpsJ; Ribosome 30S subunit
ASOA01000001.1_28374_29057_+		K02906	COG0087				KEGG:K02906	227	5.8e-63	208.0		RP-L3, MRPL3, rplC; large subunit ribosomal protein L3
ASOA01000001.1_29060_29737_+		K02926	COG0088				COG:COG0088	225	1.5e-49	162.9		RplD; Ribosome 50S subunit
ASOA01000001.1_29740_29901_-												Hypothetical
ASOA01000001.1_30014_30766_+		K02886	COG0090				COG:COG0090	250	3e-90	296.8		RplB; Ribosome 50S subunit
ASOA01000001.1_30770_31054_+		K02965	COG0185				COG:COG0185	94	1e-41	136.9		RpsS; Ribosome 30S subunit
ASOA01000001.1_31065_31433_+		K02890	COG0091				COG:COG0091	122	1e-32	108.2		RplV; Ribosome 50S subunit
ASOA01000001.1_31435_32097_+		K02982	COG0092				COG:COG0092	220	1.1e-79	262.1		RpsC; Ribosome 30S subunit
ASOA01000001.1_32109_32516_+		K02878	COG0197				KEGG:K02878	135	2.2e-59	196.2		RP-L16, MRPL16, rplP; large subunit ribosomal protein L16
ASOA01000001.1_32522_32680_+												Hypothetical
ASOA01000001.1_32915_33289_+		K02874	COG0093				COG:COG0093	124	6.4e-49	159.6		RplN; Ribosome 50S subunit
ASOA01000001.1_33295_33615_+		K02895	COG0198				COG:COG0198	106	3.9e-33	109.4		RplX; Ribosome 50S subunit
ASOA01000001.1_33629_34174_+		K02931	COG0094				COG:COG0094	181	2.3e-74	244.4		RplE; Ribosome 50S subunit
ASOA01000001.1_34340_34750_+		K02994	COG0096				KEGG:K02994	136	1.2e-43	143.2		RP-S8, rpsH; small subunit ribosomal protein S8
ASOA01000001.1_34754_35302_+		K02933	COG0097				COG:COG0097	182	7.6e-76	248.5		RplF; Ribosome 50S subunit
ASOA01000001.1_35305_35655_+		K02881	COG0256				COG:COG0256	116	5.1e-34	112.5		RplR; Ribosome 50S subunit
ASOA01000001.1_35664_36179_+		K02988	COG0098				COG:COG0098	171	8.3e-64	210.1		RpsE; Ribosome 30S subunit
ASOA01000001.1_36182_36631_+		K02876	COG0200				KEGG:K02876	149	2.6e-34	113.9		RP-L15, MRPL15, rplO; large subunit ribosomal protein L15
ASOA01000001.1_36936_37778_-												Hypothetical
ASOA01000001.1_37817_38509_+												Hypothetical
ASOA01000001.1_38537_39799_+		K03076	COG0201				COG:COG0201	420	3e-161	532.3		SecY; 
ASOA01000001.1_39887_40447_+	K00939	K00939	COG0563		phrog_761		COG:COG0563	186	6.4e-66	217.6		Adk; Pyrimidine biosynthesis
ASOA01000001.1_40554_40907_+												Hypothetical
ASOA01000001.1_40985_41719_+		K01265	COG0024		phrog_24316	VOG21335	COG:COG0024	244	1.7e-80	265.0		Map; 
ASOA01000001.1_41860_42075_+		K02518	COG0361		phrog_30201		KEGG:K02518	71	1.7e-30	100.3		infA; translation initiation factor IF-1
ASOA01000001.1_42230_42646_+		K02952	COG0099				KEGG:K02952	138	1.3e-50	166.7		RP-S13, rpsM; small subunit ribosomal protein S13
ASOA01000001.1_42660_43040_+		K02948	COG0100				COG:COG0100	126	3e-50	164.5		RpsK; Ribosome 30S subunit
ASOA01000001.1_43046_43669_+		K02986	COG0522		phrog_9266		COG:COG0522	207	3.2e-75	247.5		RpsD; Ribosome 30S subunit
ASOA01000001.1_43694_44602_+	K03040	K03040	COG0202				COG:COG0202	302	3.2e-102	337.7		RpoA; RNA polymerase
ASOA01000001.1_44606_45037_+		K02879	COG0203				COG:COG0203	143	1e-34	114.7		RplQ; Ribosome 50S subunit
ASOA01000001.1_45040_45471_+		K02871	COG0102				KEGG:K02871	143	1.2e-55	184.0		RP-L13, MRPL13, rplM; large subunit ribosomal protein L13
ASOA01000001.1_45724_45936_-												Hypothetical
ASOA01000001.1_45948_46643_-												Hypothetical
ASOA01000001.1_46640_46936_-		K07443	COG3695		phrog_34906	VOG09875	COG:COG3695	98	5.1e-34	112.6		Atl1; 
ASOA01000001.1_46960_47952_+												Hypothetical
ASOA01000001.1_47960_48601_-		K01174	COG1525		phrog_8809	VOG08825	COG:COG1525	213	3.1e-34	112.9		YncB; 
ASOA01000001.1_48971_49171_-												Hypothetical
ASOA01000001.1_49171_49473_+												Hypothetical
ASOA01000001.1_49664_50719_+		K03553	COG0468		phrog_97	VOG04360	KEGG:K03553	351	7.2e-176	581.2		recA; recombination protein RecA
ASOA01000001.1_50799_51182_+		K03565	COG2137		phrog_17023		COG:COG2137	127	6.4e-24	79.8		RecX; 
ASOA01000001.1_51343_52836_+		K18682	COG1094				KEGG:K18682	497	2.5e-167	552.2	3.1.-.-	rny; ribonucrease Y
ASOA01000001.1_52850_53704_+		K00561	COG0030		phrog_9133		KEGG:K00561	284	1.8e-71	235.5	2.1.1.184	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase
ASOA01000001.1_53774_54049_+		K03530	COG0776		phrog_379	VOG02563	COG:COG0776	91	4.6e-27	90.3		HimA; 
ASOA01000001.1_54050_55201_+		K06168	COG0621				COG:COG0621	383	5.6e-121	390.7		MiaB; tRNA modification
ASOA01000001.1_55191_56099_+		K00791	COG0324				COG:COG0324	302	2.4e-79	261.2		MiaA; tRNA modification
ASOA01000001.1_56118_57149_+		K03548	COG0628		phrog_24681		COG:COG0628	343	9.5e-80	263.9		PerM; 
ASOA01000001.1_57545_58243_+		K03442	COG3264				COG:COG3264	232	1e-15	33.9		MscK; 
ASOA01000001.1_58481_59125_+						VOG04607	VOG:VOG04607	214	7.6e-20	65.3		REFSEQ hypothetical protein
ASOA01000001.1_59122_59598_+						VOG01446	VOG:VOG01446	158	3.9e-12	40.4		REFSEQ hypothetical protein
ASOA01000001.1_59894_60208_-												Hypothetical
ASOA01000002.1_361_609_-												Hypothetical
ASOA01000002.1_664_954_-												Hypothetical
ASOA01000002.1_1091_2227_-		K00773	COG0343				KEGG:K00773	378	6.3e-168	555.1	2.4.2.29	tgt; queuine tRNA-ribosyltransferase
ASOA01000002.1_2390_3415_+		K01297	COG1619		phrog_6292		COG:COG1619	341	4.5e-64	208.9		LdcA; 
ASOA01000002.1_3524_4546_+	K01921	K01921	COG1181				COG:COG1181	340	2e-64	213.2		DdlA; Mureine biosynthesis
ASOA01000002.1_4637_5182_+												Hypothetical
ASOA01000002.1_5194_6147_+		K17247	COG2717, COG4892				KEGG:K17247	317	2.7e-17	57.6		msrQ; methionine sulfoxide reductase heme-binding subunit
ASOA01000002.1_6179_6478_+		K21600	COG1937		phrog_6180		COG:COG1937	99	7.8e-19	62.8		FrmR; 
ASOA01000002.1_6481_6804_+		K03671	COG0526		phrog_22	VOG00033	KEGG:K03671	107	2.6e-44	146.7		trxA; thioredoxin 1
ASOA01000002.1_6804_7793_+	K00384	K00384	COG0492		phrog_6397	VOG16777	FOAM:K00384	329	1.7e-134	444.1	1.8.1.9	trxB, TRR; thioredoxin reductase (NADPH)
ASOA01000002.1_7801_7977_+												Hypothetical
ASOA01000002.1_8037_9551_+		K01887	COG0018		phrog_15344	VOG09864	COG:COG0018	504	6e-112	369.5		ArgS; Aminoacyl-tRNA synthetases
ASOA01000002.1_9918_10154_+		K01887	COG0018		phrog_15344	VOG09864	COG:COG0018	78	2e-23	77.3		ArgS; Aminoacyl-tRNA synthetases
ASOA01000002.1_10167_11387_+		K01866	COG0162		phrog_9270	VOG03131	COG:COG0162	406	4.9e-124	409.0		TyrS; Aminoacyl-tRNA synthetases
ASOA01000002.1_11400_12668_+		K01868	COG0441		phrog_18916	VOG02983	COG:COG0441	422	2.6e-161	532.7		ThrS; Aminoacyl-tRNA synthetases
ASOA01000002.1_12941_13291_-												Hypothetical
