Target Name	ID	EC value	E-Value (sequence)	Score (domain)
JQGI01000002.1_152481_153587_-	K00005		1.5e-156	518.6
JQGI01000004.1_87781_88926_+	K00009		2.7e-141	469.3
JQGI01000166.1_3_470_-	K00010		9.8e-52	174.1
JQGI01000001.1_1_1642997_1644238_-	K00012		8.1e-126	418.4
JQGI01000001.1_2_56296_57462_-	K00012		1.9e-119	397.5
JQGI01000001.1_1_616108_617325_+	K00013		9.1e-169	560.9
JQGI01000001.1_1_99331_100116_+	K00014		3e-95	316.6
JQGI01000002.1_141126_142088_+	K00015		5.4e-123	409.1
JQGI01000001.1_1_1082559_1083515_-	K00016		5.5e-120	398.9
JQGI01000001.1_1_1329205_1330170_-	K00016		2.6e-98	327.5
JQGI01000001.1_1_927609_928481_+	K00020		1.7e-107	357.9
JQGI01000001.1_1_1200021_1200956_-	K00024		3.1e-126	419.8
JQGI01000003.1_1_70311_71537_+	K00027		2.9e-198	659.1
JQGI01000181.1_1_510_+	K00029		4.7e-68	227.6
JQGI01000001.1_1_1200987_1202258_-	K00030		1.4e-82	275.2
JQGI01000001.1_2_86295_87179_+	K00033		7.1e-107	356.0
JQGI01000001.1_2_76721_77602_+	K00033		4.7e-103	343.2
JQGI01000002.1_242866_243663_+	K00034		1.1e-116	386.7
JQGI01000594.1_3_383_-	K00036		2.3e-54	182.8
JQGI01000002.1_92685_93434_+	K00038		6.3e-99	328.8
JQGI01000001.1_2_415260_416045_+	K00038		2.4e-71	238.0
JQGI01000561.1_3_392_+	K00038		8e-42	141.0
JQGI01000565.1_2_391_+	K00038		1.4e-36	123.8
JQGI01000001.1_1_557384_558427_+	K00057		1.6e-154	513.4
JQGI01000001.1_1_1155560_1156723_-	K00058		3.2e-86	287.5
JQGI01000001.1_1_455232_455972_+	K00059		3.7e-107	356.4
JQGI01000001.1_1_815017_815841_+	K00059		3.2e-80	267.8
JQGI01000001.1_1_1348857_1349759_+	K00059		2.3e-76	255.0
JQGI01000001.1_1_1031366_1032130_+	K00059		2.5e-71	238.4
JQGI01000001.1_1_317510_318232_-	K00059		5.2e-65	217.6
JQGI01000001.1_1_969286_970413_-	K00060		2.7e-146	484.6
JQGI01000003.1_1_123665_124414_+	K00067		2.3e-35	120.3
JQGI01000002.1_304169_305089_+	K00075		7.5e-113	375.8
JQGI01000001.1_1_394196_395041_+	K00077		1.2e-53	180.6
JQGI01000242.1_1_342_+	K00077		1.4e-32	111.1
JQGI01000808.1_2_322_+	K00087		1.9e-15	54.3
JQGI01000008.1_17540_19003_-	K00088		6.7e-207	686.9
JQGI01000704.1_3_359_+	K00088		1.5e-52	176.8
JQGI01000001.1_1_508853_509998_+	K00099		2.4e-172	571.6
JQGI01000001.1_2_185243_186652_+	K00104		3.9e-201	667.9
JQGI01000160.1_1_528_-	K00108		7.3e-78	260.3
JQGI01000001.1_2_220903_222558_-	K00111		3.3e-165	548.7
JQGI01000629.1_3_377_+	K00112		6.9e-44	148.4
JQGI01000002.1_65867_67423_+	K00116		8.6e-236	781.2
JQGI01000002.1_199921_200463_+	K00124		6.1e-40	135.5
JQGI01000420.1_3_422_-	K00130		4.4e-63	211.2
JQGI01000001.1_1_1009564_1010997_-	K00131		4.8e-216	715.8
JQGI01000618.1_2_379_+	K00132		2.1e-62	209.0
JQGI01000003.1_1_165710_166705_-	K00133		6.6e-132	438.9
JQGI01000229.1_133_486_+	K00133		5.3e-28	96.0
JQGI01000001.1_1_1384202_1385209_-	K00134		1.4e-150	500.9
JQGI01000001.1_1_1191440_1192534_-	K00134		1.4e-150	500.8
JQGI01000001.1_2_323291_324703_+	K00135		3.6e-218	724.0
JQGI01000104.1_1_609_-	K00135		5.9e-106	353.2
JQGI01000003.1_1_15269_16789_+	K00138		0	1094.3
JQGI01000002.1_338826_339851_+	K00145		3.2e-124	412.8
JQGI01000001.1_1_137357_138496_-	K00148		1.7e-100	333.5
JQGI01000001.1_1_118454_121300_+	K00164		0	1148.5
JQGI01000001.1_1_1041186_1042193_-	K00166		2.7e-121	403.9
JQGI01000001.1_1_355861_356946_+	K00166		7.9e-119	395.9
JQGI01000001.1_1_356950_357927_+	K00167		5.3e-143	475.5
JQGI01000001.1_1_1040209_1041186_-	K00167		3.8e-139	462.8
JQGI01000725.1_1_354_+	K00179		2.2e-26	89.9
JQGI01000001.1_1_328168_328941_+	K00208		2.2e-112	373.4
JQGI01000003.1_1_164070_164819_-	K00215		1.2e-67	226.5
JQGI01000003.1_1_177529_178893_+	K00231		1.6e-119	397.9
JQGI01000001.1_1_40284_41669_+	K00231		2.7e-114	380.7
JQGI01000548.1_31_393_+	K00234		2.3e-69	232.4
JQGI01000001.1_1_190390_192147_+	K00239		8.6e-211	699.2
JQGI01000001.1_1_192144_192944_+	K00240		1.2e-73	245.8
JQGI01000497.1_60_404_+	K00240		8.6e-48	160.9
JQGI01000001.1_1_189756_190373_+	K00241		5.1e-39	132.3
JQGI01000108.1_1_303_-	K00241		1e-20	72.3
JQGI01000003.1_1_60595_61467_-	K00243		2.3e-87	291.1
JQGI01000391.1_2_427_+	K00244		6.9e-80	266.7
JQGI01000001.1_1_1343241_1345025_-	K00248		4.2e-132	432.2
JQGI01000002.1_305179_306309_-	K00259		3.2e-165	547.6
JQGI01000001.1_1_548476_549744_+	K00260		3.8e-216	715.3
JQGI01000001.1_1_1044692_1045828_-	K00263		3.6e-175	580.2
JQGI01000001.1_1_677244_678695_+	K00264		2.4e-184	612.4
JQGI01000001.1_1_672775_677247_+	K00265		0	2106.5
JQGI01000106.1_2_610_-	K00266		8.8e-56	187.5
JQGI01000004.1_31907_32947_+	K00274		2.1e-76	159.6
JQGI01000004.1_31907_32947_+	K00274		2.1e-76	95.5
JQGI01000001.1_1_252631_254064_+	K00278		1.3e-135	450.4
JQGI01000523.1_3_401_+	K00278		2e-50	169.3
JQGI01000544.1_1_396_+	K00281		1.3e-57	193.0
JQGI01000001.1_1_1068031_1069377_-	K00282		5.2e-190	629.7
JQGI01000001.1_1_1066556_1068031_-	K00283		5.6e-251	831.8
JQGI01000559.1_2_394_-	K00285		1.1e-41	140.5
JQGI01000003.1_1_128099_128896_+	K00286		5.3e-54	181.9
JQGI01000001.1_1_661721_662200_-	K00287		3.6e-50	168.8
JQGI01000001.1_2_90161_90679_-	K00287		3.1e-13	47.5
JQGI01000002.1_46233_47372_-	K00301		3.9e-131	436.5
JQGI01000807.1_1_324_-	K00303		1.6e-09	34.6
JQGI01000270.1_1_441_+	K00311		2.2e-67	225.6
JQGI01000061.1_220_681_+	K00311		4.7e-59	197.9
JQGI01000001.1_1_1350540_1351562_-	K00318		1e-56	190.6
JQGI01000002.1_108006_108998_+	K00320		4.5e-25	86.3
JQGI01000771.1_2_319_+	K00330		3.9e-42	142.5
JQGI01000539.1_2_394_+	K00334		1.4e-44	150.7
JQGI01000432.1_1_417_+	K00342		4.2e-53	178.4
JQGI01000001.1_2_289081_290061_-	K00344		5.3e-87	290.3
JQGI01000001.1_1_278599_279636_+	K00344		4.7e-83	277.2
JQGI01000001.1_1_664376_665287_+	K00344		4.2e-72	240.8
JQGI01000001.1_1_802914_803927_+	K00344		7.1e-71	237.1
JQGI01000360.1_1_438_+	K00347		1.4e-68	229.3
JQGI01000325.1_128_448_-	K00348		6.3e-41	138.3
JQGI01000002.1_114773_115756_-	K00364		5.9e-107	355.9
JQGI01000002.1_197501_199924_+	K00372		4.2e-278	922.7
JQGI01000299.1_1_456_-	K00374		2.7e-59	198.9
JQGI01000008.1_11914_13314_+	K00375		2.7e-157	522.5
JQGI01000001.1_1_359301_360713_+	K00382		2.9e-186	617.9
JQGI01000012.1_1569_2978_-	K00382		7.1e-186	616.7
JQGI01000001.1_1_1042206_1043615_-	K00382		1.9e-152	506.3
JQGI01000796.1_1_327_+	K00382		1.2e-43	147.1
JQGI01000010.1_2772_4130_-	K00383		8.4e-139	461.4
JQGI01000001.1_1_185925_187238_-	K00383		2e-112	374.3
JQGI01000441.1_1_417_+	K00383		4e-65	218.1
JQGI01000001.1_1_1393191_1394144_-	K00384		2.1e-133	443.8
JQGI01000001.1_1_549799_550806_-	K00384		7e-45	151.1
JQGI01000001.1_2_287578_287949_-	K00389		4.5e-23	79.8
JQGI01000001.1_1_345732_347120_+	K00425		4e-138	459.3
JQGI01000059.1_2_685_-	K00426		1.4e-69	232.6
JQGI01000001.1_1_347135_348166_+	K00426		1.2e-33	114.1
JQGI01000001.1_1_141522_141995_-	K00432		1.4e-83	279.3
JQGI01000001.1_1_1488717_1489517_-	K00433		1.7e-84	282.2
JQGI01000001.1_2_305816_306595_+	K00435		3e-87	289.9
JQGI01000250.1_2_190_-	K00450		7.1e-09	33.2
JQGI01000001.1_2_367024_367863_+	K00453		3e-99	330.6
JQGI01000001.1_1_1537604_1538728_-	K00491		1e-154	512.7
JQGI01000002.1_287023_288585_+	K00500		7.2e-79	263.5
JQGI01000469.1_49_411_+	K00508		1.2e-27	94.8
JQGI01000010.1_4501_6141_-	K00520		7.7e-223	739.7
JQGI01000002.1_293092_294516_+	K00520		5.3e-126	419.4
JQGI01000001.1_1_1289349_1291748_+	K00525		2.2e-171	567.6
JQGI01000001.1_1_1292235_1293281_+	K00526		8.8e-89	296.1
JQGI01000001.1_1_1342015_1342422_-	K00537		1.5e-37	127.2
JQGI01000302.1_244_456_-	K00537		2.9e-14	51.2
JQGI01000208.1_2_496_-	K00548		4.6e-92	307.6
JQGI01000207.1_1_498_+	K00548		6.2e-71	237.6
JQGI01000001.1_1_464709_465425_+	K00554		4.4e-122	405.5
JQGI01000002.1_269177_269941_+	K00556		4.8e-83	276.6
JQGI01000002.1_79645_80988_+	K00558		5.1e-54	181.2
JQGI01000001.1_1_662197_662991_-	K00560		1e-152	507.6
JQGI01000115.1_284_589_+	K00560		4.3e-21	73.0
JQGI01000005.1_34355_34951_-	K00564		1.2e-59	200.4
JQGI01000001.1_1_285968_287089_+	K00566		7.1e-169	560.0
JQGI01000002.1_63195_63707_+	K00567		3.3e-60	201.8
JQGI01000001.1_1_4642_5085_+	K00567		5.9e-50	168.3
JQGI01000001.1_1_113639_114253_+	K00568		1e-21	75.1
JQGI01000001.1_1_785901_786527_-	K00568		2.3e-10	37.8
JQGI01000472.1_29_409_-	K00573		1.3e-46	157.3
JQGI01000001.1_1_562800_563597_+	K00575		3.7e-86	287.3
JQGI01000001.1_1_297484_298134_+	K00588		1.7e-41	140.0
JQGI01000001.1_2_200241_201494_-	K00600		2.3e-219	728.5
JQGI01000003.1_1_199672_201192_-	K00602		5.8e-250	829.2
JQGI01000063.1_3_677_+	K00602		6e-105	350.0
JQGI01000001.1_1_437009_438394_+	K00604		4e-111	369.8
JQGI01000440.1_1_417_+	K00604		1.3e-61	206.8
JQGI01000001.1_1_1069394_1070467_-	K00605		3.7e-151	502.6
JQGI01000001.1_1_578752_579588_+	K00606		9.7e-115	381.7
JQGI01000001.1_1_419029_420006_+	K00609		9e-118	391.2
JQGI01000001.1_2_340771_341799_-	K00611		6e-151	500.8
JQGI01000002.1_347019_347945_+	K00611		2.6e-140	465.9
JQGI01000001.1_1_951595_953586_-	K00615		1.2e-211	702.9
JQGI01000002.1_339866_341083_+	K00620		1.4e-178	593.3
JQGI01000001.1_1_358004_359296_+	K00627		6e-154	512.0
JQGI01000001.1_1_1038875_1040197_-	K00627		2e-139	463.9
JQGI01000001.1_1_1345039_1346211_-	K00632		1.6e-158	525.9
JQGI01000098.1_2_613_+	K00632		3.1e-79	264.5
JQGI01000001.1_1_1045838_1046734_-	K00634		3.2e-121	401.8
JQGI01000001.1_1_968089_969270_-	K00639		8.5e-171	567.5
JQGI01000005.1_42650_43339_-	K00640		3.4e-97	323.3
JQGI01000001.1_1_454319_455239_+	K00645		1e-100	335.7
JQGI01000001.1_1_300162_301121_+	K00648		1.8e-126	420.7
JQGI01000202.1_1_498_+	K00651		3.6e-72	241.2
JQGI01000001.1_1_554014_554637_+	K00655		2.4e-54	182.6
JQGI01000003.1_1_62695_63396_+	K00655		1.5e-53	180.0
JQGI01000117.1_3_587_-	K00655		7.9e-11	39.5
JQGI01000003.1_1_72353_74599_-	K00656		0	1310.6
JQGI01000001.1_1_121319_122596_+	K00658		2.5e-170	565.0
JQGI01000001.1_1_622581_623141_+	K00661		1.8e-89	297.9
JQGI01000001.1_1_920871_921653_-	K00662		2.4e-84	281.2
JQGI01000001.1_1_44439_45986_+	K00666		1.4e-166	553.3
JQGI01000001.1_1_175144_176817_+	K00666		4.9e-163	541.6
JQGI01000816.1_2_316_+	K00681		1.2e-32	111.3
JQGI01000001.1_1_12929_15409_+	K00688		0	1064.2
JQGI01000001.1_1_91101_93398_+	K00691		0	1139.4
JQGI01000001.1_1_11515_12954_+	K00703		4.7e-186	617.7
JQGI01000001.1_1_575341_576462_+	K00754		2.9e-90	301.4
JQGI01000001.1_2_17140_18429_-	K00754		5.3e-42	142.1
JQGI01000001.1_1_1576603_1578777_-	K00754		1.7e-39	92.0
JQGI01000001.1_2_4918_6048_-	K00754		8.2e-25	85.3
JQGI01000001.1_1_991724_993025_-	K00756		9.6e-210	695.0
JQGI01000655.1_3_371_+	K00758		1.3e-62	209.7
JQGI01000001.1_1_267846_268364_+	K00759		1.8e-68	228.9
JQGI01000001.1_2_192233_192865_-	K00761		1.2e-103	344.8
JQGI01000001.1_1_427850_428476_+	K00762		1.5e-56	189.8
JQGI01000002.1_335433_336878_-	K00763		1.2e-160	534.0
JQGI01000003.1_1_202811_204220_-	K00764		3.5e-164	545.3
JQGI01000050.1_1_708_+	K00764		1.2e-82	276.1
JQGI01000001.1_1_615503_616111_+	K00765		2.1e-64	215.8
JQGI01000642.1_3_371_+	K00765		4.9e-42	142.1
JQGI01000001.1_2_313252_314241_-	K00766		1.9e-127	423.6
JQGI01000001.1_1_254018_254887_+	K00767		6.1e-108	359.4
JQGI01000001.1_1_258666_259811_+	K00773		5.2e-217	720.8
JQGI01000002.1_247253_247948_-	K00782		2.3e-41	140.0
JQGI01000002.1_36957_37436_+	K00783		1.4e-59	199.2
JQGI01000001.1_1_1026628_1027533_-	K00784		1.6e-85	285.4
JQGI01000001.1_2_381229_381792_-	K00788		8.1e-65	216.7
JQGI01000001.1_1_1275636_1276844_-	K00789		4.8e-207	686.6
JQGI01000001.1_2_174164_175465_-	K00790		9.9e-200	662.1
JQGI01000001.1_2_215580_216857_-	K00790		9.2e-150	497.1
JQGI01000001.1_1_653341_654291_+	K00791		1.1e-119	398.3
JQGI01000001.1_1_1522395_1523036_-	K00793		3.3e-84	280.4
