	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MN901520.1_1	MN901520	MN901520.1	1	398	868	-1	D			NP_861690.1	NP_861690.1 HalOD1 domain-containing protein [Halophage HF1]	False	1.0	334.0	1.419e-104								Halobacterial output domain 1 [PF18545.4]	VOG23910	REFSEQ HalOD1 domain-containing protein; Xu	Xu	0	False	F
MN901520.1_2	MN901520	MN901520.1	2	1277	2053	1	E			NP_861689.1	NP_861689.1 terminase small subunit [Halophage HF1]	True	0.954	519.0	7.478e-167									VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MN901520.1_3	MN901520	MN901520.1	3	2046	2309	1	E			NP_861688.2	NP_861688.2 hypothetical protein HfxHF1_645 [Halophage HF1]	False	0.978	182.0	3.249e-53									VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MN901520.1_4	MN901520	MN901520.1	4	2420	2527	1	E			NP_861686.1	NP_861686.1 hypothetical protein HfxHF1_635 [Halophage HF1]	False	0.844	64.0	3.364e-13									VOG23911	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MN901520.1_5	MN901520	MN901520.1	5	2531	2725	1	E			NP_861685.1	NP_861685.1 putative CxxC motif protein [Halophage HF1]	False	1.0	139.0	7.170999999999998e-39									VOG23913	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MN901520.1_6	MN901520	MN901520.1	6	2761	2967	1	E			NP_861684.1	NP_861684.1 hypothetical protein HfxHF1_625 [Halophage HF1]	False	1.0	147.0	1.1359999999999999e-41									VOG23914	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MN901520.1_7	MN901520	MN901520.1	7	3060	4751	1	E			NP_861683.1	NP_861683.1 putative large subunit terminase TerL [Halophage HF1]	True	0.952	1127.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MN901520.1_8	MN901520	MN901520.1	8	4766	6205	1	E			NP_542601.1	NP_542601.1 portal protein [Halorubrum phage HF2]	True	0.962	971.0	4.68e-319									VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
MN901520.1_9	MN901520	MN901520.1	9	6208	6492	1	E			NP_542600.1	NP_542600.1 hypothetical protein HrrHF2_610 [Halorubrum phage HF2]	False	0.886	176.0	5.272e-51									VOG23915	REFSEQ hypothetical protein; Xu	Xu	0	False	
MN901520.1_10	MN901520	MN901520.1	10	6489	7253	1	E			NP_542599.1	NP_542599.1 head maturation protease [Halorubrum phage HF2]	True	0.966	518.0	1.163e-166									VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
