locus_tag	ftype	length_bp	gene	EC_number	COG	product
PEEMJNGN_00001	CDS	459				hypothetical protein
PEEMJNGN_00002	CDS	750				hypothetical protein
PEEMJNGN_00003	CDS	390				hypothetical protein
PEEMJNGN_00004	CDS	966				hypothetical protein
PEEMJNGN_00005	CDS	1272				hypothetical protein
PEEMJNGN_00006	CDS	123				hypothetical protein
PEEMJNGN_00007	CDS	1884				hypothetical protein
PEEMJNGN_00008	CDS	1512				hypothetical protein
PEEMJNGN_00009	CDS	552				hypothetical protein
PEEMJNGN_00010	CDS	318				hypothetical protein
PEEMJNGN_00011	CDS	159				hypothetical protein
PEEMJNGN_00012	CDS	1482				hypothetical protein
PEEMJNGN_00013	CDS	471				hypothetical protein
PEEMJNGN_00014	CDS	285				hypothetical protein
PEEMJNGN_00015	CDS	252				hypothetical protein
PEEMJNGN_00016	CDS	225				hypothetical protein
PEEMJNGN_00017	CDS	303				hypothetical protein
PEEMJNGN_00018	CDS	282				hypothetical protein
PEEMJNGN_00019	CDS	189				hypothetical protein
PEEMJNGN_00020	CDS	225				hypothetical protein
PEEMJNGN_00021	CDS	618				hypothetical protein
PEEMJNGN_00022	CDS	234				hypothetical protein
PEEMJNGN_00023	CDS	3375				hypothetical protein
PEEMJNGN_00024	CDS	387				hypothetical protein
PEEMJNGN_00025	CDS	249				hypothetical protein
PEEMJNGN_00026	CDS	423				hypothetical protein
PEEMJNGN_00027	CDS	156				hypothetical protein
PEEMJNGN_00028	CDS	174				hypothetical protein
PEEMJNGN_00029	CDS	405				hypothetical protein
PEEMJNGN_00030	CDS	393				hypothetical protein
PEEMJNGN_00031	CDS	591				hypothetical protein
PEEMJNGN_00032	CDS	198				hypothetical protein
PEEMJNGN_00033	CDS	168				hypothetical protein
PEEMJNGN_00034	CDS	747				hypothetical protein
PEEMJNGN_00035	CDS	105				hypothetical protein
PEEMJNGN_00036	CDS	183				hypothetical protein
PEEMJNGN_00037	CDS	174				hypothetical protein
PEEMJNGN_00038	CDS	240				hypothetical protein
PEEMJNGN_00039	CDS	216				hypothetical protein
PEEMJNGN_00040	CDS	174				hypothetical protein
PEEMJNGN_00041	CDS	147				hypothetical protein
PEEMJNGN_00042	CDS	243				hypothetical protein
PEEMJNGN_00043	CDS	246				hypothetical protein
PEEMJNGN_00044	CDS	372				hypothetical protein
PEEMJNGN_00045	CDS	672				hypothetical protein
PEEMJNGN_00046	CDS	759				hypothetical protein
PEEMJNGN_00047	CDS	1698				hypothetical protein
PEEMJNGN_00048	CDS	2817				hypothetical protein
PEEMJNGN_00049	CDS	2283				hypothetical protein
PEEMJNGN_00050	CDS	1188				hypothetical protein
PEEMJNGN_00051	CDS	675				hypothetical protein
PEEMJNGN_00052	CDS	642				hypothetical protein
PEEMJNGN_00053	CDS	1155				hypothetical protein
PEEMJNGN_00054	CDS	498				hypothetical protein
PEEMJNGN_00055	CDS	915				hypothetical protein
PEEMJNGN_00056	CDS	528				hypothetical protein
PEEMJNGN_00057	CDS	453				hypothetical protein
