	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001891.1_1	QGNH01001891.1	QGNH01001891.1	1	50	328	1	E																		0	False	F
QGNH01001891.1_2	QGNH01001891.1	QGNH01001891.1	2	342	641	1	E																		0	False	F
QGNH01001891.1_3	QGNH01001891.1	QGNH01001891.1	3	716	946	-1	D														Lrp/AsnC ligand binding domain [PF01037.24]				0	False	F
QGNH01001891.1_4	QGNH01001891.1	QGNH01001891.1	4	1088	1342	1	D														RNA polymerases M/15 Kd subunit [PF02150.19]				0	False	F
QGNH01001891.1_5	QGNH01001891.1	QGNH01001891.1	5	1566	2513	1	D														Mechanosensitive ion channel [PF00924.21]				0	False	F
QGNH01001891.1_6	QGNH01001891.1	QGNH01001891.1	6	3397	4206	-1	D							MER0826950	M12A	MER0826950 - myroilysin (Lysinibacillus sphaericus) [M12.067]#M12A#{peptidase unit: 47-191}~source R7Z801~	False	181.0	3.874e-49	0.619	Astacin (Peptidase family M12A) [PF01400.27]; Matrixin [PF00413.27]				0	False	PF
QGNH01001891.1_7	QGNH01001891.1	QGNH01001891.1	7	4563	5750	1	E																		0	False	F
QGNH01001891.1_8	QGNH01001891.1	QGNH01001891.1	8	6371	6688	1	E																		0	False	
QGNH01001891.1_9	QGNH01001891.1	QGNH01001891.1	9	6649	6930	1	E																		0	False	
QGNH01001891.1_10	QGNH01001891.1	QGNH01001891.1	10	6917	7051	1	E																		0	False	
QGNH01001891.1_11	QGNH01001891.1	QGNH01001891.1	11	7521	8063	1	E																		0	False	
QGNH01001891.1_12	QGNH01001891.1	QGNH01001891.1	12	8060	8263	1	E																		0	False	
QGNH01001891.1_13	QGNH01001891.1	QGNH01001891.1	13	8729	9199	1	E																		0	False	
QGNH01001891.1_14	QGNH01001891.1	QGNH01001891.1	14	9196	9642	1	E																		0	False	
QGNH01001891.1_15	QGNH01001891.1	QGNH01001891.1	15	9639	10397	1	E																		0	False	
QGNH01001891.1_16	QGNH01001891.1	QGNH01001891.1	16	10657	10917	1	E																		0	False	
QGNH01001891.1_17	QGNH01001891.1	QGNH01001891.1	17	10931	11260	1	E																		0	False	
QGNH01001891.1_18	QGNH01001891.1	QGNH01001891.1	18	11282	11800	1	E																		0	False	
QGNH01001891.1_19	QGNH01001891.1	QGNH01001891.1	19	13343	13600	1	E																		0	False	F
QGNH01001891.1_20	QGNH01001891.1	QGNH01001891.1	20	13650	14102	1	E																		0	False	F
QGNH01001891.1_21	QGNH01001891.1	QGNH01001891.1	21	14065	14232	1	E																		0	False	F
QGNH01001891.1_22	QGNH01001891.1	QGNH01001891.1	22	14545	15393	1	D	YP_008059213.1	YP_008059213.1 terminase large subunit [Halogranum tailed virus 1]	False	102.0	2.436e-22	0.267								Terminase RNaseH-like domain [PF17289.5]				0	False	F
QGNH01001891.1_23	QGNH01001891.1	QGNH01001891.1	23	15477	15689	1	E																		0	False	F
QGNH01001891.1_24	QGNH01001891.1	QGNH01001891.1	24	15714	15833	1	E																		0	False	F
QGNH01001891.1_25	QGNH01001891.1	QGNH01001891.1	25	15820	17043	1	E																		0	False	F
QGNH01001891.1_26	QGNH01001891.1	QGNH01001891.1	26	17204	17620	1	E																		0	False	F
QGNH01001891.1_27	QGNH01001891.1	QGNH01001891.1	27	17793	18071	-1	E																		0	False	F
