target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_250229_251764_+	K22719	4.8e-50	156.2	511	18	507
strain_GIC31_complete_genome_2066540_2067844_-	K22719	2.7e-68	228.2	434	15	416
strain_GIC31_complete_genome_955267_957768_-	K03693	2.6e-274	909.9	833	12	824
strain_GIC31_complete_genome_1602708_1604957_-	K06877	2.3e-259	860.5	749	6	726
strain_GIC31_complete_genome_2832817_2834262_+	K05592	7.3e-173	549.4	481	5	389
strain_GIC31_complete_genome_1654285_1655703_-	K03654	2.3e-154	513.0	467	2	447
strain_GIC31_complete_genome_1074061_1075458_+	K18692	7e-176	582.4	465	20	464
strain_GIC31_complete_genome_2281134_2282663_-	K05592	2.4e-193	641.4	509	7	469
strain_GIC31_complete_genome_2298106_2299272_+	K05592	2.8e-109	363.6	388	6	370
strain_GIC31_complete_genome_1747020_1749050_-	K03655	7.6e-208	690.4	670	4	659
strain_GIC31_complete_genome_2699769_2701055_-	K01637	2.2e-211	295.5	428	248	424
strain_GIC31_complete_genome_2699769_2701055_-	K01637	2.2e-211	409.3	428	6	247
strain_GIC31_complete_genome_15726_17081_+	K04042	1.9e-204	678.4	451	5	451
strain_GIC31_complete_genome_2597278_2598408_+	K00259	2.3e-165	547.6	376	1	372
strain_GIC31_complete_genome_2167136_2168683_-	K00666	1.5e-166	552.9	515	3	509
strain_GIC31_complete_genome_2019512_2021185_-	K00666	1.3e-162	539.8	557	22	547
strain_GIC31_complete_genome_953516_955222_+	K01895	2.3e-218	724.7	568	19	568
strain_GIC31_complete_genome_1505345_1506904_-	K00666	1.3e-107	357.8	482	12	474
strain_GIC31_complete_genome_2276316_2277689_+	K01911	2.2e-123	410.3	457	6	451
strain_GIC31_complete_genome_1631330_1632601_-	K09667	4.5e-36	79.4	423	18	331
strain_GIC31_complete_genome_2002579_2003379_-	K00240	6.4e-73	243.1	262	6	248
strain_GIC31_complete_genome_861300_862481_+	K08153	1.1e-106	354.9	393	1	385
strain_GIC31_complete_genome_1332369_1333613_-	K08152	7.9e-63	208.9	414	5	404
strain_GIC31_complete_genome_1828045_1829256_+	K08161	1.6e-161	535.3	403	7	389
strain_GIC31_complete_genome_2315615_2317126_-	K08166	1.3e-88	294.7	503	19	493
strain_GIC31_complete_genome_484160_485359_-	K08152	3.1e-104	346.0	399	2	396
strain_GIC31_complete_genome_847180_848394_+	K08162	2.8e-63	211.3	404	13	388
strain_GIC31_complete_genome_2308591_2309748_-	K08153	1.5e-57	192.7	385	4	379
strain_GIC31_complete_genome_2262733_2263875_+	K08153	4e-39	131.9	380	6	370
strain_GIC31_complete_genome_917368_918558_+	K08153	4.5e-41	138.5	396	3	386
strain_GIC31_complete_genome_1610086_1611318_-	K08221	1.8e-37	125.2	410	11	403
strain_GIC31_complete_genome_2772741_2773925_+	K08153	5e-45	151.4	394	10	385
strain_GIC31_complete_genome_2771349_2772602_+	K08151	4.9e-25	85.5	417	14	413
strain_GIC31_complete_genome_1188320_1189501_-	K08174	3.3e-64	214.1	393	6	375
strain_GIC31_complete_genome_1464388_1465611_+	K08217	4.4e-59	197.6	407	4	392
strain_GIC31_complete_genome_2228824_2230056_+	K08152	3e-133	441.5	410	1	402
