	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_048182_1	NC_048182	NC_048182	1	28	1119	-1	E			YP_009821901.1	YP_009821901.1 virion structural protein [Edwardsiella phage pEt-SU]	True	0.994	764.0	1.4119999999999998e-249													VOG07959	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048182_2	NC_048182	NC_048182	2	1374	3284	1	E			YP_009821902.1	YP_009821902.1 nuclear shell protein [Edwardsiella phage pEt-SU]	True	0.942	1259.0	0.0													VOG02300	sp|F8SJT5|CHMA_BPPA3 Chimallin; Xu	Xu	0	False	F
NC_048182_3	NC_048182	NC_048182	3	3380	4969	1	D			YP_009821903.1	YP_009821903.1 RNA polymerase beta subunit [Edwardsiella phage pEt-SU]	True	0.984	1099.0	0.0								RNA polymerase Rpb1, domain 2 [PF00623.23]					VOG02544	sp|A5UH19|RPOC_HAEIG DNA-directed RNA polymerase subunit beta'; XhXr	Xr;Xh	0	False	VF
NC_048182_4	NC_048182	NC_048182	4	4969	5637	1	E			YP_009821905.1	YP_009821905.1 hypothetical protein HOV39_gp005 [Edwardsiella phage pEt-SU]	True	0.984	463.0	3.804e-148													VOG07963	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048182_5	NC_048182	NC_048182	5	5734	6195	1	E			YP_009821906.1	YP_009821906.1 RNA ligase [Edwardsiella phage pEt-SU]	False	0.991	322.0	1.16e-100																0	False	
NC_048182_6	NC_048182	NC_048182	6	6299	6454	1	E			YP_009821907.1	YP_009821907.1 hypothetical protein HOV39_gp007 [Edwardsiella phage pEt-SU]	False	0.945	104.0	9.021999999999999e-27																0	False	
NC_048182_7	NC_048182	NC_048182	7	6531	6941	1	E			YP_009821908.1	YP_009821908.1 hypothetical protein HOV39_gp008 [Edwardsiella phage pEt-SU]	False	0.972	281.0	1.274e-86													VOG07962	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_8	NC_048182	NC_048182	8	6941	7750	1	E			YP_009821909.1	YP_009821909.1 hypothetical protein HOV39_gp009 [Edwardsiella phage pEt-SU]	True	0.977	556.0	2.321e-179													VOG10741	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_9	NC_048182	NC_048182	9	7775	8911	1	E			YP_009821910.1	YP_009821910.1 SbcD-like subunit of palindrome specific endonuclease [Edwardsiella phage pEt-SU]	True	0.994	796.0	3.216e-260													VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1; Xp	Xp	0	False	
NC_048182_10	NC_048182	NC_048182	10	8901	9692	1	E			YP_009821911.1	YP_009821911.1 Cdc27 C terminal domain containing protein [Edwardsiella phage pEt-SU]	True	0.947	525.0	1.146e-168													VOG07964	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_11	NC_048182	NC_048182	11	9702	10502	1	E			YP_009821912.1	YP_009821912.1 hypothetical protein HOV39_gp012 [Edwardsiella phage pEt-SU]	True	0.953	535.0	4.984e-172													VOG03621	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_12	NC_048182	NC_048182	12	10630	12255	1	E			YP_009821913.1	YP_009821913.1 hypothetical protein HOV39_gp013 [Edwardsiella phage pEt-SU]	True	0.967	1103.0	0.0													VOG07965	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_13	NC_048182	NC_048182	13	12259	13800	1	E			YP_009821914.1	YP_009821914.1 hypothetical protein HOV39_gp014 [Edwardsiella phage pEt-SU]	True	0.946	1020.0	0.0													VOG02115	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_14	NC_048182	NC_048182	14	13821	15350	1	E			YP_009821915.1	YP_009821915.1 hypothetical protein HOV39_gp015 [Edwardsiella phage pEt-SU]	True	0.949	1016.0	0.0													VOG07966	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_15	NC_048182	NC_048182	15	15421	15762	-1	E			YP_009821916.1	YP_009821916.1 hypothetical protein HOV39_gp016 [Edwardsiella phage pEt-SU]	False	0.998	241.0	4.092e-73													VOG00391	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048182_16	NC_048182	NC_048182	16	15846	17942	1	D			YP_009821917.1	YP_009821917.1 RNA polymerase beta subunit [Edwardsiella phage pEt-SU]	True	0.978	1441.0	0.0								RNA polymerase Rpb2, domain 6 [PF00562.31]								0	False	
