locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
CAJNCI010000001.1_176_352_+		K02970	COG0828		phrog_21469	VOG04372	COG:COG0828	58	3.8e-26	87.6		RpsU; Ribosome 30S subunit
CAJNCI010000001.1_480_1418_+	K06023	K06023	COG1493				FOAM:K06023	312	4e-125	415.4	2.7.11.- 2.7.4.-	hprK, ptsK; HPr kinase/phosphorylase
CAJNCI010000001.1_1411_2199_+		K13292	COG0682				COG:COG0682	262	2.6e-93	309.3		Lgt; 
CAJNCI010000001.1_2200_2583_+			COG4768				COG:COG4768	127	9e-36	120.2		; 
CAJNCI010000001.1_2599_2994_+			COG4980				COG:COG4980	131	6.8e-12	42.3		GvpP; 
CAJNCI010000001.1_3141_3272_+												Hypothetical
CAJNCI010000001.1_3498_8597_+		K14195, K14195			phrog_13340		KEGG:K14195	1699	3e-46	93.6		sasG; surface protein G
CAJNCI010000001.1_9217_9354_+												Hypothetical
CAJNCI010000001.1_9403_17691_+												Hypothetical
CAJNCI010000001.1_17814_18488_+			COG1479		phrog_21165		COG:COG1479	224	1.6e-20	70.2		GmrSD; 
CAJNCI010000001.1_18741_19238_+		K13732					KEGG:K13732	165	9.6e-10	34.2		fnbA; fibronectin-binding protein A
CAJNCI010000001.1_19363_20544_+		K02495	COG0635			VOG17506	COG:COG0635	393	9.2e-147	486.1		HemN; Heme biosynthesis
CAJNCI010000001.1_20546_21286_+		K10782	COG3884				COG:COG3884	246	3.3e-73	242.8		FatA; 
CAJNCI010000001.1_21296_22069_+		K02566	COG0647		phrog_8468		COG:COG0647	257	1.2e-98	326.9		NagD; 
CAJNCI010000001.1_22059_22673_+			COG4478				COG:COG4478	204	2.7e-53	177.5		; 
CAJNCI010000001.1_22984_23385_+		K16509			phrog_16693		KEGG:K16509	133	5.8e-68	225.7		spxA; regulatory protein spx
CAJNCI010000001.1_23385_23663_+			COG4476				COG:COG4476	92	4.6e-38	126.2		YktA; 
CAJNCI010000001.1_23653_24426_+		K01092	COG0483				COG:COG0483	257	1.3e-63	211.9		SuhB; Gluconeogenesis
CAJNCI010000001.1_24427_25731_+	K11392	K11392	COG3270				COG:COG3270	434	3.8e-166	550.3		Ncl1; 
CAJNCI010000001.1_25953_26831_+	K02040	K02040	COG0226		phrog_5385	VOG00025	COG:COG0226	292	2.7e-85	283.7		PstS; 
CAJNCI010000001.1_26831_27748_+	K02037	K02037	COG0573		phrog_6743		COG:COG0573	305	2.6e-120	399.9		PstC; 
CAJNCI010000001.1_27738_28622_+	K02038	K02038	COG0581		phrog_6743		COG:COG0581	294	8.1e-95	314.2		PstA; 
CAJNCI010000001.1_28633_29436_+	K02036	K02036	COG1117		phrog_293	VOG02992	FOAM:K02036	267	1.1e-136	454.1	7.3.2.1	pstB; phosphate transport system ATP-binding protein
CAJNCI010000001.1_29449_30207_+	K02036	K02036	COG1117		phrog_293	VOG02992	FOAM:K02036	252	1.6e-135	450.2	7.3.2.1	pstB; phosphate transport system ATP-binding protein
CAJNCI010000001.1_30216_30872_+		K02039	COG0704				COG:COG0704	218	3.4e-76	253.9		PhoU; 
CAJNCI010000001.1_30964_31431_+	K03574	K03574	COG1051		phrog_1198	VOG00917	PHROG:phrog_1198	155	9.8e-30	100.5		MutT/NUDIX hydrolase
CAJNCI010000001.1_31552_32367_+		K23059	COG0834		phrog_10776		KEGG:K23059	271	2e-86	287.3		artP, artI; arginine/lysine/histidine transporter system substrate-binding protein
CAJNCI010000001.1_32494_33765_-		K00375	COG1167		phrog_9285	VOG06448	COG:COG1167	423	1.7e-90	300.3		ARO8; Lysine biosynthesis
CAJNCI010000001.1_34107_34838_+		K01575	COG3527				KEGG:K01575	243	1.3e-89	296.6	4.1.1.5	alsD, budA, aldC; acetolactate decarboxylase
CAJNCI010000001.1_34848_35600_+			COG4377				COG:COG4377	250	1.6e-73	244.1		YhfC; 
CAJNCI010000001.1_35716_36621_+	K00075	K00075	COG0812				COG:COG0812	301	4.8e-126	417.5		MurB; Mureine biosynthesis
CAJNCI010000001.1_36781_37938_+	K11072	K11072	COG3842		phrog_293	VOG06047	FOAM:K11072	385	2.2e-172	571.5	7.6.2.11	potA; spermidine/putrescine transport system ATP-binding protein
CAJNCI010000001.1_37919_38725_+	K11071	K11071	COG1176		phrog_1577		COG:COG1176	268	1.7e-98	327.5		PotB; 
CAJNCI010000001.1_38722_39495_+	K11070	K11070	COG1177		phrog_1577		FOAM:K11070	257	1.3e-92	308.3		potC; spermidine/putrescine transport system permease protein
CAJNCI010000001.1_39492_40562_+	K11069	K11069	COG0687		phrog_22867		COG:COG0687	356	1.2e-126	419.8		PotD; 
CAJNCI010000001.1_41237_41722_+			COG4894				COG:COG4894	161	1.2e-51	171.6		YxjI; 
CAJNCI010000001.1_41744_44362_+		K01872	COG0013		phrog_28604	VOG21387	COG:COG0013	872	0	1135.1		AlaS; Aminoacyl-tRNA synthetases
CAJNCI010000001.1_44450_45904_-	K01176	K01176	COG0366	GH13			FOAM:K01176	484	9.7e-84	278.6	3.2.1.1	AMY, amyA, malS; alpha-amylase
CAJNCI010000001.1_46083_46832_+	K01990	K01990	COG1131		phrog_293	VOG35465	COG:COG1131	249	4.2e-93	309.4		CcmA; 
CAJNCI010000001.1_46813_48447_+												Hypothetical
CAJNCI010000001.1_49026_51176_-		K19005	COG1368			VOG05127	KEGG:K19005	716	1.1e-215	715.5	2.7.8.20	ltaS; lipoteichoic acid synthase
CAJNCI010000001.1_51285_52457_+	K06969	K06969	COG1092		phrog_26699		PHROG:phrog_26699	390	1.4e-140	465.1		DNA methyltransferase
CAJNCI010000001.1_52454_53131_+	K03785	K03785	COG0710				COG:COG0710	225	7.1e-64	213.0		AroD; Aromatic amino acid biosynthesis
CAJNCI010000001.1_53121_53975_+	K00014	K00014	COG0169				COG:COG0169	284	2.7e-110	366.8		AroE; Aromatic amino acid biosynthesis
CAJNCI010000001.1_53994_55061_+	K01735	K01735	COG0337			VOG19363	COG:COG0337	355	2.9e-144	478.2		AroB; Aromatic amino acid biosynthesis
CAJNCI010000001.1_55071_56237_+	K01736	K01736	COG0082			VOG15736	COG:COG0082	388	3.2e-156	517.3		AroC; Aromatic amino acid biosynthesis
CAJNCI010000001.1_56247_57350_+	K04517	K04517	COG0287				COG:COG0287	367	4.9e-103	342.0		TyrA; Aromatic amino acid biosynthesis
CAJNCI010000001.1_57361_57699_+			COG3679				COG:COG3679	112	2e-30	102.3		YlbF; 
CAJNCI010000001.1_57779_59074_+		K24018	COG0128		phrog_25097		COG:COG0128	431	6.6e-165	546.8		AroA; Aromatic amino acid biosynthesis
CAJNCI010000001.1_59067_59543_+	K00891	K00891	COG0703				COG:COG0703	158	2.7e-59	198.3		AroK; Aromatic amino acid biosynthesis
CAJNCI010000001.1_59540_60388_+	K04518	K04518	COG0077		phrog_10727		COG:COG0077	282	1.9e-103	343.6		PheA2; Aromatic amino acid biosynthesis
