Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
NC_001781.1	11.0	11.0	0.0	0.0	3.0	7.0	7.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	11.0	10.0	1.0	0.0
NC_001927.1						2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_002670.1	22.0	7.0	1.0	14.0	3.0	8.0	6.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	23.0	1.0	22.0	0.0
NC_003497.1						2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_003542.1						2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
NC_003561.1						1.0	0.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_003687.1	2.0	1.0	0.0	1.0	1.0	6.0	1.0	0.0	5.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_003692.1						3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_003822.1	3.0	3.0	0.0	0.0	1.0	5.0	4.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0
NC_004065.1	156.0	93.0	50.0	13.0	3.0	8.0	6.0	0.0	2.0	127.0	89.0	0.0	38.0	162.0	106.0	50.0	6.0	30.0	155.0	22.0	133.0	0.0
NC_005080.1	2.0	1.0	0.0	1.0	1.0	4.0	2.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_007552.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_007638.1	4.0	4.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0
NC_008007.1	16.0	16.0	0.0	0.0	0.0	7.0	4.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	16.0	3.0	13.0	0.0
NC_008293.1	132.0	107.0	16.0	9.0	11.0	8.0	7.0	0.0	1.0	107.0	101.0	0.0	6.0	133.0	119.0	9.0	5.0	27.0	129.0	36.0	93.0	0.0
NC_009603.1	67.0	26.0	39.0	2.0	4.0	8.0	2.0	0.0	6.0	43.0	18.0	0.0	25.0	78.0	26.0	38.0	14.0	9.0	67.0	1.0	66.0	0.0
NC_010328.1						3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_013075.1	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_013402.1						2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_014066.1	3.0	3.0	0.0	0.0	0.0	7.0	6.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0
NC_014519.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_014742.1	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_015159.1	49.0	29.0	20.0	0.0	6.0	5.0	5.0	0.0	0.0	29.0	20.0	0.0	9.0	48.0	32.0	16.0	0.0	10.0	49.0	18.0	31.0	0.0
NC_016881.1						2.0	0.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_017982.1	5.0	4.0	0.0	1.0	1.0	7.0	4.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	5.0	4.0	1.0	0.0
NC_019724.1	56.0	36.0	20.0	0.0	3.0	8.0	8.0	0.0	0.0	31.0	26.0	0.0	5.0	54.0	43.0	11.0	0.0	7.0	56.0	2.0	54.0	0.0
NC_020082.1	67.0	26.0	40.0	1.0	5.0	8.0	7.0	0.0	1.0	29.0	19.0	0.0	10.0	66.0	38.0	24.0	4.0	8.0	67.0	0.0	67.0	0.0
NC_021542.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_022328.1	96.0	31.0	65.0	0.0	1.0	7.0	1.0	0.0	6.0	38.0	12.0	0.0	26.0	96.0	62.0	34.0	0.0	6.0	96.0	0.0	96.0	0.0
NC_023485.1	3.0	1.0	2.0	0.0	0.0	3.0	2.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0
NC_024113.1	1.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_024918.1						2.0	0.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_025373.1	6.0	6.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	6.0	4.0	2.0	0.0
NC_027329.1	122.0	48.0	73.0	1.0	10.0	8.0	8.0	0.0	0.0	54.0	37.0	0.0	17.0	130.0	60.0	69.0	1.0	23.0	145.0	33.0	112.0	0.0
NC_027790.1						3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_027983.1	265.0	151.0	114.0	0.0	53.0	7.0	7.0	0.0	0.0	164.0	139.0	0.0	25.0	264.0	167.0	95.0	2.0	52.0	267.0	105.0	162.0	0.0
NC_028044.1	2.0	2.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0
NC_028957.1	290.0	139.0	151.0	0.0	45.0	8.0	7.0	0.0	1.0	158.0	129.0	0.0	29.0	288.0	188.0	98.0	2.0	51.0	287.0	92.0	195.0	0.0
NC_029083.1	172.0	36.0	136.0	0.0	4.0	7.0	6.0	0.0	1.0	54.0	31.0	1.0	22.0	171.0	79.0	92.0	0.0	18.0	186.0	18.0	168.0	0.0
NC_030448.1						5.0	1.0	0.0	4.0					0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
NC_030870.1	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_030882.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_031338.1	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_032132.1						2.0	0.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_032186.1	2.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_032457.1	2.0	1.0	1.0	0.0	0.0	4.0	1.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
