target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_2131288_2133072_+	CBM34	7.7e-41	136.3	594	6	138
strain_GIC31_complete_genome_649385_652327_+	CBM41	1e-43	81.8	980	45	147
strain_GIC31_complete_genome_649385_652327_+	CBM41	1e-43	71.4	980	158	251
strain_GIC31_complete_genome_2889056_2892484_-	CBM41	3.3e-16	54.5	1142	358	452
strain_GIC31_complete_genome_649385_652327_+	CBM48	4.2e-11	38.4	980	349	437
strain_GIC31_complete_genome_931423_933588_+	CBM48	4.6e-11	38.8	721	110	192
strain_GIC31_complete_genome_2584944_2586938_-	CBM48	1.1e-07	27.9	664	22	103
strain_GIC31_complete_genome_2818566_2821052_-	CBM4	8.4e-79	101.1	828	356	500
strain_GIC31_complete_genome_2818566_2821052_-	CBM4	8.4e-79	65.5	828	534	661
strain_GIC31_complete_genome_2818566_2821052_-	CBM4	8.4e-79	102.0	828	687	806
strain_GIC31_complete_genome_2695213_2696292_+	CBM50	1.6e-32	60.2	359	258	301
strain_GIC31_complete_genome_2695213_2696292_+	CBM50	1.6e-32	51.0	359	315	358
strain_GIC31_complete_genome_1367767_1368549_-	CBM50	1.2e-27	46.4	260	28	69
strain_GIC31_complete_genome_1367767_1368549_-	CBM50	1.2e-27	46.3	260	83	122
strain_GIC31_complete_genome_560065_561672_-	CBM50	5.8e-15	49.8	535	32	73
strain_GIC31_complete_genome_2761368_2764874_+	CBM56	1.9e-06	25.5	1168	413	487
strain_GIC31_complete_genome_1551688_1552437_+	CE12	8e-08	29.6	249	57	229
strain_GIC31_complete_genome_2624906_2625559_+	CE14	4.1e-31	104.4	217	6	124
strain_GIC31_complete_genome_1624361_1625044_-	CE14	1.1e-20	71.3	227	5	108
strain_GIC31_complete_genome_366962_367777_-	CE1	9.6e-43	143.6	271	23	263
strain_GIC31_complete_genome_2351364_2352146_+	CE1	5.5e-34	115.1	260	16	255
strain_GIC31_complete_genome_909540_910295_+	CE1	1.2e-09	35.4	251	36	234
strain_GIC31_complete_genome_1551688_1552437_+	CE3	3.7e-11	36.8	249	64	242
strain_GIC31_complete_genome_2695213_2696292_+	CE4	1.3e-35	118.7	359	56	179
strain_GIC31_complete_genome_551303_552160_-	CE4	4.8e-25	83.1	281	105	242
strain_GIC31_complete_genome_459851_460567_-	CE4	7.1e-23	77.9	238	30	154
strain_GIC31_complete_genome_328432_329433_+	CE4	2.2e-07	28.6	333	34	183
strain_GIC31_complete_genome_521445_522395_+	CE7	5.6e-93	308.5	316	6	312
strain_GIC31_complete_genome_2760224_2760979_-	CE7	6.4e-10	29.5	251	90	233
strain_GIC31_complete_genome_809963_810727_+	CE7	2.9e-09	27.0	254	81	236
strain_GIC31_complete_genome_2390836_2391981_-	CE9	1.2e-126	419.6	381	3	371
strain_GIC31_complete_genome_2254316_2255467_+	CE9	1.7e-16	31.9	383	309	351
strain_GIC31_complete_genome_2373375_2375084_-	CE9	1.4e-11	29.3	569	285	344
strain_GIC31_complete_genome_374906_376339_+	GH114	1.9e-10	38.2	477	50	219
strain_GIC31_complete_genome_331639_333348_+	GH13	5.6e-80	267.3	569	42	390
strain_GIC31_complete_genome_2758386_2760083_-	GH13	1.5e-79	265.0	565	42	390
strain_GIC31_complete_genome_2131288_2133072_+	GH13	4.1e-79	264.4	594	185	483
strain_GIC31_complete_genome_2674752_2676401_-	GH13	9.5e-78	259.3	549	27	376
strain_GIC31_complete_genome_727650_729284_+	GH13	3.7e-76	254.0	544	25	363
strain_GIC31_complete_genome_2125820_2127331_-	GH13	2.4e-71	238.4	503	55	359
strain_GIC31_complete_genome_2889056_2892484_-	GH13	6.6e-51	171.8	1142	682	1005
strain_GIC31_complete_genome_1089361_1090830_+	GH13	3.5e-50	168.8	489	22	375
strain_GIC31_complete_genome_297329_298873_+	GH13	5.3e-48	161.4	514	57	405
