	FragGeneScan_RW2_complete	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B	FragGeneScan_gsC_SM41	FragGeneScan_SH31	FragGeneScan_S17	FragGeneScan_JQGI01_HUD
Protein Count (Total)	3111	7678	3065	8078	7574	7232	7960	3230	3413	4014
Protein Count (>Min Score)	63	137	56	157	146	131	167	52	54	61
% Proteins > Min Score	2.03	1.78	1.83	1.94	1.93	1.81	2.1	1.61	1.58	1.52
Average Protein Length	293.42	294.66	284.25	288.18	292.61	290.05	290.02	279.95	273.77	251.71
FOAM KO Count	986	1674	950	1715	1672	1657	1721	947	931	1244
KEGG KO Count	3175	5265	3085	5284	5239	5230	5271	3097	3129	3790
GC count	1571335	4717608	1525438	4818592	4607745	4327035	4766349	1563581	1661072	1717696
GC %	52.05	60.86	52.27	60.59	60.76	60.38	60.32	51.73	53.11	51.13
N25	3019018	5057142	2918587	5076409	906847	4892145	5144365	59153	59793	1653876
N50	3019018	5057142	2918587	5076409	771545	4892145	5144365	44068	33886	453412
N75	3019018	870021	2918587	1169137	503598	678512	1007820	24079	17467	211691
N90	3019018	488135	2918587	576090	283601	464034	636073	12360	9787	692
Contig Min Length	3019018	147463	2918587	18458	191	272616	415166	795	24	301
Contig Max Length	3019018	5057142	2918587	5076409	1683200	4892145	5144365	198060	122784	1653876
