locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_020082.1_1		K07474	COG3728		phrog_51	VOG01634	VOG:VOG01634	166	2.1e-19	62.5		sp|P68928|TERS_BPSF6 Terminase small subunit
NC_020082.1_2		K06909	COG1783		phrog_3717	VOG00705	COG:COG1783	463	1.9e-67	219.7		XtmB:
NC_020082.1_3												Hypothetical
NC_020082.1_4		K09961	COG3567		phrog_146	VOG00562	PHROG:phrog_146	458	4.5e-137	449.5		portal protein
NC_020082.1_5					phrog_9174	VOG26274	VOG:VOG26274	245	1.1e-158	518.0		REFSEQ hypothetical protein
NC_020082.1_6					phrog_664		PHROG:phrog_664	300	3.8e-09	27.4		DNA binding protein
NC_020082.1_7												Hypothetical
NC_020082.1_8												Hypothetical
NC_020082.1_9												Hypothetical
NC_020082.1_10						VOG27210	VOG:VOG27210	117	1.4e-22	72.1		REFSEQ hypothetical protein
NC_020082.1_11												Hypothetical
NC_020082.1_12												Hypothetical
NC_020082.1_13		K09960	COG3566		phrog_530	VOG02460	VOG:VOG02460	408	2.5e-114	375.0		sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405
NC_020082.1_14					phrog_563	VOG03800	PHROG:phrog_563	166	1.2e-42	137.4		virion structural protein
NC_020082.1_15			COG4834		phrog_264	VOG02112	VOG:VOG02112	355	2.6e-95	311.3		sp|A0A0U5AF03|CAPSD_BPK22 Major capsid protein
NC_020082.1_16												Hypothetical
NC_020082.1_17												Hypothetical
NC_020082.1_18					phrog_8713		PHROG:phrog_8713	151	6.8e-10	30.0		tail fiber protein
NC_020082.1_19					phrog_492	VOG04081	VOG:VOG04081	62	1.1e-32	105.0		sp|Q03547|VEAE_BPP22 Eae protein
NC_020082.1_20					phrog_302	VOG00732	VOG:VOG00732	141	4e-31	99.4		REFSEQ virion structural protein
NC_020082.1_21					phrog_222	VOG02678	PHROG:phrog_222	198	6.7e-43	138.2		tail completion or Neck1 protein
NC_020082.1_22												Hypothetical
NC_020082.1_23												Hypothetical
NC_020082.1_24					phrog_205	VOG03778	VOG:VOG03778	381	5.3e-85	212.4		REFSEQ tail sheath
NC_020082.1_25					phrog_280	VOG03723	VOG:VOG03723	135	1.6e-28	91.3		sp|D6RRG7|ORF10_BPKPP Structural protein ORF10
NC_020082.1_26												Hypothetical
NC_020082.1_27					phrog_817	VOG01485	PHROG:phrog_817	220	8.6e-55	177.6		tail fiber protein
NC_020082.1_28					phrog_349	VOG00258	VOG:VOG00258	99	1.6e-23	75.1		REFSEQ virion structural protein
NC_020082.1_29												Hypothetical
