	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
BK059157.1_1	GCA_020497865.1	BK059157.1	1	2	2989	1	E					0	False	F
BK059157.1_2	GCA_020497865.1	BK059157.1	2	3039	3773	1	E					0	False	F
BK059157.1_3	GCA_020497865.1	BK059157.1	3	3829	4023	1	E					0	False	F
BK059157.1_4	GCA_020497865.1	BK059157.1	4	4058	5125	1	E					0	False	F
BK059157.1_5	GCA_020497865.1	BK059157.1	5	5266	5445	1	E					0	False	
BK059157.1_6	GCA_020497865.1	BK059157.1	6	5458	5658	1	E					0	False	
BK059157.1_7	GCA_020497865.1	BK059157.1	7	5858	6154	1	E					0	False	
BK059157.1_8	GCA_020497865.1	BK059157.1	8	6171	7799	1	E					0	False	F
BK059157.1_9	GCA_020497865.1	BK059157.1	9	7826	8998	1	E					0	False	F
BK059157.1_10	GCA_020497865.1	BK059157.1	10	8995	9249	1	E					0	False	F
BK059157.1_11	GCA_020497865.1	BK059157.1	11	9246	10520	1	E					0	False	F
BK059157.1_12	GCA_020497865.1	BK059157.1	12	10535	10990	1	E					0	False	F
BK059157.1_13	GCA_020497865.1	BK059157.1	13	11049	11282	1	E					0	False	F
BK059157.1_14	GCA_020497865.1	BK059157.1	14	11415	11828	-1	E					0	False	F
BK059157.1_15	GCA_020497865.1	BK059157.1	15	11839	12540	-1	E					0	False	F
