locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHBBOCKK_00001	CDS	936	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IHBBOCKK_00002	CDS	960				hypothetical protein
IHBBOCKK_00003	CDS	1407				hypothetical protein
IHBBOCKK_00004	CDS	246				hypothetical protein
IHBBOCKK_00005	CDS	660				hypothetical protein
IHBBOCKK_00006	CDS	1365				hypothetical protein
IHBBOCKK_00007	CDS	210				hypothetical protein
IHBBOCKK_00008	CDS	387				hypothetical protein
IHBBOCKK_00009	CDS	1323	eis	2.3.1.-		N-acetyltransferase Eis
IHBBOCKK_00010	CDS	1176	mdtH			Multidrug resistance protein MdtH
IHBBOCKK_00011	CDS	918		2.1.1.-	COG1964	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase
IHBBOCKK_00012	CDS	915	fcl_1	1.1.1.271		GDP-L-fucose synthase
IHBBOCKK_00013	CDS	1119				hypothetical protein
IHBBOCKK_00014	CDS	279				hypothetical protein
IHBBOCKK_00015	CDS	1596	miaB_1	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IHBBOCKK_00016	CDS	2472	lacZ_1	3.2.1.23		Beta-galactosidase
IHBBOCKK_00017	CDS	237				hypothetical protein
IHBBOCKK_00018	CDS	417	moaE_1	2.8.1.-	COG0314	putative molybdopterin synthase
IHBBOCKK_00019	CDS	426	moaC_1	4.6.1.17	COG0315	putative cyclic pyranopterin monophosphate synthase
IHBBOCKK_00020	CDS	504	moaB_1	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
IHBBOCKK_00021	CDS	933	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IHBBOCKK_00022	CDS	1272				hypothetical protein
IHBBOCKK_00023	CDS	669	chbG	3.5.1.105		Chitooligosaccharide deacetylase
IHBBOCKK_00024	CDS	213				hypothetical protein
IHBBOCKK_00025	CDS	318				hypothetical protein
IHBBOCKK_00026	CDS	753				hypothetical protein
IHBBOCKK_00027	CDS	1134	allB	3.5.2.5		Allantoinase
IHBBOCKK_00028	CDS	126				hypothetical protein
IHBBOCKK_00029	CDS	261				hypothetical protein
IHBBOCKK_00030	CDS	915				hypothetical protein
IHBBOCKK_00031	CDS	729	aglD	2.4.1.-	COG0392	Glycosyltransferase AglD
IHBBOCKK_00032	CDS	2016				hypothetical protein
IHBBOCKK_00033	rRNA	1147				16S ribosomal RNA (partial)
IHBBOCKK_00034	CDS	585		3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
IHBBOCKK_00035	CDS	522		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
IHBBOCKK_00036	CDS	1128	xylA_1	5.3.1.5		Xylose isomerase
IHBBOCKK_00037	CDS	2055				hypothetical protein
IHBBOCKK_00038	CDS	1311				hypothetical protein
IHBBOCKK_00039	CDS	150				hypothetical protein
IHBBOCKK_00040	CDS	1542	glpK_1	2.7.1.30	COG0554	Glycerol kinase
IHBBOCKK_00041	CDS	1164				hypothetical protein
IHBBOCKK_00042	CDS	954				hypothetical protein
IHBBOCKK_00043	CDS	291				hypothetical protein
IHBBOCKK_00044	CDS	204	ala_1	1.4.1.1		Alanine dehydrogenase
IHBBOCKK_00045	CDS	1116				hypothetical protein
IHBBOCKK_00046	CDS	189				hypothetical protein
IHBBOCKK_00047	CDS	213				hypothetical protein
IHBBOCKK_00048	CDS	168				hypothetical protein
IHBBOCKK_00049	CDS	303				hypothetical protein
IHBBOCKK_00050	CDS	126				hypothetical protein
IHBBOCKK_00051	CDS	219				hypothetical protein
IHBBOCKK_00052	CDS	288				hypothetical protein
IHBBOCKK_00053	CDS	348				hypothetical protein
IHBBOCKK_00054	CDS	120				hypothetical protein
IHBBOCKK_00055	CDS	759				hypothetical protein
IHBBOCKK_00056	CDS	1173				hypothetical protein
IHBBOCKK_00057	CDS	297				hypothetical protein
IHBBOCKK_00058	CDS	255				hypothetical protein
IHBBOCKK_00059	CDS	180				hypothetical protein
IHBBOCKK_00060	CDS	780				hypothetical protein
IHBBOCKK_00061	CDS	294				hypothetical protein
IHBBOCKK_00062	CDS	420				hypothetical protein
IHBBOCKK_00063	CDS	249				hypothetical protein
IHBBOCKK_00064	CDS	132				hypothetical protein
IHBBOCKK_00065	CDS	1005	fcl_2	1.1.1.271		GDP-L-fucose synthase
IHBBOCKK_00066	CDS	690	yccX_1	3.6.1.7		Acylphosphatase
IHBBOCKK_00067	CDS	399				hypothetical protein
IHBBOCKK_00068	CDS	219				hypothetical protein
IHBBOCKK_00069	CDS	720	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
IHBBOCKK_00070	CDS	975		2.7.1.-	COG0524	Putative sugar kinase
IHBBOCKK_00071	CDS	951				hypothetical protein
IHBBOCKK_00072	CDS	930				hypothetical protein
IHBBOCKK_00073	CDS	309				hypothetical protein
IHBBOCKK_00074	CDS	246				hypothetical protein
IHBBOCKK_00075	CDS	189				hypothetical protein
IHBBOCKK_00076	CDS	690				hypothetical protein
IHBBOCKK_00077	CDS	453			COG1522	putative HTH-type transcriptional regulator
IHBBOCKK_00078	CDS	1206	fpaA	1.-.-.-	COG0426	Type A flavoprotein FprA
IHBBOCKK_00079	CDS	1290				hypothetical protein
IHBBOCKK_00080	CDS	540		3.2.2.-	COG2110	ADP-ribose glycohydrolase
IHBBOCKK_00081	CDS	813	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
IHBBOCKK_00082	CDS	543				hypothetical protein
IHBBOCKK_00083	CDS	1269	cren-1			Crenactin
IHBBOCKK_00084	CDS	657				hypothetical protein
IHBBOCKK_00085	CDS	372	iscU2_1		COG0822	Iron-sulfur cluster assembly scaffold protein IscU 2
IHBBOCKK_00086	CDS	1215	sufS	2.8.1.7	COG0520	Cysteine desulfurase
IHBBOCKK_00087	CDS	96				hypothetical protein
