target	query	e-value	score	length	start	end
NZ_ATCL01000020.1_106625_107929_+	COG0001	2e-251	834.3	434	2	431
NZ_ATCL01000021.1_3604_4902_+	COG0001	3.2e-216	717.8	432	5	432
NZ_ATCL01000022.1_329100_330245_+	COG4992	8.9e-161	533.6	381	4	377
NZ_ATCL01000003.1_63050_64252_+	COG4992	2.5e-184	611.3	400	3	395
NZ_ATCL01000017.1_67139_68686_-	COG0365	8.6e-132	438.4	515	10	508
NZ_ATCL01000020.1_71756_73429_+	COG0365	1.2e-124	414.7	557	24	554
NZ_ATCL01000009.1_201964_203670_+	COG0365	5.5e-241	799.6	568	14	568
NZ_ATCL01000021.1_54158_55531_+	COG0365	2.5e-81	271.4	457	4	453
NZ_ATCL01000022.1_326108_327133_+	COG0002	3e-123	408.9	341	1	339
NZ_ATCL01000003.1_44977_45972_+	COG0136	1.9e-141	468.9	331	2	328
NZ_ATCL01000014.1_591682_593442_+	COG0003	2.1e-139	305.3	586	1	294
NZ_ATCL01000014.1_591682_593442_+	COG0003	2.1e-139	109.7	586	318	472
NZ_ATCL01000020.1_137579_138436_+	COG2894	1.4e-130	433.3	285	9	283
NZ_ATCL01000015.1_51510_52541_+	COG0489	1.5e-73	246.0	343	5	341
NZ_ATCL01000012.1_59017_59799_-	COG1192	4.4e-53	178.2	260	1	253
NZ_ATCL01000014.1_389583_390299_+	COG3206	1.7e-84	281.6	238	17	237
NZ_ATCL01000020.1_393847_394686_+	COG0455	3.8e-80	267.3	279	2	271
NZ_ATCL01000012.1_57558_58334_-	COG1192	7.2e-62	207.3	253	2	252
NZ_ATCL01000017.1_75361_76659_+	COG0004	9.9e-136	450.6	432	2	410
NZ_ATCL01000020.1_862789_863598_-	COG0005	1.9e-108	360.0	269	4	268
NZ_ATCL01000020.1_931445_932515_-	COG0006	4.5e-140	465.1	356	3	354
NZ_ATCL01000009.1_221758_222855_-	COG0006	3.8e-127	422.5	365	2	362
NZ_ATCL01000015.1_43634_44392_+	COG0024	7.2e-134	443.3	252	1	251
NZ_ATCL01000021.1_56632_57381_-	COG0024	6.2e-95	315.1	249	5	245
NZ_ATCL01000015.1_8496_9950_+	COG0008	1.2e-175	583.1	484	2	482
NZ_ATCL01000014.1_234378_235376_+	COG0009	1.5e-125	417.2	332	7	330
NZ_ATCL01000014.1_191705_192586_+	COG0010	1.2e-99	331.4	293	8	289
NZ_ATCL01000002.1_33734_34783_-	COG0010	2.2e-72	241.4	349	48	337
NZ_ATCL01000022.1_21934_23034_+	COG0012	2.6e-177	586.8	366	1	365
NZ_ATCL01000020.1_141405_142694_+	COG0536	2.3e-181	601.5	429	1	428
NZ_ATCL01000020.1_827248_828492_-	COG2262	8.3e-161	534.0	414	2	397
NZ_ATCL01000020.1_188033_190672_+	COG0013	0	1237.2	879	5	877
NZ_ATCL01000003.1_41810_42970_+	COG2872	1.6e-83	278.3	386	5	380
NZ_ATCL01000009.1_251564_253501_+	COG0441	9.9e-287	950.1	645	1	644
NZ_ATCL01000020.1_879307_880740_-	COG1012	1.7e-177	589.4	477	2	476
NZ_ATCL01000020.1_579772_582363_+	COG1454	1.6e-215	714.1	863	6	862
NZ_ATCL01000014.1_44552_46009_-	COG1012	9.5e-183	606.7	485	6	475
NZ_ATCL01000021.1_84953_86338_-	COG1012	7.5e-130	431.8	461	9	439
NZ_ATCL01000003.1_2324_3616_+	COG0015	5.5e-186	616.4	430	1	428
NZ_ATCL01000020.1_558032_559432_+	COG0114	5.7e-226	747.9	466	1	461
NZ_ATCL01000020.1_779973_781355_+	COG0165	2.8e-218	723.6	460	1	457
NZ_ATCL01000009.1_259221_260243_+	COG0016	1.6e-166	552.5	340	1	340
NZ_ATCL01000020.1_481053_482366_+	COG0017	3.8e-182	603.5	437	3	435
NZ_ATCL01000020.1_167533_169305_+	COG0173	7.6e-290	960.6	590	3	589
NZ_ATCL01000023.1_12621_14093_+	COG1190	5.1e-297	986.1	490	1	490
NZ_ATCL01000022.1_300938_302620_+	COG0018	8.4e-181	599.9	560	6	560
NZ_ATCL01000003.1_50342_51634_+	COG0019	3.6e-139	461.9	430	9	426
NZ_ATCL01000020.1_402713_403450_+	COG0020	4.5e-126	419.2	245	14	245
NZ_ATCL01000020.1_818008_819999_-	COG0021	0	1072.5	663	8	663
NZ_ATCL01000020.1_923077_924978_-	COG1154	4.8e-280	928.0	633	4	631
NZ_ATCL01000020.1_910915_911922_-	COG1071	2.5e-141	469.8	335	8	332
NZ_ATCL01000020.1_909938_910915_-	COG0022	6.8e-166	551.3	310	1	309
NZ_ATCL01000020.1_251264_252349_+	COG1071	5.1e-129	429.1	361	15	360
NZ_ATCL01000020.1_252353_253330_+	COG0022	3.9e-170	565.3	325	1	324
NZ_ATCL01000020.1_4163_7009_+	COG0567	0	1229.4	948	8	938
NZ_ATCL01000014.1_132548_134089_-	COG3263	5.8e-193	639.6	513	12	505
