Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP030760.1_2702310_2703263_+	phrog_1		1.1e-53	180.2
NZ_CP030762.1_68841_69842_+	phrog_1		1.1e-48	163.8
NZ_CP030761.1_811576_812577_+	phrog_1		1.1e-48	163.8
NZ_CP030760.1_4330761_4331762_+	phrog_1		1.1e-48	163.8
NZ_CP030762.1_55772_56773_-	phrog_1		4.1e-48	162.0
NZ_CP030761.1_122744_123868_+	phrog_100		7.3e-11	39.2
NZ_CP030762.1_327980_328189_-	phrog_10089		1.1e-17	59.4
NZ_CP030760.1_4638324_4639862_+	phrog_1012		5.7e-41	136.8
NZ_CP030763.1_293786_295288_+	phrog_1012		4e-35	117.1
NZ_CP030760.1_3350462_3351961_+	phrog_1012		1.4e-24	83.6
NZ_CP030762.1_60919_61305_-	phrog_1013		9.3e-14	48.2
NZ_CP030760.1_330422_330583_-	phrog_10276		9.3e-18	62.3
NZ_CP030760.1_3197450_3198058_+	phrog_10300		1e-09	35.4
NZ_CP030761.1_701490_701945_-	phrog_10313		4.4e-23	79.1
NZ_CP030761.1_1118059_1118514_-	phrog_10313		2.6e-21	73.4
NZ_CP030760.1_3995764_3996294_-	phrog_10313		7.3e-18	62.1
NZ_CP030761.1_703619_704074_+	phrog_10313		3e-16	56.8
NZ_CP030763.1_766314_766847_+	phrog_10313		3.4e-15	52.2
NZ_CP030760.1_2265313_2265867_-	phrog_10385		1.7e-18	62.5
NZ_CP030760.1_2265871_2266383_-	phrog_10385		3.5e-15	51.8
NZ_CP030760.1_3162906_3163391_+	phrog_1040		3.6e-22	76.6
NZ_CP030760.1_3973363_3973629_+	phrog_10408		4.1e-19	64.9
NZ_CP030762.1_405321_405587_-	phrog_10408		1.8e-19	64.9
NZ_CP030760.1_2878411_2880003_-	phrog_10430		4.3e-72	240.5
NZ_CP030761.1_117207_117485_+	phrog_10531		4.4e-12	43.5
NZ_CP030764.1_98159_98554_+	phrog_10531		2.5e-12	43.0
NZ_CP030760.1_3297000_3300050_+	phrog_107		2.4e-43	145.5
NZ_CP030760.1_2963021_2963887_-	phrog_10724		7.8e-43	143.8
NZ_CP030760.1_1538600_1539364_+	phrog_10724		5e-42	141.1
NZ_CP030760.1_3315643_3316380_+	phrog_10724		4.7e-37	125.1
NZ_CP030761.1_817631_818362_+	phrog_10724		5.2e-32	108.5
NZ_CP030762.1_182365_183129_+	phrog_10724		3.7e-31	105.7
NZ_CP030760.1_3269507_3270361_-	phrog_10727		7.5e-36	121.0
NZ_CP030761.1_71701_72450_-	phrog_10776		3.5e-62	208.3
NZ_CP030760.1_949854_950627_+	phrog_10776		1.4e-59	199.5
NZ_CP030760.1_2997703_2998476_+	phrog_10776		5.3e-54	181.2
