target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_1985010_1986314_-	COG0001	1.3e-244	811.8	416	1	413
strain_GIC31_complete_genome_2225761_2227059_+	COG0001	1.6e-217	722.1	432	6	432
strain_GIC31_complete_genome_2364223_2365425_-	COG0001	4.9e-62	207.2	400	19	345
strain_GIC31_complete_genome_2560518_2561663_-	COG0001	1.4e-60	202.7	359	1	352
strain_GIC31_complete_genome_2167136_2168683_-	COG0001	2e-13	46.8	515	6	257
strain_GIC31_complete_genome_2019512_2021185_-	COG0001	1.3e-12	43.8	557	25	259
strain_GIC31_complete_genome_953516_955222_+	COG0001	8.1e-10	34.9	568	61	230
strain_GIC31_complete_genome_2276316_2277689_+	COG0001	1.2e-07	27.6	457	7	182
strain_GIC31_complete_genome_2563630_2564655_-	COG0002	4.5e-124	411.6	341	1	339
strain_GIC31_complete_genome_2382504_2383499_-	COG0002	9.9e-30	96.8	331	1	329
strain_GIC31_complete_genome_642855_644615_+	COG0003	1.2e-140	303.8	586	1	294
strain_GIC31_complete_genome_642855_644615_+	COG0003	1.2e-140	125.3	586	317	512
strain_GIC31_complete_genome_642855_644615_+	COG0003	1.2e-140	62.0	586	456	583
strain_GIC31_complete_genome_1953534_1954391_-	COG0003	2.6e-15	37.6	285	16	67
strain_GIC31_complete_genome_100026_101057_+	COG0003	4.9e-11	38.7	343	96	137
strain_GIC31_complete_genome_496447_497163_+	COG0003	1.6e-10	27.5	238	38	92
strain_GIC31_complete_genome_2175357_2176655_+	COG0004	4.6e-136	451.7	432	2	410
strain_GIC31_complete_genome_1192825_1193634_+	COG0005	1.9e-108	360.0	269	4	268
strain_GIC31_complete_genome_1123911_1124981_+	COG0006	3.3e-139	462.2	356	3	354
strain_GIC31_complete_genome_974208_975305_-	COG0006	1e-126	421.1	365	2	362
strain_GIC31_complete_genome_92150_92908_+	COG0006	1.2e-51	173.3	252	4	248
strain_GIC31_complete_genome_2278790_2279539_-	COG0006	4.2e-39	131.8	249	6	246
strain_GIC31_complete_genome_57012_58466_+	COG0008	2.5e-176	585.4	484	2	482
strain_GIC31_complete_genome_364409_365407_+	COG0009	1.5e-125	417.2	332	7	330
strain_GIC31_complete_genome_320278_321159_+	COG0010	1.2e-99	331.4	293	8	289
strain_GIC31_complete_genome_107823_108872_+	COG0010	2.2e-72	241.4	349	48	337
strain_GIC31_complete_genome_2857714_2858814_-	COG0012	8e-178	588.5	366	1	365
strain_GIC31_complete_genome_1949276_1950565_-	COG0012	2.1e-27	83.4	429	159	275
strain_GIC31_complete_genome_1223248_1224492_+	COG0012	9.9e-08	27.3	414	195	243
strain_GIC31_complete_genome_1900446_1903085_-	COG0013	0	1240.1	879	5	877
strain_GIC31_complete_genome_2385506_2386666_-	COG0013	2.5e-61	204.8	386	5	381
strain_GIC31_complete_genome_1004014_1005951_+	COG0013	3.2e-12	42.0	645	72	204
strain_GIC31_complete_genome_1175683_1177116_+	COG0014	1.8e-17	38.6	477	161	438
strain_GIC31_complete_genome_1515980_1518571_-	COG0014	2.1e-15	47.9	863	128	275
strain_GIC31_complete_genome_160869_162326_-	COG0014	1.2e-10	33.4	485	40	312
strain_GIC31_complete_genome_2307115_2308500_-	COG0014	2.8e-08	28.1	461	9	273
strain_GIC31_complete_genome_2426156_2427448_-	COG0015	1.5e-181	601.8	421	1	419
strain_GIC31_complete_genome_1539318_1540718_-	COG0015	1.2e-27	92.9	466	56	458
strain_GIC31_complete_genome_1272105_1273487_-	COG0015	1.9e-26	89.8	430	16	377
strain_GIC31_complete_genome_1011671_1012693_+	COG0016	2.1e-165	548.9	340	1	340
strain_GIC31_complete_genome_1612727_1614040_-	COG0017	3.7e-182	603.5	437	3	435
strain_GIC31_complete_genome_1922268_1924040_-	COG0017	2.5e-81	196.1	584	7	281
strain_GIC31_complete_genome_1922268_1924040_-	COG0017	2.5e-81	72.9	584	466	554
strain_GIC31_complete_genome_41976_43448_+	COG0017	1e-59	199.5	490	46	488
strain_GIC31_complete_genome_2588114_2589796_-	COG0018	1.3e-180	599.3	560	6	560
strain_GIC31_complete_genome_2376842_2378134_-	COG0019	6.4e-137	454.5	417	2	413
strain_GIC31_complete_genome_1691639_1692376_-	COG0020	4.4e-126	419.2	245	14	245
strain_GIC31_complete_genome_1231731_1233722_+	COG0021	0	1073.6	663	8	663
strain_GIC31_complete_genome_1131448_1133349_+	COG0021	5.5e-48	33.3	633	18	185
strain_GIC31_complete_genome_1131448_1133349_+	COG0021	5.5e-48	106.9	633	354	630
strain_GIC31_complete_genome_1144504_1145511_+	COG0021	4e-17	58.6	335	109	248
