target	query	e-value	score	length	start	end
NZ_CP030760.1_3028	COG0001	3.3e-81	270.2	427	20	385
NZ_CP030760.1_3475	COG0001	1.8e-65	218.3	400	11	315
NZ_CP030760.1_2593	COG0001	4.8e-58	193.7	400	19	368
NZ_CP030760.1_3164	COG0001	3.1e-54	180.4	976	561	943
NZ_CP030761.1_66	COG0001	9.6e-52	65.2	444	14	135
NZ_CP030761.1_66	COG0001	9.6e-52	114.0	444	194	366
NZ_CP030760.1_4456	COG0001	3.6e-42	39.6	456	33	134
NZ_CP030760.1_4456	COG0001	3.6e-42	101.4	456	208	417
NZ_CP030761.1_57	COG0001	2.1e-24	82.3	1331	434	1063
NZ_CP030761.1_80	COG0001	2.7e-12	42.8	505	23	211
NZ_CP030760.1_3424	COG0001	5.8e-12	40.9	567	36	287
NZ_CP030760.1_2507	COG0001	7.1e-08	28.1	543	50	241
NZ_CP030760.1_4668	COG0002	5.5e-82	272.5	311	2	308
NZ_CP030760.1_2906	COG0002	9.7e-27	65.9	345	2	170
NZ_CP030760.1_2927	COG0003	3e-12	40.1	265	15	55
NZ_CP030760.1_2752	COG0004	4.2e-173	573.7	477	16	474
NZ_CP030760.1_3133	COG0005	9.6e-93	307.8	267	12	262
NZ_CP030760.1_3254	COG0007	2.4e-12	43.0	306	24	250
NZ_CP030760.1_2521	COG0008	8.9e-96	319.0	294	6	290
NZ_CP030760.1_3878	COG0009	3.3e-115	382.7	325	1	323
NZ_CP030760.1_4669	COG0010	4.5e-98	325.8	321	19	314
NZ_CP030760.1_2653	COG0010	2.3e-97	323.3	366	53	354
NZ_CP030760.1_2592	COG0010	9.6e-90	298.1	312	5	301
NZ_CP030760.1_2872	COG0012	1.2e-22	72.5	359	160	251
NZ_CP030760.1_2874	COG0014	3e-189	626.3	428	10	426
NZ_CP030760.1_2532	COG0015	1.3e-32	109.9	468	89	421
NZ_CP030760.1_3194	COG0016	3e-163	541.4	361	2	357
NZ_CP030760.1_4606	COG0017	4.2e-65	159.0	597	6	291
NZ_CP030760.1_4606	COG0017	4.2e-65	56.1	597	471	562
NZ_CP030760.1_2794	COG0017	2.1e-12	40.8	340	12	330
NZ_CP030760.1_2534	COG0019	1.2e-170	565.4	423	4	421
NZ_CP030760.1_3890	COG0021	2.8e-45	39.1	639	26	189
NZ_CP030760.1_3890	COG0021	2.8e-45	94.3	639	324	628
NZ_CP030760.1_3890	COG0022	2.6e-39	31.9	639	125	202
NZ_CP030760.1_3890	COG0022	2.6e-39	101.5	639	354	585
NZ_CP030760.1_2634	COG0022	2.4e-15	49.2	1028	358	672
NZ_CP030760.1_3816	COG0025	4.5e-22	75.0	605	8	495
NZ_CP030760.1_3605	COG0025	1.8e-15	53.1	607	7	392
NZ_CP030760.1_2515	COG0025	4.1e-14	28.6	583	7	339
NZ_CP030760.1_2841	COG0026	1.4e-21	73.0	1155	109	306
NZ_CP030760.1_3865	COG0026	5.4e-09	31.9	426	6	194
NZ_CP030760.1_2841	COG0027	8.4e-13	43.6	1155	102	308
NZ_CP030760.1_3865	COG0027	2e-11	39.4	426	2	188
NZ_CP030760.1_4489	COG0028	2.9e-112	372.9	617	35	578
NZ_CP030760.1_2643	COG0029	1.5e-151	502.9	614	16	581
NZ_CP030760.1_2675	COG0029	1.6e-15	28.1	979	112	156
NZ_CP030760.1_2675	COG0029	1.6e-15	32.4	979	593	812
NZ_CP030760.1_4428	COG0029	1e-10	30.1	555	8	50
NZ_CP030760.1_3683	COG0029	1.4e-09	29.2	402	10	57
NZ_CP030760.1_2781	COG0029	2.4e-09	31.4	428	28	76
NZ_CP030760.1_3681	COG0029	2e-08	29.4	433	34	80
NZ_CP030760.1_2800	COG0029	3.7e-08	29.3	399	3	52
NZ_CP030760.1_2627	COG0029	9.9e-08	27.9	469	1	40
NZ_CP030760.1_4563	COG0030	7.3e-99	328.1	276	6	274
NZ_CP030760.1_3251	COG0030	4.6e-15	52.7	200	38	133
NZ_CP030760.1_3393	COG0030	8.7e-13	44.9	224	45	127
NZ_CP030760.1_4074	COG0030	3.1e-12	42.9	269	26	112
NZ_CP030760.1_4057	COG0030	1.4e-08	30.8	288	38	113
NZ_CP030760.1_3750	COG0030	8.3e-08	27.7	386	37	104
NZ_CP030760.1_4295	COG0030	8.9e-08	28.3	218	38	111
NZ_CP030760.1_4044	COG0030	1.2e-07	28.0	272	23	103
NZ_CP030760.1_4055	COG0030	1.4e-07	27.8	232	31	95
NZ_CP030760.1_4257	COG0030	4.1e-07	26.1	257	19	103
NZ_CP030760.1_3261	COG0031	5.2e-153	507.2	321	5	317
NZ_CP030760.1_2897	COG0031	6.5e-39	130.7	311	9	274
NZ_CP030760.1_2954	COG0031	8.3e-16	52.9	407	64	384
NZ_CP030760.1_4542	COG0034	1.7e-206	683.9	497	10	482
NZ_CP030760.1_3277	COG0034	4.8e-11	38.7	271	74	259
NZ_CP030760.1_3137	COG0035	1.6e-103	342.1	210	3	209
NZ_CP030760.1_3232	COG0037	1.4e-09	33.8	521	207	285
NZ_CP030760.1_2702	COG0037	7.5e-09	28.9	408	8	175
NZ_CP030760.1_2436	COG0037	1.5e-08	30.0	237	4	61
NZ_CP030760.1_2461	COG0038	7.3e-18	59.1	223	3	180
NZ_CP030760.1_3766	COG0038	2e-15	52.6	495	92	235
NZ_CP030760.1_2482	COG0038	5.1e-12	41.7	147	3	134
NZ_CP030760.1_4258	COG0038	7.6e-09	31.4	425	208	343
NZ_CP030760.1_2561	COG0038	7.3e-08	28.2	437	200	364
NZ_CP030760.1_4209	COG0038	3.1e-07	25.7	608	279	422
NZ_CP030760.1_2638	COG0039	9.3e-142	469.6	321	1	316
NZ_CP030760.1_3800	COG0040	3.2e-77	257.6	232	1	230
NZ_CP030760.1_2976	COG0042	6.9e-14	28.8	249	139	226
NZ_CP030760.1_2659	COG0043	3.3e-127	422.0	481	18	473
NZ_CP030760.1_2677	COG0044	8e-151	500.1	478	1	468
NZ_CP030760.1_3289	COG0044	3.8e-111	369.1	460	2	450
NZ_CP030760.1_3096	COG0044	1.4e-18	39.3	402	22	120
NZ_CP030760.1_3414	COG0044	2.5e-18	59.8	349	35	320
NZ_CP030760.1_4594	COG0044	4e-17	35.5	390	2	93
NZ_CP030761.1_72	COG0044	1.1e-15	29.0	438	29	85
NZ_CP030761.1_72	COG0044	1.1e-15	25.6	438	361	398
NZ_CP030760.1_4386	COG0044	2.1e-15	36.0	411	3	81
NZ_CP030760.1_2802	COG0044	9.9e-14	29.3	384	2	157
NZ_CP030760.1_2637	COG0045	2.4e-176	583.9	398	1	396
NZ_CP030760.1_3577	COG0046	6e-19	64.3	325	42	301
NZ_CP030760.1_3865	COG0046	1.2e-16	56.8	426	1	231
NZ_CP030760.1_3865	COG0047	1e-39	132.8	426	1	313
NZ_CP030760.1_3577	COG0047	2.6e-08	28.6	325	186	306
NZ_CP030760.1_2695	COG0050	8.1e-28	93.8	607	5	248
NZ_CP030760.1_4196	COG0050	9.4e-26	84.7	499	34	328
NZ_CP030760.1_3052	COG0050	4.8e-21	72.2	918	421	621
NZ_CP030760.1_3179	COG0050	2e-12	43.7	611	21	147
NZ_CP030760.1_3268	COG0050	2.4e-11	38.0	528	18	158
NZ_CP030760.1_4306	COG0053	1.3e-35	71.3	339	25	154
NZ_CP030760.1_4306	COG0053	1.3e-35	54.8	339	197	305
NZ_CP030760.1_4627	COG0054	9.6e-56	185.2	152	5	150
NZ_CP030760.1_2615	COG0055	2.9e-258	854.9	479	6	476
NZ_CP030760.1_3630	COG0055	2.8e-58	194.6	466	106	402
NZ_CP030760.1_2617	COG0055	4.7e-38	127.9	510	64	433
NZ_CP030760.1_2931	COG0055	9.6e-14	45.2	422	163	369
NZ_CP030760.1_2617	COG0056	2e-269	892.7	510	1	508
