	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001397.1_1	QGNH01001397.1	QGNH01001397.1	1	1	129	1	E																		0	False	F
QGNH01001397.1_2	QGNH01001397.1	QGNH01001397.1	2	129	470	1	E																		0	False	F
QGNH01001397.1_3	QGNH01001397.1	QGNH01001397.1	3	488	706	1	E																		0	False	F
QGNH01001397.1_4	QGNH01001397.1	QGNH01001397.1	4	711	1388	1	E																		0	False	F
QGNH01001397.1_5	QGNH01001397.1	QGNH01001397.1	5	1432	1929	1	E																		0	False	F
QGNH01001397.1_6	QGNH01001397.1	QGNH01001397.1	6	1926	2330	1	E																		0	False	F
QGNH01001397.1_7	QGNH01001397.1	QGNH01001397.1	7	2386	2835	1	D														Phage tail tube protein [PF06199.14]				0	False	F
QGNH01001397.1_8	QGNH01001397.1	QGNH01001397.1	8	2848	3414	1	E																		0	False	F
QGNH01001397.1_9	QGNH01001397.1	QGNH01001397.1	9	3416	3931	1	E																		0	False	F
QGNH01001397.1_10	QGNH01001397.1	QGNH01001397.1	10	3941	4495	1	E																		0	False	F
QGNH01001397.1_11	QGNH01001397.1	QGNH01001397.1	11	4573	4917	1	E																		0	False	F
QGNH01001397.1_12	QGNH01001397.1	QGNH01001397.1	12	4918	9297	1	E																		0	False	F
QGNH01001397.1_13	QGNH01001397.1	QGNH01001397.1	13	9299	12994	1	E																		2	False	
QGNH01001397.1_14	QGNH01001397.1	QGNH01001397.1	14	12994	14544	1	D														Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	VOG04468	REFSEQ minor tail protein; Xu	Xu	0	False	
QGNH01001397.1_15	QGNH01001397.1	QGNH01001397.1	15	14547	15023	1	E																		0	False	
QGNH01001397.1_16	QGNH01001397.1	QGNH01001397.1	16	15024	15716	1	E																		0	False	
QGNH01001397.1_17	QGNH01001397.1	QGNH01001397.1	17	15731	17749	1	E																		0	False	
QGNH01001397.1_18	QGNH01001397.1	QGNH01001397.1	18	17768	18286	1	E																		0	False	
QGNH01001397.1_19	QGNH01001397.1	QGNH01001397.1	19	18302	19861	1	E	YP_010054590.1	YP_010054590.1 minor tail protein [Streptomyces phage Celia]	False	0.27	68.0	1.455e-10												0	False	
QGNH01001397.1_20	QGNH01001397.1	QGNH01001397.1	20	19966	20244	1	E																		0	False	
QGNH01001397.1_21	QGNH01001397.1	QGNH01001397.1	21	20303	20614	1	E																		0	False	
QGNH01001397.1_22	QGNH01001397.1	QGNH01001397.1	22	20611	21240	1	E																		0	False	
QGNH01001397.1_23	QGNH01001397.1	QGNH01001397.1	23	21253	21468	1	E																		0	False	
QGNH01001397.1_24	QGNH01001397.1	QGNH01001397.1	24	21492	21857	1	E																		0	False	
QGNH01001397.1_25	QGNH01001397.1	QGNH01001397.1	25	21945	22283	-1	E																		1	False	
QGNH01001397.1_26	QGNH01001397.1	QGNH01001397.1	26	22354	23565	-1	D							MER0428608	C01A	MER0428608 - xylellain (Pseudomonas savastanoi) [C01.128]#C01A#{peptidase unit: 8-253}~source ZP_07004945~	False	134.0	1.424e-31	0.331	Papain family cysteine protease [PF00112.26]				0	False	P
QGNH01001397.1_27	QGNH01001397.1	QGNH01001397.1	27	23562	23876	-1	E																		0	False	
QGNH01001397.1_28	QGNH01001397.1	QGNH01001397.1	28	23873	24031	-1	E																		0	False	
QGNH01001397.1_29	QGNH01001397.1	QGNH01001397.1	29	24065	24496	-1	E																		0	False	
QGNH01001397.1_30	QGNH01001397.1	QGNH01001397.1	30	24561	25019	-1	D	YP_010101718.1	YP_010101718.1 endonuclease [Gordonia phage Walrus]	False	0.421	106.0	9.874e-26								HNH endonuclease [PF13392.9]	VOG03493	REFSEQ endonuclease; Xu	Xu	0	False	F
QGNH01001397.1_31	QGNH01001397.1	QGNH01001397.1	31	24986	25243	-1	E																		0	False	F
QGNH01001397.1_32	QGNH01001397.1	QGNH01001397.1	32	25456	25767	-1	E																		1	False	F
QGNH01001397.1_33	QGNH01001397.1	QGNH01001397.1	33	25760	25990	-1	E																		0	False	F
QGNH01001397.1_34	QGNH01001397.1	QGNH01001397.1	34	26001	26282	-1	E																		0	False	F
QGNH01001397.1_35	QGNH01001397.1	QGNH01001397.1	35	26657	27898	-1	E																		0	False	F
QGNH01001397.1_36	QGNH01001397.1	QGNH01001397.1	36	27903	28088	-1	E																		0	False	F
QGNH01001397.1_37	QGNH01001397.1	QGNH01001397.1	37	28066	28299	-1	E																		0	False	F
QGNH01001397.1_38	QGNH01001397.1	QGNH01001397.1	38	28302	28547	-1	E																		0	False	F
QGNH01001397.1_39	QGNH01001397.1	QGNH01001397.1	39	28547	29197	-1	E																		0	False	F
QGNH01001397.1_40	QGNH01001397.1	QGNH01001397.1	40	29166	29708	-1	D	YP_009149741.1	YP_009149741.1 endonuclease VII [Bacillus phage BCP8-2]	False	0.317	83.0	3.881e-17								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]; HNH endonuclease [PF13395.9]	VOG00697	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
