Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count
QGNH01000001.1	37.0	31.0	6.0	0.0	0.0
QGNH01000002.1	36.0	6.0	2.0	28.0	1.0
QGNH01000003.1	23.0	2.0	3.0	18.0	1.0
QGNH01000004.1	26.0	8.0	1.0	17.0	2.0
QGNH01000005.1	18.0	17.0	1.0	0.0	0.0
QGNH01000006.1	20.0	4.0	0.0	16.0	3.0
QGNH01000007.1	11.0	9.0	0.0	2.0	0.0
QGNH01000008.1	20.0	7.0	3.0	10.0	2.0
QGNH01000009.1	11.0	6.0	1.0	4.0	0.0
QGNH01000010.1	20.0	8.0	2.0	10.0	1.0
QGNH01000011.1	17.0	16.0	1.0	0.0	0.0
QGNH01000013.1	19.0	18.0	1.0	0.0	0.0
QGNH01000014.1	20.0	19.0	1.0	0.0	0.0
QGNH01000015.1	20.0	5.0	0.0	15.0	2.0
QGNH01000016.1	14.0	13.0	1.0	0.0	0.0
QGNH01000018.1	36.0	5.0	2.0	29.0	0.0
QGNH01000019.1	31.0	3.0	0.0	28.0	1.0
QGNH01000020.1	14.0	5.0	1.0	8.0	1.0
QGNH01000021.1	56.0	11.0	5.0	40.0	1.0
QGNH01000022.1	60.0	7.0	2.0	51.0	3.0
QGNH01000023.1	122.0	14.0	0.0	108.0	4.0
QGNH01000024.1	62.0	10.0	0.0	52.0	4.0
QGNH01000025.1	62.0	18.0	4.0	40.0	6.0
QGNH01000026.1	61.0	11.0	2.0	48.0	1.0
QGNH01000027.1	78.0	10.0	12.0	56.0	2.0
QGNH01000028.1	65.0	8.0	3.0	54.0	3.0
QGNH01000029.1	60.0	10.0	1.0	49.0	1.0
QGNH01000030.1	67.0	10.0	0.0	57.0	6.0
QGNH01000031.1	54.0	8.0	0.0	46.0	2.0
QGNH01000032.1	47.0	9.0	0.0	38.0	3.0
QGNH01000033.1	43.0	12.0	2.0	29.0	1.0
QGNH01000034.1	37.0	37.0	0.0	0.0	0.0
QGNH01000035.1	32.0	1.0	2.0	29.0	0.0
QGNH01000036.1	31.0	15.0	2.0	14.0	2.0
QGNH01000037.1	34.0	8.0	0.0	26.0	1.0
QGNH01000038.1	35.0	35.0	0.0	0.0	0.0
QGNH01000039.1	34.0	8.0	0.0	26.0	1.0
QGNH01000040.1	33.0	14.0	3.0	16.0	2.0
QGNH01000042.1	24.0	3.0	0.0	21.0	2.0
QGNH01000043.1	28.0	3.0	0.0	25.0	0.0
QGNH01000044.1	23.0	5.0	1.0	17.0	1.0
QGNH01000045.1	19.0	19.0	0.0	0.0	0.0
QGNH01000046.1	33.0	4.0	1.0	28.0	1.0
QGNH01000047.1	22.0	21.0	1.0	0.0	0.0
QGNH01000048.1	36.0	3.0	3.0	30.0	1.0
QGNH01000049.1	24.0	6.0	0.0	18.0	2.0
QGNH01000050.1	20.0	7.0	2.0	11.0	1.0
QGNH01000051.1	21.0	6.0	3.0	12.0	1.0
QGNH01000052.1	17.0	17.0	0.0	0.0	0.0
QGNH01000053.1	22.0	16.0	2.0	4.0	2.0
QGNH01000055.1	21.0	3.0	1.0	17.0	1.0
QGNH01000056.1	21.0	19.0	2.0	0.0	0.0
QGNH01000057.1	31.0	4.0	1.0	26.0	1.0
QGNH01000058.1	20.0	6.0	0.0	14.0	3.0
QGNH01000059.1	24.0	7.0	0.0	17.0	2.0
QGNH01000060.1	28.0	5.0	1.0	22.0	1.0
QGNH01000061.1	19.0	4.0	1.0	14.0	0.0
QGNH01000062.1	13.0	7.0	0.0	6.0	5.0
QGNH01000063.1	29.0	25.0	4.0	0.0	0.0
QGNH01000064.1	7.0	7.0	0.0	0.0	0.0
QGNH01000065.1	15.0	12.0	3.0	0.0	0.0
QGNH01000066.1	10.0	7.0	0.0	3.0	3.0
QGNH01000067.1	15.0	15.0	0.0	0.0	0.0
QGNH01000068.1	12.0	9.0	3.0	0.0	0.0
QGNH01000069.1	21.0	19.0	2.0	0.0	0.0
QGNH01000070.1	9.0	7.0	0.0	2.0	1.0
QGNH01000071.1	8.0	8.0	0.0	0.0	0.0
QGNH01000072.1	18.0	18.0	0.0	0.0	0.0
QGNH01000073.1	10.0	10.0	0.0	0.0	0.0
QGNH01000074.1	21.0	21.0	0.0	0.0	0.0
QGNH01000075.1	16.0	3.0	0.0	13.0	1.0
QGNH01000076.1	21.0	3.0	0.0	18.0	1.0
QGNH01000077.1	72.0	23.0	8.0	41.0	3.0
QGNH01000078.1	44.0	14.0	4.0	26.0	1.0
QGNH01000079.1	24.0	22.0	2.0	0.0	0.0
QGNH01000080.1	25.0	14.0	2.0	9.0	3.0
QGNH01000081.1	16.0	9.0	4.0	3.0	1.0
QGNH01000082.1	11.0	10.0	1.0	0.0	0.0
QGNH01000083.1	14.0	13.0	1.0	0.0	0.0
QGNH01000084.1	10.0	4.0	1.0	5.0	1.0
QGNH01000085.1	12.0	4.0	0.0	8.0	1.0
QGNH01000086.1	16.0	4.0	1.0	11.0	1.0
QGNH01000087.1	96.0	19.0	6.0	71.0	4.0
QGNH01000088.1	64.0	10.0	1.0	53.0	2.0
QGNH01000089.1	73.0	14.0	7.0	52.0	3.0
QGNH01000090.1	87.0	7.0	3.0	77.0	1.0
QGNH01000091.1	104.0	17.0	4.0	83.0	2.0
QGNH01000092.1	76.0	15.0	5.0	56.0	2.0
QGNH01000093.1	21.0	3.0	0.0	18.0	1.0
QGNH01000094.1	77.0	18.0	5.0	54.0	3.0
QGNH01000095.1	14.0	5.0	1.0	8.0	1.0
QGNH01000096.1	63.0	11.0	4.0	48.0	2.0
QGNH01000097.1	73.0	17.0	1.0	55.0	3.0
QGNH01000098.1	122.0	13.0	0.0	109.0	4.0
QGNH01000099.1	69.0	11.0	15.0	43.0	0.0
QGNH01000100.1	96.0	15.0	5.0	76.0	7.0
QGNH01000101.1	60.0	10.0	3.0	47.0	4.0
QGNH01000102.1	82.0	18.0	2.0	62.0	5.0
QGNH01000103.1	68.0	11.0	1.0	56.0	5.0
QGNH01000104.1	90.0	13.0	3.0	74.0	2.0
QGNH01000105.1	82.0	8.0	1.0	73.0	1.0
QGNH01000106.1	76.0	17.0	6.0	53.0	6.0
QGNH01000107.1	73.0	9.0	0.0	64.0	2.0
QGNH01000108.1	60.0	9.0	5.0	46.0	2.0
QGNH01000109.1	75.0	15.0	9.0	51.0	6.0
QGNH01000110.1	83.0	10.0	3.0	70.0	2.0
QGNH01000111.1	82.0	6.0	3.0	73.0	2.0
QGNH01000112.1	81.0	18.0	1.0	62.0	2.0
QGNH01000113.1	68.0	10.0	5.0	53.0	2.0
QGNH01000114.1	74.0	8.0	0.0	66.0	2.0
QGNH01000115.1	53.0	11.0	4.0	38.0	3.0
QGNH01000116.1	55.0	10.0	3.0	42.0	3.0
QGNH01000117.1	78.0	5.0	2.0	71.0	1.0
QGNH01000118.1	70.0	8.0	3.0	59.0	1.0
QGNH01000119.1	65.0	14.0	2.0	49.0	9.0
QGNH01000120.1	67.0	13.0	10.0	44.0	4.0
QGNH01000121.1	55.0	11.0	1.0	43.0	1.0
QGNH01000122.1	60.0	13.0	2.0	45.0	3.0
QGNH01000123.1	55.0	8.0	6.0	41.0	3.0
QGNH01000124.1	64.0	12.0	0.0	52.0	4.0
QGNH01000125.1	57.0	9.0	4.0	44.0	2.0
QGNH01000126.1	69.0	11.0	0.0	58.0	2.0
QGNH01000127.1	59.0	15.0	2.0	42.0	7.0
QGNH01000128.1	44.0	8.0	7.0	29.0	1.0
QGNH01000129.1	53.0	11.0	4.0	38.0	2.0
QGNH01000130.1	53.0	10.0	2.0	41.0	2.0
QGNH01000131.1	68.0	8.0	1.0	59.0	1.0
QGNH01000132.1	58.0	11.0	2.0	45.0	5.0
QGNH01000133.1	48.0	12.0	14.0	22.0	3.0
QGNH01000134.1	57.0	9.0	10.0	38.0	0.0
QGNH01000135.1	53.0	12.0	3.0	38.0	2.0
QGNH01000136.1	58.0	12.0	1.0	45.0	4.0
QGNH01000137.1	57.0	22.0	6.0	29.0	4.0
QGNH01000138.1	53.0	10.0	2.0	41.0	4.0
QGNH01000139.1	57.0	11.0	3.0	43.0	3.0
QGNH01000140.1	53.0	8.0	1.0	44.0	0.0
QGNH01000141.1	51.0	13.0	1.0	37.0	1.0
QGNH01000142.1	47.0	47.0	0.0	0.0	0.0
QGNH01000143.1	57.0	11.0	5.0	41.0	2.0
QGNH01000144.1	52.0	9.0	1.0	42.0	1.0
QGNH01000145.1	62.0	11.0	1.0	50.0	2.0
QGNH01000146.1	58.0	12.0	1.0	45.0	5.0
QGNH01000147.1	66.0	12.0	7.0	47.0	5.0
QGNH01000148.1	54.0	14.0	2.0	38.0	4.0
QGNH01000149.1	53.0	9.0	1.0	43.0	2.0
QGNH01000150.1	50.0	13.0	11.0	26.0	2.0
QGNH01000151.1	58.0	15.0	3.0	40.0	1.0
QGNH01000152.1	69.0	7.0	3.0	59.0	2.0
QGNH01000153.1	40.0	6.0	2.0	32.0	0.0
QGNH01000154.1	52.0	7.0	1.0	44.0	2.0
QGNH01000155.1	43.0	16.0	2.0	25.0	3.0
QGNH01000156.1	51.0	15.0	8.0	28.0	4.0
QGNH01000157.1	53.0	24.0	1.0	28.0	4.0
QGNH01000158.1	42.0	9.0	3.0	30.0	2.0
QGNH01000159.1	52.0	8.0	4.0	40.0	1.0
QGNH01000160.1	42.0	17.0	1.0	24.0	4.0
QGNH01000161.1	34.0	6.0	8.0	20.0	1.0
QGNH01000162.1	47.0	9.0	1.0	37.0	1.0
QGNH01000163.1	39.0	8.0	1.0	30.0	2.0
QGNH01000164.1	29.0	4.0	3.0	22.0	0.0
QGNH01000165.1	34.0	34.0	0.0	0.0	0.0
QGNH01000166.1	35.0	33.0	2.0	0.0	0.0
QGNH01000167.1	40.0	10.0	2.0	28.0	1.0
QGNH01000168.1	47.0	6.0	2.0	39.0	2.0
QGNH01000169.1	44.0	20.0	1.0	23.0	1.0
QGNH01000170.1	38.0	33.0	5.0	0.0	0.0
QGNH01000171.1	44.0	39.0	5.0	0.0	0.0
QGNH01000172.1	42.0	7.0	9.0	26.0	2.0
QGNH01000173.1	39.0	11.0	3.0	25.0	3.0
QGNH01000174.1	61.0	7.0	1.0	53.0	3.0
QGNH01000175.1	43.0	6.0	0.0	37.0	2.0
QGNH01000176.1	51.0	7.0	3.0	41.0	1.0
QGNH01000177.1	46.0	21.0	4.0	21.0	3.0
QGNH01000178.1	38.0	8.0	2.0	28.0	2.0
QGNH01000179.1	44.0	10.0	2.0	32.0	2.0
QGNH01000180.1	32.0	8.0	0.0	24.0	3.0
QGNH01000181.1	46.0	8.0	3.0	35.0	1.0
QGNH01000182.1	31.0	11.0	4.0	16.0	1.0
QGNH01000183.1	34.0	6.0	1.0	27.0	3.0
QGNH01000184.1	39.0	6.0	2.0	31.0	1.0
QGNH01000185.1	29.0	8.0	1.0	20.0	1.0
QGNH01000186.1	29.0	28.0	1.0	0.0	0.0
QGNH01000187.1	29.0	29.0	0.0	0.0	0.0
QGNH01000188.1	40.0	5.0	2.0	33.0	0.0
QGNH01000189.1	33.0	8.0	3.0	22.0	1.0
QGNH01000190.1	40.0	11.0	6.0	23.0	3.0
QGNH01000191.1	48.0	16.0	4.0	28.0	3.0
QGNH01000192.1	34.0	14.0	2.0	18.0	2.0
QGNH01000193.1	42.0	9.0	0.0	33.0	2.0
QGNH01000194.1	27.0	6.0	1.0	20.0	0.0
QGNH01000195.1	45.0	14.0	2.0	29.0	2.0
QGNH01000196.1	40.0	39.0	1.0	0.0	0.0
QGNH01000197.1	27.0	9.0	1.0	17.0	1.0
QGNH01000198.1	31.0	7.0	1.0	23.0	2.0
QGNH01000199.1	31.0	30.0	1.0	0.0	0.0
QGNH01000200.1	35.0	14.0	4.0	17.0	1.0
QGNH01000201.1	25.0	5.0	1.0	19.0	0.0
QGNH01000202.1	26.0	26.0	0.0	0.0	0.0
QGNH01000203.1	49.0	6.0	2.0	41.0	3.0
QGNH01000204.1	24.0	23.0	1.0	0.0	0.0
QGNH01000205.1	19.0	18.0	1.0	0.0	0.0
QGNH01000207.1	33.0	27.0	6.0	0.0	0.0
QGNH01000208.1	32.0	8.0	3.0	21.0	1.0
QGNH01000209.1	21.0	19.0	2.0	0.0	0.0
QGNH01000210.1	24.0	10.0	3.0	11.0	2.0
QGNH01000211.1	23.0	8.0	1.0	14.0	1.0
QGNH01000212.1	32.0	32.0	0.0	0.0	0.0
QGNH01000213.1	31.0	15.0	7.0	9.0	2.0
QGNH01000214.1	31.0	9.0	1.0	21.0	2.0
QGNH01000215.1	28.0	6.0	1.0	21.0	2.0
QGNH01000216.1	30.0	4.0	2.0	24.0	2.0
QGNH01000217.1	22.0	22.0	0.0	0.0	0.0
QGNH01000218.1	23.0	21.0	2.0	0.0	0.0
QGNH01000219.1	46.0	36.0	10.0	0.0	0.0
QGNH01000220.1	20.0	9.0	2.0	9.0	1.0
QGNH01000221.1	28.0	28.0	0.0	0.0	0.0
QGNH01000222.1	39.0	5.0	1.0	33.0	1.0
QGNH01000223.1	18.0	17.0	1.0	0.0	0.0
QGNH01000224.1	47.0	4.0	3.0	40.0	1.0
QGNH01000225.1	34.0	6.0	2.0	26.0	3.0
QGNH01000226.1	34.0	8.0	0.0	26.0	1.0
QGNH01000227.1	25.0	10.0	0.0	15.0	1.0
QGNH01000229.1	26.0	23.0	3.0	0.0	0.0
QGNH01000230.1	38.0	6.0	1.0	31.0	1.0
QGNH01000231.1	37.0	8.0	0.0	29.0	1.0
QGNH01000232.1	18.0	8.0	0.0	10.0	1.0
QGNH01000233.1	23.0	21.0	2.0	0.0	0.0
QGNH01000234.1	29.0	7.0	0.0	22.0	1.0
QGNH01000235.1	23.0	8.0	2.0	13.0	1.0
QGNH01000236.1	28.0	28.0	0.0	0.0	0.0
QGNH01000237.1	21.0	20.0	1.0	0.0	0.0
QGNH01000238.1	23.0	4.0	0.0	19.0	0.0
QGNH01000239.1	27.0	7.0	0.0	20.0	1.0
QGNH01000240.1	25.0	8.0	1.0	16.0	2.0
QGNH01000241.1	16.0	5.0	1.0	10.0	1.0
QGNH01000242.1	22.0	5.0	0.0	17.0	3.0
QGNH01000243.1	22.0	5.0	7.0	10.0	1.0
QGNH01000244.1	26.0	26.0	0.0	0.0	0.0
QGNH01000245.1	27.0	26.0	1.0	0.0	0.0
QGNH01000246.1	9.0	6.0	0.0	3.0	1.0
QGNH01000247.1	18.0	18.0	0.0	0.0	0.0
QGNH01000248.1	31.0	3.0	0.0	28.0	0.0
QGNH01000249.1	26.0	26.0	0.0	0.0	0.0
QGNH01000250.1	27.0	11.0	1.0	15.0	2.0
QGNH01000251.1	15.0	9.0	0.0	6.0	3.0
QGNH01000252.1	16.0	16.0	0.0	0.0	0.0
QGNH01000253.1	16.0	16.0	0.0	0.0	0.0
QGNH01000254.1	28.0	5.0	0.0	23.0	1.0
QGNH01000255.1	27.0	3.0	2.0	22.0	1.0
QGNH01000256.1	31.0	7.0	0.0	24.0	2.0
QGNH01000257.1	24.0	3.0	0.0	21.0	1.0
QGNH01000258.1	28.0	10.0	1.0	17.0	2.0
QGNH01000259.1	15.0	15.0	0.0	0.0	0.0
QGNH01000260.1	23.0	23.0	0.0	0.0	0.0
QGNH01000261.1	25.0	2.0	0.0	23.0	1.0
QGNH01000263.1	15.0	15.0	0.0	0.0	0.0
QGNH01000264.1	17.0	9.0	1.0	7.0	3.0
QGNH01000265.1	26.0	25.0	1.0	0.0	0.0
QGNH01000266.1	25.0	3.0	0.0	22.0	0.0
QGNH01000267.1	30.0	7.0	2.0	21.0	2.0
QGNH01000268.1	27.0	27.0	0.0	0.0	0.0
QGNH01000269.1	24.0	23.0	1.0	0.0	0.0
QGNH01000270.1	20.0	8.0	1.0	11.0	2.0
QGNH01000271.1	17.0	9.0	2.0	6.0	3.0
QGNH01000272.1	22.0	22.0	0.0	0.0	0.0
QGNH01000273.1	23.0	22.0	1.0	0.0	0.0
QGNH01000274.1	21.0	6.0	1.0	14.0	2.0
QGNH01000275.1	23.0	22.0	1.0	0.0	0.0
QGNH01000276.1	21.0	3.0	1.0	17.0	1.0
QGNH01000277.1	14.0	13.0	1.0	0.0	0.0
QGNH01000278.1	27.0	11.0	2.0	14.0	5.0
QGNH01000279.1	25.0	7.0	4.0	14.0	1.0
QGNH01000280.1	23.0	3.0	1.0	19.0	1.0
QGNH01000281.1	20.0	2.0	1.0	17.0	0.0
QGNH01000282.1	25.0	5.0	2.0	18.0	1.0
QGNH01000283.1	23.0	6.0	0.0	17.0	0.0
QGNH01000284.1	24.0	4.0	2.0	18.0	1.0
QGNH01000285.1	24.0	6.0	0.0	18.0	0.0
QGNH01000286.1	24.0	5.0	0.0	19.0	1.0
QGNH01000287.1	17.0	16.0	1.0	0.0	0.0
QGNH01000288.1	20.0	18.0	2.0	0.0	0.0
QGNH01000289.1	22.0	22.0	0.0	0.0	0.0
QGNH01000290.1	19.0	18.0	1.0	0.0	0.0
QGNH01000291.1	17.0	17.0	0.0	0.0	0.0
QGNH01000292.1	25.0	6.0	0.0	19.0	3.0
QGNH01000293.1	21.0	5.0	1.0	15.0	1.0
QGNH01000294.1	19.0	8.0	2.0	9.0	1.0
QGNH01000295.1	18.0	6.0	0.0	12.0	0.0
QGNH01000296.1	18.0	4.0	0.0	14.0	2.0
QGNH01000297.1	19.0	6.0	1.0	12.0	2.0
QGNH01000299.1	21.0	9.0	7.0	5.0	2.0
QGNH01000300.1	17.0	2.0	0.0	15.0	0.0
QGNH01000301.1	10.0	9.0	1.0	0.0	0.0
QGNH01000302.1	14.0	5.0	1.0	8.0	2.0
QGNH01000303.1	22.0	21.0	1.0	0.0	0.0
QGNH01000304.1	24.0	23.0	1.0	0.0	0.0
QGNH01000305.1	19.0	4.0	0.0	15.0	2.0
QGNH01000306.1	22.0	6.0	0.0	16.0	1.0
QGNH01000307.1	16.0	4.0	0.0	12.0	0.0
QGNH01000308.1	19.0	4.0	1.0	14.0	1.0
QGNH01000309.1	31.0	5.0	2.0	24.0	1.0
QGNH01000310.1	19.0	19.0	0.0	0.0	0.0
QGNH01000311.1	15.0	7.0	0.0	8.0	4.0
QGNH01000312.1	11.0	4.0	1.0	6.0	1.0
QGNH01000313.1	17.0	11.0	1.0	5.0	2.0
QGNH01000314.1	17.0	17.0	0.0	0.0	0.0
QGNH01000315.1	12.0	12.0	0.0	0.0	0.0
QGNH01000316.1	14.0	2.0	1.0	11.0	1.0
QGNH01000317.1	19.0	19.0	0.0	0.0	0.0
QGNH01000318.1	14.0	13.0	1.0	0.0	0.0
QGNH01000319.1	16.0	15.0	1.0	0.0	0.0
QGNH01000320.1	13.0	10.0	3.0	0.0	0.0
QGNH01000321.1	12.0	12.0	0.0	0.0	0.0
QGNH01000322.1	17.0	14.0	3.0	0.0	0.0
QGNH01000323.1	21.0	4.0	1.0	16.0	1.0
QGNH01000325.1	13.0	12.0	1.0	0.0	0.0
QGNH01000326.1	15.0	6.0	0.0	9.0	1.0
QGNH01000327.1	18.0	4.0	0.0	14.0	0.0
QGNH01000328.1	18.0	4.0	0.0	14.0	0.0
QGNH01000329.1	17.0	16.0	1.0	0.0	0.0
QGNH01000330.1	19.0	5.0	0.0	14.0	2.0
QGNH01000331.1	25.0	25.0	0.0	0.0	0.0
QGNH01000332.1	18.0	17.0	1.0	0.0	0.0
QGNH01000333.1	19.0	5.0	0.0	14.0	1.0
QGNH01000334.1	27.0	5.0	0.0	22.0	0.0
QGNH01000335.1	17.0	13.0	4.0	0.0	0.0
QGNH01000336.1	21.0	20.0	1.0	0.0	0.0
QGNH01000337.1	9.0	4.0	0.0	5.0	1.0
QGNH01000338.1	27.0	3.0	1.0	23.0	1.0
QGNH01000340.1	11.0	10.0	1.0	0.0	0.0
QGNH01000341.1	16.0	16.0	0.0	0.0	0.0
QGNH01000342.1	17.0	3.0	0.0	14.0	1.0
QGNH01000343.1	14.0	3.0	0.0	11.0	1.0
QGNH01000344.1	14.0	13.0	1.0	0.0	0.0
QGNH01000345.1	16.0	16.0	0.0	0.0	0.0
QGNH01000346.1	21.0	2.0	0.0	19.0	1.0
QGNH01000347.1	16.0	16.0	0.0	0.0	0.0
QGNH01000348.1	14.0	7.0	0.0	7.0	5.0
QGNH01000349.1	20.0	18.0	2.0	0.0	0.0
QGNH01000350.1	16.0	16.0	0.0	0.0	0.0
QGNH01000351.1	14.0	14.0	0.0	0.0	0.0
QGNH01000352.1	27.0	25.0	2.0	0.0	0.0
QGNH01000353.1	21.0	3.0	1.0	17.0	0.0
QGNH01000354.1	13.0	7.0	1.0	5.0	2.0
QGNH01000355.1	13.0	13.0	0.0	0.0	0.0
QGNH01000357.1	24.0	2.0	1.0	21.0	0.0
QGNH01000358.1	12.0	7.0	0.0	5.0	1.0
QGNH01000359.1	19.0	18.0	1.0	0.0	0.0
QGNH01000360.1	17.0	3.0	0.0	14.0	1.0
QGNH01000361.1	19.0	4.0	2.0	13.0	1.0
QGNH01000362.1	11.0	11.0	0.0	0.0	0.0
QGNH01000363.1	14.0	13.0	1.0	0.0	0.0
QGNH01000364.1	12.0	5.0	0.0	7.0	1.0
QGNH01000365.1	13.0	13.0	0.0	0.0	0.0
QGNH01000366.1	14.0	6.0	5.0	3.0	1.0
QGNH01000367.1	17.0	4.0	0.0	13.0	1.0
QGNH01000370.1	21.0	6.0	0.0	15.0	3.0
QGNH01000371.1	16.0	14.0	2.0	0.0	0.0
QGNH01000372.1	8.0	5.0	0.0	3.0	3.0
QGNH01000373.1	18.0	4.0	1.0	13.0	1.0
QGNH01000374.1	15.0	14.0	1.0	0.0	0.0
QGNH01000375.1	17.0	4.0	0.0	13.0	0.0
QGNH01000376.1	9.0	3.0	0.0	6.0	1.0
QGNH01000377.1	20.0	20.0	0.0	0.0	0.0
QGNH01000378.1	12.0	12.0	0.0	0.0	0.0
QGNH01000379.1	14.0	4.0	0.0	10.0	1.0
QGNH01000380.1	25.0	25.0	0.0	0.0	0.0
QGNH01000381.1	14.0	3.0	0.0	11.0	0.0
QGNH01000382.1	18.0	18.0	0.0	0.0	0.0
QGNH01000383.1	9.0	4.0	1.0	4.0	2.0
QGNH01000384.1	15.0	6.0	0.0	9.0	1.0
QGNH01000385.1	16.0	5.0	3.0	8.0	1.0
QGNH01000386.1	11.0	3.0	2.0	6.0	1.0
QGNH01000387.1	14.0	2.0	1.0	11.0	1.0
QGNH01000388.1	249.0	27.0	9.0	213.0	7.0
QGNH01000389.1	90.0	16.0	7.0	67.0	3.0
