	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001725.1_1	QGNH01001725.1	QGNH01001725.1	1	13	438	-1	E													0	False	F
QGNH01001725.1_2	QGNH01001725.1	QGNH01001725.1	2	549	881	1	E													0	False	F
QGNH01001725.1_3	QGNH01001725.1	QGNH01001725.1	3	878	1573	1	E										VOG02121	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase; Xh	Xh	0	False	F
QGNH01001725.1_4	QGNH01001725.1	QGNH01001725.1	4	1630	2103	-1	E													0	False	F
QGNH01001725.1_5	QGNH01001725.1	QGNH01001725.1	5	2167	2820	-1	C	K07096	uncharacterized protein	YP_010114451.1	YP_010114451.1 metallo-phosphoesterase [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.352	128.0	4.939e-32	Calcineurin-like phosphoesterase superfamily domain [PF12850.10]; Calcineurin-like phosphoesterase [PF00149.31]	VOG00211	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509; Xu	Xu	0	False	F
QGNH01001725.1_6	QGNH01001725.1	QGNH01001725.1	6	2966	3433	1	E													0	False	F
QGNH01001725.1_7	QGNH01001725.1	QGNH01001725.1	7	3458	4327	1	E													0	False	F
QGNH01001725.1_8	QGNH01001725.1	QGNH01001725.1	8	4354	5739	1	E										VOG02591	sp|Q6Y7S3|CAPSD_BPPGK Major capsid protein; Xs	Xs	0	False	VF
QGNH01001725.1_9	QGNH01001725.1	QGNH01001725.1	9	5845	7404	1	E			YP_009873987.1	YP_009873987.1 homing endonuclease [Tenacibaculum phage PTm1]	False	0.297	151.0	8.753e-37		VOG00102	REFSEQ homing endonuclease; Xu	Xu	0	False	
QGNH01001725.1_10	QGNH01001725.1	QGNH01001725.1	10	7585	10086	1	E													0	False	F
QGNH01001725.1_11	QGNH01001725.1	QGNH01001725.1	11	10214	10576	1	E													0	False	F
QGNH01001725.1_12	QGNH01001725.1	QGNH01001725.1	12	10756	11148	-1	E													0	False	F
QGNH01001725.1_13	QGNH01001725.1	QGNH01001725.1	13	11145	11447	-1	E													0	False	F
QGNH01001725.1_14	QGNH01001725.1	QGNH01001725.1	14	11448	11720	-1	E													0	False	F
QGNH01001725.1_15	QGNH01001725.1	QGNH01001725.1	15	11786	12160	1	E													0	False	F
QGNH01001725.1_16	QGNH01001725.1	QGNH01001725.1	16	12157	12438	-1	E													0	False	F
QGNH01001725.1_17	QGNH01001725.1	QGNH01001725.1	17	12431	12577	-1	E													0	False	F
