	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001731.1_1	QGNH01001731.1	QGNH01001731.1	1	221	850	-1	E																		0	False	F
QGNH01001731.1_2	QGNH01001731.1	QGNH01001731.1	2	881	2278	-1	E																		0	False	F
QGNH01001731.1_3	QGNH01001731.1	QGNH01001731.1	3	2309	2908	-1	E																		0	False	F
QGNH01001731.1_4	QGNH01001731.1	QGNH01001731.1	4	3084	3752	-1	E																		0	False	F
QGNH01001731.1_5	QGNH01001731.1	QGNH01001731.1	5	3755	5011	-1	E																		0	False	F
QGNH01001731.1_6	QGNH01001731.1	QGNH01001731.1	6	5011	5640	-1	E																		0	False	
QGNH01001731.1_7	QGNH01001731.1	QGNH01001731.1	7	5642	6133	-1	E																		0	False	
QGNH01001731.1_8	QGNH01001731.1	QGNH01001731.1	8	6137	6397	-1	E																		0	False	
QGNH01001731.1_9	QGNH01001731.1	QGNH01001731.1	9	6399	6782	-1	E																		0	False	
QGNH01001731.1_10	QGNH01001731.1	QGNH01001731.1	10	6806	7204	-1	E																		0	False	
QGNH01001731.1_11	QGNH01001731.1	QGNH01001731.1	11	7219	7794	-1	E																		0	False	F
QGNH01001731.1_12	QGNH01001731.1	QGNH01001731.1	12	7966	8550	-1	E																		0	False	F
QGNH01001731.1_13	QGNH01001731.1	QGNH01001731.1	13	8537	8893	-1	E																		0	False	F
QGNH01001731.1_14	QGNH01001731.1	QGNH01001731.1	14	8995	9489	-1	E																		0	False	F
QGNH01001731.1_15	QGNH01001731.1	QGNH01001731.1	15	9511	10194	-1	E																		0	False	F
QGNH01001731.1_16	QGNH01001731.1	QGNH01001731.1	16	10238	12319	-1	D	YP_010038095.1	YP_010038095.1 major head protein [Pseudomonas phage Persinger]	False	259.0	8.563e-71	0.272	MER0194231	S78	MER0194231 - family S78 non-peptidase homologues (Neisseria meningitidis) [S78.UNW]#S78#{peptidase unit: 24-163}~source CBA05300~	False	121.0	2.093e-26	0.471	Caudovirus prohead serine protease [PF04586.20]	VOG02241	sp|B0ZSF3|CAPSD_BPHA1 Major capsid protein; XhXs	Xh;Xs	0	False	VPF
