Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ASHR01000014.1_134	COG0005		1.6e-84	277.9
NZ_ASHR01000014.1_273	COG0008		3.7e-158	521.8
NZ_ASHR01000014.1_155	COG0026		9.9e-147	483.0
NZ_ASHR01000014.1_254	COG0028		2.5e-245	809.5
NZ_ASHR01000014.1_24	COG0031		5.6e-157	517.4
NZ_ASHR01000014.1_276	COG0031		8e-107	351.9
NZ_ASHR01000014.1_144	COG0039		2.1e-119	392.9
NZ_ASHR01000014.1_156	COG0041		3.2e-93	307.3
NZ_ASHR01000014.1_105	COG0054		1.4e-56	185.0
NZ_ASHR01000014.1_256	COG0059		2.4e-162	533.5
NZ_ASHR01000014.1_2	COG0080		8.9e-75	244.0
NZ_ASHR01000014.1_3	COG0081		6.1e-113	370.6
NZ_ASHR01000014.1_262	COG0111		4.2e-135	445.0
NZ_ASHR01000014.1_206	COG0111		2.8e-79	261.0
NZ_ASHR01000014.1_269	COG0115		3.3e-86	283.7
NZ_ASHR01000014.1_219	COG0124		1.5e-103	340.4
NZ_ASHR01000014.1_60	COG0125		3.8e-96	317.1
NZ_ASHR01000014.1_253	COG0129		2e-252	833.1
NZ_ASHR01000014.1_43	COG0136		3.3e-131	431.5
NZ_ASHR01000014.1_220	COG0148		9.5e-216	710.3
NZ_ASHR01000014.1_270	COG0179		6.8e-107	352.3
NZ_ASHR01000014.1_205	COG0179		1.8e-37	123.4
NZ_ASHR01000014.1_110	COG0180		4.9e-139	458.1
NZ_ASHR01000014.1_212	COG0193		9e-74	241.9
NZ_ASHR01000014.1_129	COG0213		7.8e-187	616.1
NZ_ASHR01000014.1_16	COG0222		1.1e-54	179.9
NZ_ASHR01000014.1_15	COG0244		8e-74	243.9
NZ_ASHR01000014.1_1	COG0250		8.3e-55	179.5
NZ_ASHR01000014.1_51	COG0251		4.8e-36	119.0
NZ_ASHR01000014.1_226	COG0277		1.3e-50	166.6
NZ_ASHR01000014.1_38	COG0282		1.7e-178	588.5
NZ_ASHR01000014.1_128	COG0295		1.6e-61	202.6
NZ_ASHR01000014.1_107	COG0307		1.3e-90	297.7
NZ_ASHR01000014.1_152	COG0340		7.9e-65	213.3
NZ_ASHR01000014.1_41	COG0353		1.8e-101	332.9
NZ_ASHR01000014.1_200	COG0362		1.6e-223	736.9
NZ_ASHR01000014.1_52	COG0365		1.3e-280	927.4
NZ_ASHR01000014.1_251	COG0365		2.3e-124	410.4
NZ_ASHR01000014.1_94	COG0388		3.7e-64	210.8
NZ_ASHR01000014.1_143	COG0424		2.6e-66	217.6
NZ_ASHR01000014.1_31	COG0433		9.1e-114	375.4
NZ_ASHR01000014.1_244	COG0436		9.5e-126	414.3
NZ_ASHR01000014.1_255	COG0440		3.3e-84	277.2
NZ_ASHR01000014.1_193	COG0462		1.5e-145	479.3
NZ_ASHR01000014.1_79	COG0467		7.9e-10	32.2
NZ_ASHR01000014.1_268	COG0473		9.1e-141	463.6
NZ_ASHR01000014.1_264	COG0477		2.9e-102	336.9
NZ_ASHR01000014.1_93	COG0477		2e-92	304.4
NZ_ASHR01000014.1_104	COG0477		5.6e-86	283.1
NZ_ASHR01000014.1_204	COG0477		7.8e-84	275.9
NZ_ASHR01000014.1_30	COG0477		2.4e-67	221.5
NZ_ASHR01000014.1_117	COG0479		4.1e-104	342.1
NZ_ASHR01000014.1_90	COG0491		2e-29	96.6
NZ_ASHR01000014.1_274	COG0492		4.8e-68	223.9
NZ_ASHR01000014.1_102	COG0496		6.4e-62	203.1
NZ_ASHR01000014.1_188	COG0499		4e-211	695.6
NZ_ASHR01000014.1_245	COG0524		2.6e-47	155.5
NZ_ASHR01000014.1_68	COG0526		8.8e-27	88.3
NZ_ASHR01000014.1_42	COG0527		3.9e-172	568.2
NZ_ASHR01000014.1_199	COG0531		4.8e-87	286.4
NZ_ASHR01000014.1_45	COG0579		4.6e-143	471.9
NZ_ASHR01000014.1_197	COG0591		2.7e-80	264.4
NZ_ASHR01000014.1_89	COG0599		1.8e-20	68.0
NZ_ASHR01000014.1_5	COG0601		3.2e-141	465.9
NZ_ASHR01000014.1_25	COG0626		2.7e-187	618.3
NZ_ASHR01000014.1_229	COG0628		6.1e-91	300.2
NZ_ASHR01000014.1_189	COG0645		6.2e-34	111.5
NZ_ASHR01000014.1_282	COG0654		3.6e-64	210.2
NZ_ASHR01000014.1_147	COG0654		5.9e-63	207.5
NZ_ASHR01000014.1_257	COG0665		9.3e-56	183.4
NZ_ASHR01000014.1_111	COG0708		5.1e-100	329.2
NZ_ASHR01000014.1_49	COG0744		5.5e-156	514.9
NZ_ASHR01000014.1_4	COG0747		4.2e-150	495.2
NZ_ASHR01000014.1_231	COG0782		7.7e-51	167.2
NZ_ASHR01000014.1_67	COG0785		1.4e-41	136.3
NZ_ASHR01000014.1_72	COG0789		1.5e-39	130.1
NZ_ASHR01000014.1_75	COG0789		3.8e-23	76.4
NZ_ASHR01000014.1_76	COG0798		3.9e-85	279.5
NZ_ASHR01000014.1_106	COG0807		2.7e-181	597.6
NZ_ASHR01000014.1_122	COG0836		7.5e-139	458.1
NZ_ASHR01000014.1_100	COG0842		1.9e-44	146.4
NZ_ASHR01000014.1_99	COG0842		5.4e-39	128.3
NZ_ASHR01000014.1_37	COG0857		2e-274	906.1
NZ_ASHR01000014.1_154	COG1004		1.3e-168	555.6
NZ_ASHR01000014.1_92	COG1012		5.8e-201	663.5
NZ_ASHR01000014.1_118	COG1053		1.3e-227	751.3
NZ_ASHR01000014.1_208	COG1063		3.1e-97	319.9
NZ_ASHR01000014.1_8	COG1064		2.1e-48	154.5
NZ_ASHR01000014.1_127	COG1079		1.1e-119	393.5
NZ_ASHR01000014.1_113	COG1080		1.1e-203	672.8
NZ_ASHR01000014.1_252	COG1082		1e-41	137.2
NZ_ASHR01000014.1_185	COG1088		8.2e-156	512.7
NZ_ASHR01000014.1_186	COG1091		2.1e-87	287.2
NZ_ASHR01000014.1_101	COG1105		6.1e-68	223.1
NZ_ASHR01000014.1_184	COG1109		1.2e-145	480.3
NZ_ASHR01000014.1_133	COG1109		5e-123	405.5
NZ_ASHR01000014.1_7	COG1123		1.9e-227	750.6
NZ_ASHR01000014.1_21	COG1129		4.4e-214	706.2
NZ_ASHR01000014.1_98	COG1131		1.9e-117	387.4
NZ_ASHR01000014.1_141	COG1132		4.9e-233	769.5
NZ_ASHR01000014.1_18	COG1132		2.1e-212	701.3
NZ_ASHR01000014.1_140	COG1132		1.5e-197	652.2
NZ_ASHR01000014.1_96	COG1132		7.7e-189	623.3
NZ_ASHR01000014.1_164	COG1134		9.2e-144	474.4
NZ_ASHR01000014.1_230	COG1171		1.8e-165	545.8
NZ_ASHR01000014.1_6	COG1173		2.6e-112	370.4
NZ_ASHR01000014.1_214	COG1197		0	1356.8
NZ_ASHR01000014.1_192	COG1207		5.1e-204	673.4
NZ_ASHR01000014.1_162	COG1209		8.7e-137	449.6
NZ_ASHR01000014.1_161	COG1216		3e-54	173.5
NZ_ASHR01000014.1_180	COG1216		1.1e-33	108.9
NZ_ASHR01000014.1_158	COG1216		4e-29	95.1
NZ_ASHR01000014.1_170	COG1216		9.2e-25	80.6
NZ_ASHR01000014.1_174	COG1216		3.8e-22	72.1
NZ_ASHR01000014.1_29	COG1228		6e-88	289.5
NZ_ASHR01000014.1_69	COG1249		2.1e-158	523.1
NZ_ASHR01000014.1_136	COG1249		1.5e-155	513.5
NZ_ASHR01000014.1_71	COG1249		3.2e-146	482.9
NZ_ASHR01000014.1_223	COG1252		2.4e-139	459.6
NZ_ASHR01000014.1_238	COG1261		7e-10	32.9
NZ_ASHR01000014.1_279	COG1295		9.8e-83	272.5
NZ_ASHR01000014.1_112	COG1295		9.2e-41	134.2
NZ_ASHR01000014.1_157	COG1316		3.5e-71	234.9
NZ_ASHR01000014.1_85	COG1335		7.2e-47	154.1
NZ_ASHR01000014.1_247	COG1403		7.3e-15	49.0
NZ_ASHR01000014.1_64	COG1403		5.7e-12	39.3
NZ_ASHR01000014.1_48	COG1408		4.7e-68	224.0
