locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
LBPV01000001.1_1		K02652	COG2804		phrog_19065, phrog_19065		COG:COG2804	337	1.3e-141	468.2		PulE:
LBPV01000001.1_2		K02669	COG2805		phrog_19065		KEGG:K02669	558	6e-159	525.1		pilT; twitching motility protein PilT
LBPV01000001.1_3		K02653	COG1459		phrog_32363		COG:COG1459	414	7.6e-138	454.6		PulF:
LBPV01000001.1_4		K02456	COG2165			VOG00821	COG:COG2165	178	4.8e-17	57.6		PulG:
LBPV01000001.1_5	K02236	K02236	COG1989				COG:COG1989	255	2e-41	137.1		PulO:
LBPV01000001.1_6		K02246	COG4970				COG:COG4970	381	7.7e-08	26.7		FimT:
LBPV01000001.1_7												Hypothetical
LBPV01000001.1_8		K02459	COG4966				COG:COG4966	233	1.1e-13	46.4		PilW:
LBPV01000001.1_9												Hypothetical
LBPV01000001.1_10		K03413	COG3706		phrog_731	VOG00352	KEGG:K03413	128	5.3e-27	90.5		cheY; two-component system, chemotaxis family, chemotaxis protein CheY
LBPV01000001.1_11												Hypothetical
LBPV01000001.1_12												Hypothetical
LBPV01000001.1_13												Hypothetical
LBPV01000001.1_14												Hypothetical
LBPV01000001.1_15												Hypothetical
LBPV01000002.1_1		K07042	COG0319				COG:COG0319	101	1.1e-29	99.1		YbeY:16S rRNA modification
LBPV01000002.1_2		K01056	COG0193		phrog_30156		COG:COG0193	186	4.7e-42	139.0		Pth:Translation factors
LBPV01000002.1_3		K07038	COG1988				KEGG:K07038	404	1.4e-15	52.6		K07038; inner membrane protein
LBPV01000002.1_4		K03723, K03723	COG1197, COG1197		phrog_34613	VOG00107	KEGG:K03723	795	5.1e-263	833.2	3.6.4.-	mfd; transcription-repair coupling factor (superfamily II helicase)
LBPV01000002.1_5	K02343	K02343	COG2812		phrog_5846	VOG00282	FOAM:K02343	528	3.3e-143	473.3	2.7.7.7	dnaX; DNA polymerase III subunit gamma/tau
LBPV01000002.1_6		K09747	COG0718				COG:COG0718	97	1.3e-15	52.6		YbaB:
LBPV01000002.1_7		K06187	COG0353				COG:COG0353	209	1.8e-86	284.8		RecR:
LBPV01000002.1_8		K01883	COG0215		phrog_30090	VOG09718	COG:COG0215	485	1.6e-146	484.3		CysS:Aminoacyl-tRNA synthetases
LBPV01000002.1_9		K03471	COG1039			VOG17503	KEGG:K03471	301	9.6e-76	250.4	3.1.26.4	rnhC; ribonuclease HIII
LBPV01000002.1_10												Hypothetical
LBPV01000002.1_11			COG1470				COG:COG1470	322	7.3e-08	26.9		:
LBPV01000002.1_12												Hypothetical
LBPV01000002.1_13												Hypothetical
LBPV01000002.1_14												Hypothetical
LBPV01000002.1_15		K17884	COG5050			VOG17505	COG:COG5050	286	1.4e-51	170.8		EPT1:
LBPV01000002.1_16												Hypothetical
LBPV01000002.1_17	K00974	K00974	COG0617		phrog_2244	VOG02285	COG:COG0617	116	2e-36	120.9		PcnB:tRNA modification
LBPV01000003.1_1		K07082	COG1559				COG:COG1559	167	6.6e-63	208.1		MltG:
LBPV01000003.1_2		K01005	COG1316				COG:COG1316	480	2.4e-68	226.6		Cps2a:
LBPV01000003.1_3	K02340	K02340	COG1466				COG:COG1466	309	3.2e-48	159.7		HolA:
LBPV01000003.1_4												Hypothetical
LBPV01000003.1_5												Hypothetical
LBPV01000003.1_6												Hypothetical
LBPV01000003.1_7		K02968	COG0268				COG:COG0268	99	4e-27	90.5		RpsT:Ribosome 30S subunit
LBPV01000003.1_8												Hypothetical
LBPV01000003.1_9												Hypothetical
LBPV01000003.1_10		K21594	COG0481		phrog_6880, phrog_6880	VOG01129	KEGG:K21594	608	1.3e-259	859.6	3.6.5.-	GUF1; translation factor GUF1, mitochondrial
LBPV01000003.1_11		K03629	COG1195		phrog_3940		COG:COG1195	358	2.2e-79	262.5		RecF:
LBPV01000003.1_12												Hypothetical
LBPV01000003.1_13			COG3451				COG:COG3451	220	1.9e-09	31.5		VirB4:
LBPV01000003.1_14		K12063	COG3451		phrog_2666		COG:COG3451	787	2.1e-143	474.5		VirB4:
LBPV01000003.1_15												Hypothetical
LBPV01000003.1_16		K01338	COG0466		phrog_15585	VOG00458	COG:COG0466	369	1.8e-113	375.4		Lon:
LBPV01000004.1_1		K06196	COG0785				COG:COG0785	162	2.3e-17	57.8		CcdA:
LBPV01000004.1_2	K03772	K03772	COG0545				COG:COG0545	172	1.3e-56	188.1		FkpA:
LBPV01000004.1_3		K15973	COG1846		phrog_11961		COG:COG1846	145	2.3e-28	95.0		MarR:
LBPV01000004.1_4		K10857	COG0847		phrog_192	VOG00088	KEGG:K10857	260	1.5e-55	181.1	3.1.11.-	exoX; exodeoxyribonuclease X
LBPV01000004.1_5		K03979	COG0536				COG:COG0536	322	9.4e-89	293.6		Obg:
LBPV01000004.1_6	K00174	K00174	COG0674				FOAM:K00174	568	1.6e-147	487.7	1.2.7.3 1.2.7.11	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
LBPV01000004.1_7	K00175	K00175	COG1013			VOG18554	FOAM:K00175	284	5.8e-75	248.5	1.2.7.3 1.2.7.11	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
LBPV01000004.1_8		K24012	COG1042				COG:COG1042	702	3.7e-216	715.6		PatZN:
LBPV01000004.1_9	K01937	K01937	COG0504		phrog_28378	VOG30458	COG:COG0504	555	1.3e-208	689.3		PyrG:Pyrimidine biosynthesis
LBPV01000004.1_10		K11991	COG0590		phrog_174	VOG16034	COG:COG0590	147	1.1e-49	164.8		TadA:Pyrimidine salvagetRNA modification
LBPV01000004.1_11		K18332, K18332	COG4624				COG:COG4624	280	1.7e-67	223.5		Nar1:
LBPV01000004.1_12												Hypothetical
LBPV01000004.1_13		K06973	COG2738				COG:COG2738	224	1.4e-64	213.0		YugP:
LBPV01000004.1_14	K00820	K00820	COG0449		phrog_13807	VOG00288	COG:COG0449	592	1.5e-197	653.7		GlmS:
LBPV01000004.1_15												Hypothetical
LBPV01000005.1_1												Hypothetical
LBPV01000005.1_2		K02864	COG0244		phrog_31116		COG:COG0244	173	1.7e-42	141.6		RplJ:Ribosome 50S subunit
LBPV01000005.1_3		K02935	COG0222		phrog_26927	VOG16581	COG:COG0222	135	1e-54	181.2		RplL:Ribosome 50S subunit
LBPV01000005.1_4												Hypothetical
LBPV01000005.1_5		K05844, K05844	COG0189		phrog_2599		COG:COG0189	492	1.6e-38	127.4		LysX:Lysine biosynthesis
LBPV01000005.1_6		K03802	COG1181		phrog_2599	VOG01461	KEGG:K03802	327	5e-77	255.0	6.3.2.29 6.3.2.30	cphA; cyanophycin synthetase
LBPV01000005.1_7		K03802	COG1181				KEGG:K03802	565	2.9e-88	292.3	6.3.2.29 6.3.2.30	cphA; cyanophycin synthetase
LBPV01000005.1_8		K05844	COG0189				COG:COG0189	319	3.1e-24	80.4		LysX:Lysine biosynthesis
LBPV01000005.1_9			COG3930				COG:COG3930	388	7.3e-47	154.9		:
LBPV01000005.1_10		K03569	COG1077		phrog_22570	VOG03107	COG:COG1077	339	2.1e-148	489.3		MreB:
LBPV01000005.1_11			COG0823				COG:COG0823	525	6.5e-09	28.5		TolB:
LBPV01000005.1_12												Hypothetical
LBPV01000005.1_13		K03701	COG0178		phrog_21263	VOG06047	COG:COG0178	595	4.1e-263	871.4		UvrA:
LBPV01000006.1_1												Hypothetical
LBPV01000006.1_2		K03555	COG0249		phrog_8439	VOG03661	KEGG:K03555	870	0	1025.4		mutS; DNA mismatch repair protein MutS
LBPV01000006.1_3		K18941			phrog_731		KEGG:K18941	102	1.6e-11	38.9		arlR; two-component system, OmpR family, response regulator ArlR
LBPV01000006.1_4		K01892	COG0124			VOG02983	KEGG:K01892	431	6.3e-115	380.0	6.1.1.21	HARS, hisS; histidyl-tRNA synthetase
LBPV01000006.1_5	K05366, K05367	K05366, K05367	COG0744	GT51	phrog_33002		COG:COG0744	982	1.7e-177	587.1		MrcB:
LBPV01000006.1_6		K01890	COG0072		phrog_21682		COG:COG0072	828	6.6e-205	677.6		PheT:Aminoacyl-tRNA synthetases
LBPV01000006.1_7		K01889	COG0016		phrog_19793	VOG21380	COG:COG0016	342	5e-120	396.9		PheS:Aminoacyl-tRNA synthetases
LBPV01000006.1_8		K02887	COG0292		phrog_19526		COG:COG0292	113	4.3e-49	161.9		RplT:Ribosome 50S subunit
LBPV01000006.1_9		K02520	COG0290		phrog_9787	VOG11642	COG:COG0290	213	2.2e-60	199.4		InfC:Translation factors
LBPV01000006.1_10		K01868	COG0441		phrog_18916	VOG02983	COG:COG0441	307	6.2e-131	432.8		ThrS:Aminoacyl-tRNA synthetases
LBPV01000007.1_1	K08678	K08678	COG1088		phrog_540		PHROG:phrog_540	950	4.6e-15	50.0		nucleotide-sugar epimerase
LBPV01000007.1_2												Hypothetical
LBPV01000007.1_3		K02851	COG0472				KEGG:K02851	403	3.3e-52	172.4	2.7.8.33 2.7.8.35	wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase
LBPV01000007.1_4												Hypothetical
LBPV01000007.1_5		K02528	COG0030				COG:COG0030	242	1.3e-63	210.3		RsmA:16S rRNA modification
LBPV01000007.1_6	K03183	K03183	COG0500		phrog_22502	VOG00106	FOAM:K03183	308	1.9e-16	55.0	2.1.1.163 2.1.1.201	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
LBPV01000007.1_7	K02316	K02316	COG0358		phrog_6444	VOG00229	COG:COG0358	575	8.8e-144	476.1		DnaG:
LBPV01000007.1_8		K15539	COG1426				COG:COG1426	313	9.4e-39	129.1		RodZ:
LBPV01000007.1_9		K03466	COG1674		phrog_1358	VOG04831	COG:COG1674	741	3.6e-178	589.3		FtsK:
LBPV01000007.1_10	K03043	K03043	COG0085		phrog_24349		COG:COG0085	251	9.8e-61	200.6		RpoB:RNA polymerase
LBPV01000008.1_1		K03975	COG0398		phrog_15996		COG:COG0398	210	4.1e-36	119.6		TVP38:
