Target Name	ID	EC value	E-Value (sequence)	Score (domain)
152B_unitig_0|quiver_736252_737421_+	K00001		1.3e-95	320.1
152B_unitig_2|quiver_349297_350256_-	K00002		2.6e-104	348.5
152B_unitig_0|quiver_21455_22780_-	K00003		4.4e-154	513.3
152B_unitig_0|quiver_1422546_1423652_-	K00008		8.9e-100	332.9
152B_unitig_0|quiver_3289667_3290659_-	K00010		1.2e-123	411.9
152B_unitig_2|quiver_540727_541719_+	K00010		7.2e-123	409.4
152B_unitig_2|quiver_105287_106363_+	K00010		3e-63	212.8
152B_unitig_0|quiver_3609045_3610103_+	K00010		3.7e-54	182.9
152B_unitig_0|quiver_3860336_3861445_-	K00010		4.1e-51	172.9
152B_unitig_0|quiver_3233123_3234451_-	K00012		2.9e-197	655.2
152B_unitig_0|quiver_1451191_1452489_-	K00013		2e-190	633.5
152B_unitig_0|quiver_2105890_2106747_-	K00014		2.1e-92	308.0
152B_unitig_3|quiver_372548_373378_+	K00014		3.6e-51	172.4
152B_unitig_0|quiver_1946669_1947670_-	K00015		3.6e-135	450.2
152B_unitig_0|quiver_3142784_3143755_+	K00015		1.2e-116	389.1
152B_unitig_0|quiver_841780_842607_+	K00019		2.4e-53	180.1
152B_unitig_0|quiver_3104435_3105337_+	K00019		7.8e-42	142.0
152B_unitig_3|quiver_49966_50847_+	K00020		6.8e-115	383.3
152B_unitig_1|quiver_319488_320390_-	K00020		6.2e-20	69.7
152B_unitig_0|quiver_2240458_2241183_+	K00023		1.2e-115	384.0
152B_unitig_0|quiver_2431716_2432678_+	K00024		3.1e-129	430.5
152B_unitig_0|quiver_1661597_1663882_-	K00027		7e-163	542.6
152B_unitig_0|quiver_4272130_4274442_-	K00027		5.1e-159	529.7
152B_unitig_5|quiver_75200_76642_-	K00031		1.4e-224	745.6
152B_unitig_0|quiver_4318955_4320166_-	K00031		2.7e-223	741.4
152B_unitig_0|quiver_4130535_4131965_+	K00033		1.9e-197	656.1
152B_unitig_0|quiver_2928673_2929704_+	K00033		1.8e-107	358.9
152B_unitig_0|quiver_862728_863525_-	K00034		4.1e-90	300.2
152B_unitig_0|quiver_1714927_1715691_+	K00034		1.6e-78	262.3
152B_unitig_3|quiver_66819_67676_+	K00034		3e-78	261.3
152B_unitig_0|quiver_4214399_4215166_+	K00034		1.8e-76	255.5
152B_unitig_0|quiver_2669985_2670764_+	K00034		2.3e-76	255.1
152B_unitig_0|quiver_481493_482419_+	K00035		1.1e-149	496.5
152B_unitig_0|quiver_1319255_1320730_+	K00036		3.7e-189	628.7
152B_unitig_0|quiver_748137_749645_+	K00036		3e-170	566.2
152B_unitig_2|quiver_532628_534094_-	K00036		2.1e-159	530.4
152B_unitig_4|quiver_127716_128444_+	K00039		9.3e-129	426.9
152B_unitig_1|quiver_211757_212485_+	K00039		6.6e-126	417.6
152B_unitig_0|quiver_1429241_1429966_-	K00039		4e-119	395.4
152B_unitig_0|quiver_1996835_1998109_+	K00040		5.3e-169	561.9
152B_unitig_0|quiver_4169701_4170570_-	K00042		4.9e-135	449.1
152B_unitig_0|quiver_3077906_3078781_-	K00042		2.4e-126	420.5
152B_unitig_0|quiver_3112254_3113165_+	K00042		1.9e-110	368.2
152B_unitig_4|quiver_207916_208809_-	K00042		7.7e-93	310.2
152B_unitig_0|quiver_3622435_3623586_+	K00043		4.3e-114	379.8
152B_unitig_0|quiver_2686182_2687663_+	K00045		6.5e-242	802.8
152B_unitig_4|quiver_209370_210134_-	K00046		3.6e-119	395.4
152B_unitig_3|quiver_373433_374200_-	K00046		1.1e-118	393.8
152B_unitig_0|quiver_4098540_4099310_+	K00046		6.5e-97	322.4
152B_unitig_0|quiver_2156191_2157303_-	K00052		2.1e-160	533.6
152B_unitig_0|quiver_3774954_3775973_+	K00053		2.9e-140	467.5
152B_unitig_2|quiver_467808_468914_+	K00055		1.3e-161	536.3
152B_unitig_5|quiver_194930_195328_+	K00055		1.5e-43	147.7
152B_unitig_5|quiver_194678_194923_+	K00055		1.3e-20	72.3
152B_unitig_5|quiver_195332_195655_+	K00055		2.1e-15	55.2
152B_unitig_0|quiver_2377488_2378471_+	K00057		7.1e-122	406.5
152B_unitig_0|quiver_2968306_2969901_+	K00058		2.5e-152	506.1
152B_unitig_1|quiver_132146_133120_+	K00058		1.3e-85	286.2
152B_unitig_0|quiver_2012593_2013603_-	K00058		8.8e-65	217.5
152B_unitig_1|quiver_388234_389280_-	K00058		8.3e-50	168.2
152B_unitig_0|quiver_498555_499292_-	K00059		8.1e-101	336.4
152B_unitig_0|quiver_3103604_3104347_+	K00059		1.8e-93	312.3
152B_unitig_4|quiver_128500_129264_+	K00059		3.8e-87	291.3
152B_unitig_0|quiver_4724428_4725225_+	K00059		1.3e-85	286.4
152B_unitig_0|quiver_2899540_2900325_-	K00059		1.2e-84	283.1
152B_unitig_0|quiver_3518804_3519841_+	K00060		2.6e-174	577.7
152B_unitig_0|quiver_1557125_1558147_+	K00064		1.7e-128	427.7
152B_unitig_3|quiver_186176_186931_-	K00065		3.6e-134	446.2
152B_unitig_0|quiver_4217467_4218255_-	K00065		6.3e-81	270.9
152B_unitig_1|quiver_89582_90298_+	K00065		2.4e-69	232.2
152B_unitig_0|quiver_422687_423574_+	K00067		2.6e-115	384.7
152B_unitig_0|quiver_2558257_2559138_-	K00074		9.4e-138	459.0
152B_unitig_0|quiver_3667079_3668053_+	K00075		3.5e-98	328.1
152B_unitig_0|quiver_218293_219297_+	K00077		5.3e-72	242.0
152B_unitig_0|quiver_1216447_1217931_-	K00088		4.1e-205	681.6
152B_unitig_0|quiver_3896399_3897289_-	K00091		5.1e-19	65.4
152B_unitig_0|quiver_491803_492831_+	K00097		1.5e-148	494.9
152B_unitig_4|quiver_211222_212253_+	K00098		2.2e-146	485.6
152B_unitig_2|quiver_393687_394730_+	K00098		5.7e-140	464.5
152B_unitig_0|quiver_2510821_2512431_-	K00099		5.3e-160	531.9
152B_unitig_0|quiver_3330164_3331306_-	K00101		3.6e-155	516.8
152B_unitig_0|quiver_46878_48065_+	K00101		5.4e-143	476.4
152B_unitig_0|quiver_1626732_1627880_+	K00101		1.2e-138	462.1
152B_unitig_0|quiver_3718426_3719907_+	K00102		1.7e-222	739.1
152B_unitig_0|quiver_1198491_1199930_-	K00104		3.5e-193	642.4
152B_unitig_2|quiver_592752_595793_-	K00104		1.1e-79	263.8
152B_unitig_2|quiver_286006_287415_+	K00104		1e-46	143.3
152B_unitig_0|quiver_796402_798054_+	K00108		2.7e-259	861.3
152B_unitig_3|quiver_48352_49956_+	K00108		1.4e-201	670.3
152B_unitig_0|quiver_198955_200610_-	K00108		5.7e-199	661.6
152B_unitig_2|quiver_42968_44593_+	K00108		8e-197	654.5
152B_unitig_1|quiver_83240_84835_+	K00108		7.8e-197	654.5
152B_unitig_2|quiver_166976_168724_-	K00111		2.1e-117	391.6
152B_unitig_2|quiver_38847_40595_+	K00111		4.9e-115	383.8
152B_unitig_2|quiver_592752_595793_-	K00113		3.9e-33	113.0
152B_unitig_0|quiver_710308_712647_+	K00117		4.4e-260	863.6
152B_unitig_2|quiver_487581_488708_+	K00121		1.5e-187	623.3
152B_unitig_0|quiver_2481677_2484556_+	K00123		0	1080.2
152B_unitig_0|quiver_4385040_4387325_+	K00123		1.1e-94	316.5
152B_unitig_2|quiver_472709_475003_+	K00123		1.7e-81	272.9
152B_unitig_0|quiver_2485408_2485644_+	K00126		1e-35	121.8
152B_unitig_0|quiver_3946750_3947592_+	K00127		1.1e-18	62.7
152B_unitig_0|quiver_4193390_4195777_-	K00128		5.2e-220	596.4
152B_unitig_0|quiver_794755_796218_+	K00130		3.7e-208	690.9
152B_unitig_0|quiver_206697_208217_-	K00130		8.5e-184	610.5
152B_unitig_2|quiver_583880_585343_-	K00130		4.1e-167	555.4
152B_unitig_1|quiver_81830_83236_+	K00130		1.1e-156	521.1
152B_unitig_0|quiver_4193390_4195777_-	K00130		8.6e-211	150.4
152B_unitig_0|quiver_2147108_2148142_-	K00133		7.1e-143	476.0
152B_unitig_0|quiver_2919846_2920862_-	K00134		2.1e-153	511.0
152B_unitig_0|quiver_1993270_1994796_+	K00135		2.1e-249	828.0
152B_unitig_1|quiver_61143_62597_-	K00135		1.9e-246	818.3
152B_unitig_4|quiver_86289_87743_-	K00135		6.5e-244	809.9
152B_unitig_2|quiver_581344_582798_-	K00135		7.3e-234	776.7
152B_unitig_5|quiver_165062_166531_-	K00135		2.3e-233	775.1
152B_unitig_0|quiver_2704725_2706152_-	K00137		6.1e-244	808.3
152B_unitig_0|quiver_2625873_2627381_-	K00138		0	1100.7
152B_unitig_0|quiver_1281883_1283379_-	K00140		1.6e-273	908.8
152B_unitig_5|quiver_194054_194335_+	K00141		1e-37	128.5
152B_unitig_0|quiver_367161_368093_+	K00145		2.5e-81	272.2
152B_unitig_0|quiver_2179075_2180316_-	K00147		6.3e-183	607.5
152B_unitig_4|quiver_235306_236874_+	K00148		3.3e-178	590.6
152B_unitig_1|quiver_65137_66690_-	K00151		4.7e-230	762.7
152B_unitig_2|quiver_468936_470375_+	K00154		4.2e-201	667.3
152B_unitig_5|quiver_181906_182364_+	K00156		2.8e-30	103.6
152B_unitig_0|quiver_4778279_4779325_-	K00161		1.9e-169	563.4
152B_unitig_0|quiver_4776872_4778263_-	K00162		5.1e-194	643.9
