	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_048179_NC_048179_1	NC_048179	NC_048179	1	1	978	1	D										Major capsid protein 13-like [PF20036.2]					0
NC_048179_NC_048179_2	NC_048179	NC_048179	2	1051	1425	1	D										HNH endonuclease [PF01844.26]					2
NC_048179_NC_048179_3	NC_048179	NC_048179	3	1455	1955	1	D										Putative DnaT-like ssDNA binding protein [PF20557.1]					0
NC_048179_NC_048179_4	NC_048179	NC_048179	4	1955	2455	1	E															0
NC_048179_NC_048179_5	NC_048179	NC_048179	5	2448	2825	1	E															0
NC_048179_NC_048179_6	NC_048179	NC_048179	6	2800	3276	1	E															0
NC_048179_NC_048179_7	NC_048179	NC_048179	7	3276	3896	1	E															0
NC_048179_NC_048179_8	NC_048179	NC_048179	8	3896	6853	1	E															0
NC_048179_NC_048179_9	NC_048179	NC_048179	9	6923	7564	1	D			MER0255370	U69	MER0255370 - family U69 unassigned peptidases (Zobellia galactanivorans) [U69.UPW]#U69#{peptidase unit: 916-1202}~source YP_004737180~	False	79.0	4.069e-15	0.296	Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_048179_NC_048179_10	NC_048179	NC_048179	10	7577	9451	1	D										Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_048179_NC_048179_11	NC_048179	NC_048179	11	9539	10678	1	D										Protein of unknown function (DUF3383) [PF11863.11]					0
NC_048179_NC_048179_12	NC_048179	NC_048179	12	10689	11120	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]					0
NC_048179_NC_048179_13	NC_048179	NC_048179	13	11137	11565	1	D										Phage tail assembly chaperone protein, TAC [PF10876.11]					0
NC_048179_NC_048179_14	NC_048179	NC_048179	14	11731	13392	1	D										Tape measure protein [PF20155.2]					0
NC_048179_NC_048179_15	NC_048179	NC_048179	15	13389	14285	1	E															0
NC_048179_NC_048179_16	NC_048179	NC_048179	16	14285	14677	1	E															0
NC_048179_NC_048179_17	NC_048179	NC_048179	17	14619	15569	1	E															0
NC_048179_NC_048179_18	NC_048179	NC_048179	18	15559	16203	1	D										Phage protein Gp138 N-terminal domain [PF18352.4]					0
NC_048179_NC_048179_19	NC_048179	NC_048179	19	16212	16583	1	D										Protein of unknown function (DUF2634) [PF10934.11]					0
NC_048179_NC_048179_20	NC_048179	NC_048179	20	16587	17750	1	E															0
NC_048179_NC_048179_21	NC_048179	NC_048179	21	17743	18396	1	D										Protein of unknown function (DUF2612) [PF11041.11]					0
NC_048179_NC_048179_22	NC_048179	NC_048179	22	18389	19738	1	E															0
NC_048179_NC_048179_23	NC_048179	NC_048179	23	19738	20280	1	D										Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]					0
NC_048179_NC_048179_24	NC_048179	NC_048179	24	20283	20792	1	D										Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]					0
NC_048179_NC_048179_25	NC_048179	NC_048179	25	20894	21157	1	E															0
NC_048179_NC_048179_26	NC_048179	NC_048179	26	21132	21677	1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_048179_NC_048179_27	NC_048179	NC_048179	27	21656	21985	1	D										Protein of unknown function (DUF2570) [PF10828.11]					0
NC_048179_NC_048179_28	NC_048179	NC_048179	28	22203	22427	-1	D										Prokaryotic dksA/traR C4-type zinc finger [PF01258.20]					0
NC_048179_NC_048179_29	NC_048179	NC_048179	29	22424	22699	-1	E															0
NC_048179_NC_048179_30	NC_048179	NC_048179	30	22711	24681	-1	D										DNA polymerase family A [PF00476.23]					0
NC_048179_NC_048179_31	NC_048179	NC_048179	31	24678	25676	-1	E															0
NC_048179_NC_048179_32	NC_048179	NC_048179	32	25709	26593	-1	C	K00560	thymidylate synthase [EC:2.1.1.45]								Thymidylate synthase [PF00303.22]					0
NC_048179_NC_048179_33	NC_048179	NC_048179	33	26593	27186	-1	E															0
NC_048179_NC_048179_34	NC_048179	NC_048179	34	27173	27571	-1	E															0
NC_048179_NC_048179_35	NC_048179	NC_048179	35	28182	28652	-1	E															0
NC_048179_NC_048179_36	NC_048179	NC_048179	36	28955	30628	-1	C	K19789	DNA repair protein RadD								Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]; DEAD/DEAH box helicase [PF00270.32]					1
NC_048179_NC_048179_37	NC_048179	NC_048179	37	30628	30777	-1	E															0
NC_048179_NC_048179_38	NC_048179	NC_048179	38	30835	31746	-1	E															0
NC_048179_NC_048179_39	NC_048179	NC_048179	39	31712	32176	-1	C	K01493	dCMP deaminase [EC:3.5.4.12]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; MafB19-like deaminase [PF14437.9]					0
NC_048179_NC_048179_40	NC_048179	NC_048179	40	32237	32776	-1	D										Protein of unknown function (DUF669) [PF05037.16]					0
NC_048179_NC_048179_41	NC_048179	NC_048179	41	32881	33771	-1	D										AAA domain [PF13479.9]					0
NC_048179_NC_048179_42	NC_048179	NC_048179	42	33771	34001	-1	E															0
NC_048179_NC_048179_43	NC_048179	NC_048179	43	34061	34486	-1	E															0
NC_048179_NC_048179_44	NC_048179	NC_048179	44	34533	35852	-1	E															0
NC_048179_NC_048179_45	NC_048179	NC_048179	45	35919	36215	-1	E															0
NC_048179_NC_048179_46	NC_048179	NC_048179	46	36208	36309	-1	E															0
NC_048179_NC_048179_47	NC_048179	NC_048179	47	36284	36616	-1	E															0
NC_048179_NC_048179_48	NC_048179	NC_048179	48	36662	37114	-1	E															0
NC_048179_NC_048179_49	NC_048179	NC_048179	49	37382	37723	-1	E															0
