	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001547.1_1	QGNH01001547.1	QGNH01001547.1	1	1	357	-1	E															0	False	F
QGNH01001547.1_2	QGNH01001547.1	QGNH01001547.1	2	438	1424	-1	E															0	False	F
QGNH01001547.1_3	QGNH01001547.1	QGNH01001547.1	3	1576	2556	-1	E															0	False	F
QGNH01001547.1_4	QGNH01001547.1	QGNH01001547.1	4	2588	3109	-1	E															0	False	F
QGNH01001547.1_5	QGNH01001547.1	QGNH01001547.1	5	3174	3359	-1	E															0	False	F
QGNH01001547.1_6	QGNH01001547.1	QGNH01001547.1	6	3900	4031	-1	E															0	False	F
QGNH01001547.1_7	QGNH01001547.1	QGNH01001547.1	7	4339	4743	-1	E															0	False	F
QGNH01001547.1_8	QGNH01001547.1	QGNH01001547.1	8	4786	5034	-1	E															0	False	F
QGNH01001547.1_9	QGNH01001547.1	QGNH01001547.1	9	5368	5634	-1	E															0	False	
QGNH01001547.1_10	QGNH01001547.1	QGNH01001547.1	10	5652	7250	-1	E															0	False	
QGNH01001547.1_11	QGNH01001547.1	QGNH01001547.1	11	7437	7685	-1	E															0	False	
QGNH01001547.1_12	QGNH01001547.1	QGNH01001547.1	12	7908	8171	-1	E															0	False	
QGNH01001547.1_13	QGNH01001547.1	QGNH01001547.1	13	8178	8345	-1	E															0	False	
QGNH01001547.1_14	QGNH01001547.1	QGNH01001547.1	14	8342	8722	-1	E															0	False	
QGNH01001547.1_15	QGNH01001547.1	QGNH01001547.1	15	8719	8913	-1	E															0	False	
QGNH01001547.1_16	QGNH01001547.1	QGNH01001547.1	16	9025	10074	-1	E															0	False	
QGNH01001547.1_17	QGNH01001547.1	QGNH01001547.1	17	10084	11895	-1	E	YP_001648943.1	YP_001648943.1 terminase [Escherichia phage Min27]	False	0.19	92.0	1.036e-17						VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01001547.1_18	QGNH01001547.1	QGNH01001547.1	18	11871	12239	-1	E															0	False	
QGNH01001547.1_19	QGNH01001547.1	QGNH01001547.1	19	12236	12847	-1	E															0	False	
QGNH01001547.1_20	QGNH01001547.1	QGNH01001547.1	20	12905	13462	-1	E															0	False	F
QGNH01001547.1_21	QGNH01001547.1	QGNH01001547.1	21	13554	14357	-1	E															1	False	F
QGNH01001547.1_22	QGNH01001547.1	QGNH01001547.1	22	14354	14890	-1	E															0	False	F
QGNH01001547.1_23	QGNH01001547.1	QGNH01001547.1	23	14883	15776	-1	E															0	False	F
QGNH01001547.1_24	QGNH01001547.1	QGNH01001547.1	24	15769	16611	-1	D	YP_003969901.1	YP_003969901.1 hypothetical protein crov269 [Cafeteria roenbergensis virus BV-PW1]	False	0.214	63.0	1.257e-09	Glycosyltransferase family 92 [PF01697.30]; Glycosyl transferase family 2 [PF13704.9]	GT92	GT92 UDP-Gal: N-glycan core alpha-1,6-fucoside beta-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactoside beta-1,4-galactosyltransferase (EC 2.4.1.-)	2.4.1.-	GT92.hmm	VOG33234	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001547.1_25	QGNH01001547.1	QGNH01001547.1	25	16608	17258	-1	D							Methyltransferase domain [PF13578.9]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]								0	False	F
QGNH01001547.1_26	QGNH01001547.1	QGNH01001547.1	26	17255	18169	-1	D							4Fe-4S single cluster domain [PF13394.9]; Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]								0	False	F
