locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_014507.1_462_1775_+		K10725	COG1474		phrog_7998	VOG00282	KEGG:K10725	437	1.3e-169	562.1		cdc6A; archaeal cell division control protein 6
NC_014507.1_1852_2343_+		K03718	COG1522				COG:COG1522	163	1.3e-43	146.8		Lrp; 
NC_014507.1_2356_3513_+	K10907	K10907	COG0436		phrog_5879		FOAM:K10907	385	6.5e-169	559.5	2.6.1.-	K10907; aminotransferase
NC_014507.1_3739_3921_+												Hypothetical
NC_014507.1_3934_6636_-		K09118	COG1615				COG:COG1615	900	0	1166.7		; 
NC_014507.1_6726_7526_-		K07053	COG0613				COG:COG0613	266	4.5e-35	118.5		YciV; 
NC_014507.1_7637_8605_-	K13533	K13533	COG3852				FOAM:K13533	322	1.6e-22	77.1	2.7.13.3	kinE; two-component system, sporulation sensor kinase E
NC_014507.1_8867_9868_+	K01939, K01939	K01939, K01939	COG0104, COG0104, COG0104		phrog_1211	VOG08445	VOG:VOG08445	333	2.1e-71	237.9		sp|B3QQZ0|PURA_CHLP8 Adenylosuccinate synthetase
NC_014507.1_9880_10071_+		K09791	COG2835				COG:COG2835	63	1.5e-18	64.9		Trm112; 
NC_014507.1_10095_10619_+												Hypothetical
NC_014507.1_10763_11527_+		K02227	COG1270				COG:COG1270	254	2.9e-72	240.5		CbiB; Cobalamine/B12 biosynthesis
NC_014507.1_11562_12380_-		K24447	COG4083				COG:COG4083	272	2.1e-82	274.0		; 
NC_014507.1_12206_13711_+		K00936	COG3920		phrog_10912		COG:COG3920	501	7.9e-69	229.8		; 
NC_014507.1_13720_14121_+		K22010	COG4565		phrog_5982	VOG00352	KEGG:K22010	133	3.8e-42	142.2		pdtaR; two-component system, response regulator PdtaR
NC_014507.1_14727_15380_+												Hypothetical
NC_014507.1_15476_16228_-	K02013	K02013	COG1120		phrog_293	VOG06047	COG:COG1120	248	6.1e-112	372.9		FepC; 
NC_014507.1_16225_17301_-	K02015	K02015	COG0609		phrog_12197		COG:COG0609	358	7.4e-120	397.6		FepD; 
NC_014507.1_17319_18452_-	K02016	K02016	COG0614				COG:COG0614	377	5e-72	240.7		FepB; 
NC_014507.1_18837_19970_-	K02016	K02016	COG0614				COG:COG0614	377	4.8e-73	244.1		FepB; 
NC_014507.1_20237_21079_-	K00568	K00568	COG0030				COG:COG0030	280	1.4e-15	53.9		RsmA; 16S rRNA modification
NC_014507.1_21384_23192_+			COG1572				COG:COG1572	602	8e-38	127.4		; 
NC_014507.1_23179_24162_+												Hypothetical
NC_014507.1_24170_24832_+	K02003	K02003	COG1136		phrog_293	VOG02992	COG:COG1136	220	3.3e-105	349.2		LolD; 
NC_014507.1_24835_26046_+	K09808	K09808	COG4591		phrog_31849		COG:COG4591	403	1.3e-76	255.5		LolE; 
NC_014507.1_26070_30743_+												Hypothetical
NC_014507.1_30932_31189_+												Hypothetical
NC_014507.1_31211_32536_+												Hypothetical
NC_014507.1_33082_41019_+		K04985, K05999, K04985, K04985, K05999	COG4724, COG4724, COG4724, COG4724, COG4724, COG4724, COG4724, COG4724, COG4724			VOG21381, VOG21381, VOG21381, VOG21381, VOG21381, VOG21381	VOG:VOG21381	2645	8.9e-263	176.5		REFSEQ subtilase family serine protease
NC_014507.1_41116_42852_+												Hypothetical
