	FragGeneScan_RW1	FragGeneScan_DJ	FragGeneScan_GIC31	FragGeneScan_RW2	FragGeneScan_Rleg
Protein Count (Total)	283	4817	3065	3108	7950
Protein Count (>Min Score)	4	74	48	55	138
% Proteins > Min Score	1.41	1.54	1.57	1.77	1.74
Average Protein Length	336.73	316.74	284.25	294.33	291.11
GC count	225002	3523702	1525438	1571596	4802878
GC %	72.95	65.68	52.27	52.05	60.53
N25	308429	5365318	2918587	947149	4883137
N50	308429	5365318	2918587	705844	4883137
N75	308429	5365318	2918587	342451	1234209
N90	308429	5365318	2918587	98909	630306
Contig Min Length	308429	5365318	2918587	274	415988
Contig Max Length	308429	5365318	2918587	947149	4883137
