locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MH674343.1_519_893_-												Hypothetical
MH674343.1_904_1476_-												Hypothetical
MH674343.1_1477_1788_-		K19145					KEGG:K19145	103	4.9e-21	65.7		csx16; CRISPR-associated protein Csx16
MH674343.1_2479_2721_-												Hypothetical
MH674343.1_2962_3105_+												Hypothetical
MH674343.1_3107_3277_+												Hypothetical
MH674343.1_3582_4244_+												Hypothetical
MH674343.1_4369_4845_+												Hypothetical
MH674343.1_4847_5524_+					phrog_2324	VOG08218	PHROG:phrog_2324	225	3.5e-46	148.1		Erf-like ssDNA annealing protein
MH674343.1_5670_7715_+		K06919	COG3378		phrog_1156		COG:COG3378	681	3.4e-13	38.5		; 
MH674343.1_7974_9107_+	K00558	K00558	COG0270		phrog_116	VOG00281	COG:COG0270	377	4.8e-92	299.8		Dcm; 
MH674343.1_9108_9764_+		K10848	COG1948		phrog_24545	VOG01108	VOG:VOG01108	218	1.2e-66	216.2		sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
MH674343.1_9770_9973_+												Hypothetical
MH674343.1_9970_10950_+		K00571	COG0863		phrog_67	VOG00306	VOG:VOG00306	326	2.7e-81	265.3		sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I
MH674343.1_11088_11219_+												Hypothetical
MH674343.1_11667_12233_+												Hypothetical
MH674343.1_12475_12879_+												Hypothetical
MH674343.1_13187_13456_+												Hypothetical
MH674343.1_13458_13739_+												Hypothetical
MH674343.1_13779_14330_+						VOG19023	VOG:VOG19023	183	6.3e-12	36.4		REFSEQ hypothetical protein
MH674343.1_14415_15875_+			COG5410		phrog_38	VOG00331	COG:COG5410	486	1.3e-108	354.7		; 
MH674343.1_15872_17485_+			COG5518		phrog_12	VOG00344	COG:COG5518	537	8.2e-52	167.1		; 
MH674343.1_17379_18269_+			COG2369		phrog_2468	VOG00318	VOG:VOG00318	296	8.6e-72	232.1		sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
MH674343.1_18354_19373_+					phrog_31676	VOG03893, VOG03893	VOG:VOG03893	339	1.9e-60	158.1		sp|P45920|YQBD_BACSU Uncharacterized protein YqbD
MH674343.1_19407_20417_+					phrog_1623	VOG01409	PHROG:phrog_1623	336	2.1e-70	228.3		virion structural protein
MH674343.1_20609_21031_+												Hypothetical
MH674343.1_21037_21480_+					phrog_5	VOG00648	VOG:VOG00648	147	4.6e-20	63.4		REFSEQ hypothetical protein
MH674343.1_21477_21998_+												Hypothetical
MH674343.1_22039_23148_+												Hypothetical
MH674343.1_23199_23657_+												Hypothetical
MH674343.1_23909_28120_+												Hypothetical
MH674343.1_28310_31612_+			COG4722		phrog_33		PHROG:phrog_33	1100	6.8e-27	86.3		distal tail protein Dit
MH674343.1_31619_33487_+					phrog_12329		PHROG:phrog_12329	622	8.2e-10	27.8		virion structural protein
MH674343.1_33520_34422_+			COG1305				COG:COG1305	300	8.1e-25	78.9		YebA; 
MH674343.1_34942_35475_-												Hypothetical
MH674343.1_35575_35754_-												Hypothetical
MH674343.1_35845_36165_-						VOG33748	VOG:VOG33748	106	1.6e-08	25.9		REFSEQ hypothetical protein
MH674343.1_36416_36709_-												Hypothetical
MH674343.1_36745_36993_-												Hypothetical
