locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
AY190604.2_1970_2875_+												Hypothetical
AY190604.2_2979_3320_+												Hypothetical
AY190604.2_3313_3663_+												Hypothetical
AY190604.2_3987_4346_+												Hypothetical
AY190604.2_4446_4736_+												Hypothetical
AY190604.2_4744_4881_+					phrog_23996	VOG23956	VOG:VOG23956	45	6.3e-36	115.2		REFSEQ hypothetical protein
AY190604.2_4894_5115_+												Hypothetical
AY190604.2_5252_5530_+												Hypothetical
AY190604.2_5641_5889_+					phrog_15403	VOG14408	VOG:VOG14408	82	3e-51	163.9		REFSEQ hypothetical protein
AY190604.2_6005_6673_+												Hypothetical
AY190604.2_6692_7057_+												Hypothetical
AY190604.2_7054_7323_+												Hypothetical
AY190604.2_7453_7605_+												Hypothetical
AY190604.2_7650_7778_-												Hypothetical
AY190604.2_7781_7969_+					phrog_30329	VOG23946	VOG:VOG23946	62	1.8e-50	161.6		REFSEQ hypothetical protein
AY190604.2_7986_8837_+												Hypothetical
AY190604.2_8834_9052_+												Hypothetical
AY190604.2_9123_9776_+												Hypothetical
AY190604.2_9784_10116_+												Hypothetical
AY190604.2_10138_10290_+						VOG23942	VOG:VOG23942	50	5.3e-39	124.5		REFSEQ hypothetical protein
AY190604.2_10371_12167_+		K03722	COG1199		phrog_2488	VOG04419	PHROG:phrog_2488	598	1.1e-163	538.4		DNA helicase
AY190604.2_12217_12615_+												Hypothetical
AY190604.2_12615_12881_+												Hypothetical
AY190604.2_13210_13629_+					phrog_7545	VOG01272	PHROG:phrog_7545	139	1.3e-13	44.0		HNH endonuclease
AY190604.2_13632_14063_+												Hypothetical
AY190604.2_14197_14472_+					phrog_13954	VOG14456	VOG:VOG14456	91	4.6e-53	170.3		REFSEQ hypothetical protein
AY190604.2_14469_14921_+												Hypothetical
AY190604.2_15214_15546_+												Hypothetical
AY190604.2_15539_15721_+					phrog_33640	VOG23934	VOG:VOG23934	60	1.6e-38	123.3		REFSEQ hypothetical protein
AY190604.2_15784_15957_+						VOG24268	VOG:VOG24268	57	6.1e-40	127.7		REFSEQ hypothetical protein
AY190604.2_16045_16509_-			COG1948		phrog_3490	VOG01108	VOG:VOG01108	128	5.9e-42	136.5		sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
AY190604.2_16506_16985_-												Hypothetical
AY190604.2_17278_17763_+					phrog_12980	VOG01567	PHROG:phrog_12980	161	1.3e-83	271.2		HNH endonuclease
AY190604.2_18428_19504_+		K17081	COG0330		phrog_200	VOG01466	VOG:VOG01466	358	3e-70	229.9		sp|Q5UP73|YR614_MIMIV Putative band 7 family protein R614
AY190604.2_19506_19640_+												Hypothetical
