Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	Metacerberus_fgs-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
AF065411	39.0	9.0	22.0	8.0	1.0	7.0	5.0	0.0	2.0	17.0	9.0	0.0	8.0	44.0	17.0	27.0	0.0	3.0	38.0	16.0	22.0	0.0	3.0	38.0	0.0	38.0	0.0
AF222060	113.0	33.0	80.0	0.0	5.0	8.0	5.0	0.0	3.0	60.0	20.0	0.0	40.0	114.0	41.0	73.0	0.0	13.0						117.0	4.0	113.0	0.0
AF301375	46.0	12.0	25.0	9.0	3.0	8.0	7.0	0.0	1.0	22.0	13.0	0.0	9.0	52.0	18.0	34.0	0.0	4.0						45.0	0.0	45.0	0.0
AM419438	64.0	12.0	51.0	1.0	2.0	6.0	5.0	0.0	1.0	35.0	17.0	0.0	18.0	65.0	18.0	47.0	0.0	6.0	46.0	17.0	29.0	0.0	5.0	64.0	1.0	63.0	0.0
AY190604	112.0	33.0	79.0	0.0	5.0	8.0	4.0	0.0	4.0	57.0	20.0	0.0	37.0	113.0	42.0	71.0	0.0	13.0	102.0	41.0	61.0	0.0	12.0	116.0	4.0	112.0	0.0
GCA_000888415.1	14.0	4.0	10.0	0.0	2.0	4.0	4.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0						15.0	0.0	15.0	0.0
GCA_000896815.1	31.0	24.0	7.0	0.0	0.0	7.0	4.0	0.0	3.0	14.0	7.0	0.0	7.0	39.0	10.0	29.0	0.0	1.0	28.0	9.0	19.0	0.0	2.0	31.0	0.0	31.0	0.0
GCA_001441135.1	52.0	7.0	44.0	1.0	2.0	6.0	4.0	0.0	2.0	24.0	13.0	0.0	11.0	58.0	12.0	46.0	0.0	10.0						51.0	0.0	51.0	0.0
GCA_002271085.1	24.0	10.0	14.0	0.0	0.0	4.0	0.0	0.0	4.0					0.0	0.0	0.0	0.0	0.0						24.0	0.0	24.0	0.0
GCA_002890195.1	34.0	12.0	21.0	1.0	1.0	3.0	3.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	33.0	5.0	28.0	0.0	3.0	34.0	1.0	33.0	0.0
GCA_002989825.1	30.0	23.0	7.0	0.0	0.0	7.0	4.0	0.0	3.0	13.0	6.0	0.0	7.0	37.0	8.0	29.0	0.0	1.0						30.0	0.0	30.0	0.0
GCA_002990085.1	23.0	9.0	14.0	0.0	0.0	5.0	0.0	0.0	5.0					0.0	0.0	0.0	0.0	0.0						23.0	0.0	23.0	0.0
GCA_003004805.1	64.0	7.0	3.0	54.0	2.0	8.0	4.0	0.0	4.0	31.0	13.0	0.0	18.0	66.0	11.0	55.0	0.0	7.0						64.0	1.0	63.0	0.0
GCA_020497825.1	36.0	33.0	3.0	0.0	0.0	5.0	3.0	0.0	2.0	15.0	7.0	0.0	8.0	34.0	8.0	26.0	0.0	4.0	33.0	9.0	24.0	0.0	6.0	36.0	0.0	36.0	0.0
GCA_020497835.1						1.0	0.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	12.0	0.0	12.0	0.0	0.0	16.0	0.0	16.0	0.0
GCA_020497845.1	9.0	9.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0						8.0	0.0	8.0	0.0
GCA_020497855.1	18.0	1.0	1.0	16.0	1.0	3.0	2.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	17.0	4.0	13.0	0.0	3.0	18.0	0.0	18.0	0.0
GCA_020497865.1						2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0	0.0	15.0	0.0	15.0	0.0
GCA_020497875.1	8.0	7.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	9.0	1.0	8.0	0.0	1.0	8.0	0.0	8.0	0.0
GCA_021091095.1	33.0	31.0	2.0	0.0	0.0	6.0	3.0	0.0	3.0	8.0	3.0	0.0	5.0	42.0	4.0	38.0	0.0	2.0	29.0	4.0	25.0	0.0	2.0	33.0	0.0	33.0	0.0
GCA_029887335.1	47.0	0.0	32.0	15.0	1.0	6.0	2.0	0.0	4.0	18.0	6.0	0.0	12.0	48.0	6.0	42.0	0.0	2.0						47.0	0.0	47.0	0.0
GCA_030144915.1	30.0	29.0	1.0	0.0	0.0	6.0	0.0	0.0	6.0					0.0	0.0	0.0	0.0	0.0						28.0	0.0	28.0	0.0
GCA_030144925.1	51.0	41.0	10.0	0.0	0.0	4.0	2.0	0.0	2.0	14.0	7.0	0.0	7.0	51.0	20.0	31.0	0.0	5.0	46.0	19.0	27.0	0.0	3.0	50.0	1.0	49.0	0.0
GCA_030144935.1	41.0	39.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0						40.0	0.0	40.0	0.0
HQ332141	58.0	7.0	46.0	5.0	1.0	6.0	5.0	0.0	1.0	26.0	14.0	0.0	12.0	61.0	22.0	39.0	0.0	3.0						57.0	0.0	57.0	0.0
