Target Name	ID	EC value	E-Value (sequence)	Score (domain)
strain_GIC31_complete_genome_1190737_1191621_+	phrog_1		1.4e-60	202.8
strain_GIC31_complete_genome_1349896_1350906_-	phrog_1		2.4e-60	201.3
strain_GIC31_complete_genome_1722772_1723653_-	phrog_1		8e-52	173.9
strain_GIC31_complete_genome_512872_513741_-	phrog_1		8.5e-49	164.1
strain_GIC31_complete_genome_1222135_1223145_-	phrog_1		2.7e-09	33.9
strain_GIC31_complete_genome_1259575_1260681_+	phrog_100		4.8e-31	105.6
strain_GIC31_complete_genome_948639_949730_+	phrog_10027		2.4e-08	30.3
strain_GIC31_complete_genome_91503_92153_+	phrog_10255		1.7e-08	31.3
strain_GIC31_complete_genome_1448462_1449079_-	phrog_10276		1.6e-40	136.0
strain_GIC31_complete_genome_1961769_1962398_-	phrog_10276		7.9e-40	133.8
strain_GIC31_complete_genome_1959183_1959476_-	phrog_10276		1.4e-32	110.3
strain_GIC31_complete_genome_1722212_1722760_-	phrog_1040		6.2e-24	82.3
strain_GIC31_complete_genome_1737646_1738647_-	phrog_10430		3.2e-114	379.9
strain_GIC31_complete_genome_1701220_1702269_-	phrog_10430		1.3e-15	53.7
strain_GIC31_complete_genome_994058_996655_+	phrog_107		2.1e-40	135.3
strain_GIC31_complete_genome_1541195_1541980_-	phrog_107		4.5e-35	118.6
strain_GIC31_complete_genome_2664603_2665595_+	phrog_107		2.3e-30	103.0
strain_GIC31_complete_genome_2386763_2387491_+	phrog_10724		1.6e-57	192.0
strain_GIC31_complete_genome_462019_462738_-	phrog_10724		9.9e-49	163.1
strain_GIC31_complete_genome_1662856_1663575_-	phrog_10724		2.1e-41	139.1
strain_GIC31_complete_genome_2707907_2708635_-	phrog_10724		6.8e-41	137.6
strain_GIC31_complete_genome_725209_725916_+	phrog_10724		7.2e-36	121.0
strain_GIC31_complete_genome_2245445_2246623_-	phrog_1075		9.5e-136	450.7
strain_GIC31_complete_genome_1428159_1428617_-	phrog_1077		6.3e-24	81.8
strain_GIC31_complete_genome_1150999_1151793_+	phrog_10776		8.4e-54	180.4
strain_GIC31_complete_genome_2194844_2195602_-	phrog_10776		1.3e-49	166.7
strain_GIC31_complete_genome_1574783_1575541_+	phrog_10776		4.2e-49	165.0
strain_GIC31_complete_genome_1361272_1362120_+	phrog_10776		6.7e-37	124.6
strain_GIC31_complete_genome_2848322_2850163_-	phrog_10912		1.5e-86	288.5
