	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_073204_NC_073204_1	NC_073204	NC_073204	1	2	2626	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	DNA polymerase family A [PF00476.23]					0
NC_073204_NC_073204_2	NC_073204	NC_073204	2	2684	3310	-1	D			Protein of unknown function (DUF2815) [PF10991.11]					0
NC_073204_NC_073204_3	NC_073204	NC_073204	3	3392	4666	-1	D			Protein of unknown function (DUF2800) [PF10926.11]					0
NC_073204_NC_073204_4	NC_073204	NC_073204	4	4708	5100	-1	E								0
NC_073204_NC_073204_5	NC_073204	NC_073204	5	5377	5595	1	D			Helix-turn-helix domain [PF12844.10]; Helix-turn-helix domain [PF13560.9]; Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix [PF01381.25]					0
NC_073204_NC_073204_6	NC_073204	NC_073204	6	5610	7796	-1	D			AAA domain [PF13481.9]					0
NC_073204_NC_073204_7	NC_073204	NC_073204	7	7853	8086	-1	E								0
NC_073204_NC_073204_8	NC_073204	NC_073204	8	8083	8253	-1	D			Helix-turn-helix domain [PF12728.10]; Putative transcription regulator (DUF1323) [PF07037.14]; Prophage CP4-57 regulatory protein (AlpA) [PF05930.15]; Helix-turn-helix of insertion element transposase [PF13022.9]					0
NC_073204_NC_073204_9	NC_073204	NC_073204	9	9052	9273	1	E								0
NC_073204_NC_073204_10	NC_073204	NC_073204	10	9394	9558	1	E								0
NC_073204_NC_073204_11	NC_073204	NC_073204	11	9622	9741	1	E								0
NC_073204_NC_073204_12	NC_073204	NC_073204	12	9734	10084	1	E								0
NC_073204_NC_073204_13	NC_073204	NC_073204	13	10081	10284	1	E								0
NC_073204_NC_073204_14	NC_073204	NC_073204	14	10287	10652	1	E								0
NC_073204_NC_073204_15	NC_073204	NC_073204	15	10658	11092	1	E								0
NC_073204_NC_073204_16	NC_073204	NC_073204	16	11171	11452	1	E								0
NC_073204_NC_073204_17	NC_073204	NC_073204	17	11454	11744	1	E								0
NC_073204_NC_073204_18	NC_073204	NC_073204	18	11722	12210	1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_073204_NC_073204_19	NC_073204	NC_073204	19	12396	12581	1	E								0
NC_073204_NC_073204_20	NC_073204	NC_073204	20	12578	12736	1	E								0
NC_073204_NC_073204_21	NC_073204	NC_073204	21	12733	12888	1	D			Protein of unknown function (DUF2737) [PF10930.11]					0
NC_073204_NC_073204_22	NC_073204	NC_073204	22	12885	13241	1	D			Phage NinH protein [PF06322.14]					0
NC_073204_NC_073204_23	NC_073204	NC_073204	23	13238	13537	1	E								0
NC_073204_NC_073204_24	NC_073204	NC_073204	24	13553	13735	1	E								0
NC_073204_NC_073204_25	NC_073204	NC_073204	25	13917	14462	1	E								0
NC_073204_NC_073204_26	NC_073204	NC_073204	26	14452	15723	1	C	K06909	phage terminase large subunit	Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]					0
NC_073204_NC_073204_27	NC_073204	NC_073204	27	15736	17211	1	D			Domain of unknown function (DUF4055) [PF13264.9]					0
NC_073204_NC_073204_28	NC_073204	NC_073204	28	17242	17895	-1	E								0
NC_073204_NC_073204_29	NC_073204	NC_073204	29	18074	19933	1	D			Phage Mu protein F like protein [PF04233.17]; Intein splicing domain [PF14890.9]					0
NC_073204_NC_073204_30	NC_073204	NC_073204	30	19936	20394	1	E								0
NC_073204_NC_073204_31	NC_073204	NC_073204	31	20712	21098	1	E								0
NC_073204_NC_073204_32	NC_073204	NC_073204	32	21292	21993	1	E								0
NC_073204_NC_073204_33	NC_073204	NC_073204	33	21997	23046	1	D			Major capsid protein 13-like [PF20036.2]					0
NC_073204_NC_073204_34	NC_073204	NC_073204	34	23107	23391	1	E								0
NC_073204_NC_073204_35	NC_073204	NC_073204	35	23403	23753	1	D			Immunoglobulin domain [PF13895.9]					0
NC_073204_NC_073204_36	NC_073204	NC_073204	36	23790	23978	1	E								0
NC_073204_NC_073204_37	NC_073204	NC_073204	37	23982	24491	1	D			Putative DnaT-like ssDNA binding protein [PF20557.1]					0
NC_073204_NC_073204_38	NC_073204	NC_073204	38	24494	25099	1	E								0
NC_073204_NC_073204_39	NC_073204	NC_073204	39	25099	25458	1	E								0
NC_073204_NC_073204_40	NC_073204	NC_073204	40	25455	25850	1	E								0
NC_073204_NC_073204_41	NC_073204	NC_073204	41	25850	26269	1	D			Bacteriophage related domain of unknown function [PF13554.9]					0
NC_073204_NC_073204_42	NC_073204	NC_073204	42	26269	27438	1	D			Phage tail tube protein [PF18906.3]					0
NC_073204_NC_073204_43	NC_073204	NC_073204	43	27467	28138	-1	D			Phage regulatory protein Rha (Phage_pRha) [PF09669.13]; Phage antirepressor protein KilAC domain [PF03374.17]					0
NC_073204_NC_073204_44	NC_073204	NC_073204	44	28250	28480	-1	E								0
NC_073204_NC_073204_45	NC_073204	NC_073204	45	28477	29607	-1	E								0
NC_073204_NC_073204_46	NC_073204	NC_073204	46	29670	29849	-1	D			Superinfection immunity protein [PF14373.9]					0
NC_073204_NC_073204_47	NC_073204	NC_073204	47	30019	30435	1	D			Phage tail assembly chaperone [PF08748.14]					0
NC_073204_NC_073204_48	NC_073204	NC_073204	48	30441	30800	1	E								0
NC_073204_NC_073204_49	NC_073204	NC_073204	49	30793	33126	1	D			Tape measure protein [PF20155.2]					0
NC_073204_NC_073204_50	NC_073204	NC_073204	50	33128	33628	1	E								0
NC_073204_NC_073204_51	NC_073204	NC_073204	51	33625	34140	1	D			Domain of unknown function (DUF1833) [PF08875.14]					0
NC_073204_NC_073204_52	NC_073204	NC_073204	52	34137	34502	1	E								0
NC_073204_NC_073204_53	NC_073204	NC_073204	53	34493	37051	1	E								0
NC_073204_NC_073204_54	NC_073204	NC_073204	54	37064	39094	1	D			Salmonella phage P22 tail-spike [PF09251.13]; Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]	GH90	GH90 endorhamnosidase (EC 3.2.1.-)	3.2.1.-	GH90.hmm	0
NC_073204_NC_073204_55	NC_073204	NC_073204	55	39206	39367	-1	E								0
NC_073204_NC_073204_56	NC_073204	NC_073204	56	39364	40788	-1	D			SNF2-related domain [PF00176.26]					0
NC_073204_NC_073204_57	NC_073204	NC_073204	57	40785	40976	-1	E								0
NC_073204_NC_073204_58	NC_073204	NC_073204	58	41008	41295	-1	D			VRR-NUC domain [PF08774.14]					0
NC_073204_NC_073204_59	NC_073204	NC_073204	59	41382	41852	-1	D			DNA polymerase family A [PF00476.23]					0
