	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
AF222060_AF222060.2_1	AF222060	AF222060.2	1	1970	2875	1	E											0
AF222060_AF222060.2_2	AF222060	AF222060.2	2	2979	3320	1	E											0
AF222060_AF222060.2_3	AF222060	AF222060.2	3	3313	3663	1	E											0
AF222060_AF222060.2_4	AF222060	AF222060.2	4	3987	4346	1	E											0
AF222060_AF222060.2_5	AF222060	AF222060.2	5	4446	4736	1	E											0
AF222060_AF222060.2_6	AF222060	AF222060.2	6	4744	4881	1	E											0
AF222060_AF222060.2_7	AF222060	AF222060.2	7	5112	5255	1	E											0
AF222060_AF222060.2_8	AF222060	AF222060.2	8	5252	5530	1	E											0
AF222060_AF222060.2_9	AF222060	AF222060.2	9	5530	5637	1	E											0
AF222060_AF222060.2_10	AF222060	AF222060.2	10	5641	5889	1	E											0
AF222060_AF222060.2_11	AF222060	AF222060.2	11	5889	6008	1	E											0
AF222060_AF222060.2_12	AF222060	AF222060.2	12	6005	6673	1	E											0
AF222060_AF222060.2_13	AF222060	AF222060.2	13	6692	7057	1	E											0
AF222060_AF222060.2_14	AF222060	AF222060.2	14	7054	7323	1	E											0
AF222060_AF222060.2_15	AF222060	AF222060.2	15	7605	7781	1	E											0
AF222060_AF222060.2_16	AF222060	AF222060.2	16	7781	7969	1	E											0
AF222060_AF222060.2_17	AF222060	AF222060.2	17	7986	8837	1	E											0
AF222060_AF222060.2_18	AF222060	AF222060.2	18	8834	9052	1	E											0
AF222060_AF222060.2_19	AF222060	AF222060.2	19	9123	9776	1	E											0
AF222060_AF222060.2_20	AF222060	AF222060.2	20	9784	10116	1	E											0
AF222060_AF222060.2_21	AF222060	AF222060.2	21	10138	10290	1	E											0
AF222060_AF222060.2_22	AF222060	AF222060.2	22	10371	12167	1	D										Helicase C-terminal domain [PF13307.9]; Type III restriction enzyme, res subunit [PF04851.18]	0
AF222060_AF222060.2_23	AF222060	AF222060.2	23	12217	12615	1	E											0
AF222060_AF222060.2_24	AF222060	AF222060.2	24	12615	12881	1	E											0
AF222060_AF222060.2_25	AF222060	AF222060.2	25	13034	13210	1	E											0
AF222060_AF222060.2_26	AF222060	AF222060.2	26	13210	13629	1	E											0
AF222060_AF222060.2_27	AF222060	AF222060.2	27	13632	14063	1	E											0
AF222060_AF222060.2_28	AF222060	AF222060.2	28	14063	14200	1	E											0
AF222060_AF222060.2_29	AF222060	AF222060.2	29	14197	14472	1	E											0
AF222060_AF222060.2_30	AF222060	AF222060.2	30	14469	14921	1	E											0
AF222060_AF222060.2_31	AF222060	AF222060.2	31	14918	15214	1	E											0
AF222060_AF222060.2_32	AF222060	AF222060.2	32	15214	15546	1	E											0
AF222060_AF222060.2_33	AF222060	AF222060.2	33	15539	15721	1	E											0
AF222060_AF222060.2_34	AF222060	AF222060.2	34	16045	16509	-1	D										ERCC4 domain [PF02732.18]	0
AF222060_AF222060.2_35	AF222060	AF222060.2	35	16506	16985	-1	E											0
AF222060_AF222060.2_36	AF222060	AF222060.2	36	17278	17763	1	E											0
AF222060_AF222060.2_37	AF222060	AF222060.2	37	17760	18311	-1	E											0
AF222060_AF222060.2_38	AF222060	AF222060.2	38	18629	19504	1	D			MER0807710	I87	MER0807710 - family I87 unassigned peptidase inhibitors () [I87.UPW]#I87#{inhibitor unit: 89-331}~source R4TJL2~	True	432.0	1.117e-135	0.855	SPFH domain / Band 7 family [PF01145.28]	0
AF222060_AF222060.2_39	AF222060	AF222060.2	39	19506	19640	1	E											0
AF222060_AF222060.2_40	AF222060	AF222060.2	40	19823	20230	1	E											0
AF222060_AF222060.2_41	AF222060	AF222060.2	41	20359	20571	1	E											0
AF222060_AF222060.2_42	AF222060	AF222060.2	42	20979	21941	1	E											0
AF222060_AF222060.2_43	AF222060	AF222060.2	43	21992	22243	1	E											0
AF222060_AF222060.2_44	AF222060	AF222060.2	44	22321	23814	1	E											0
AF222060_AF222060.2_45	AF222060	AF222060.2	45	23857	25092	1	E											0
AF222060_AF222060.2_46	AF222060	AF222060.2	46	25089	26270	1	E											0
AF222060_AF222060.2_47	AF222060	AF222060.2	47	26359	26784	1	E											0
AF222060_AF222060.2_48	AF222060	AF222060.2	48	26784	27134	1	E											0
AF222060_AF222060.2_49	AF222060	AF222060.2	49	27153	27539	1	E											0
AF222060_AF222060.2_50	AF222060	AF222060.2	50	27523	27807	1	D										Domain of unknown function (DUF6378) [PF19905.2]	0
AF222060_AF222060.2_51	AF222060	AF222060.2	51	27804	27962	1	E											0
AF222060_AF222060.2_52	AF222060	AF222060.2	52	27959	28123	1	E											0
AF222060_AF222060.2_53	AF222060	AF222060.2	53	28198	29214	1	D										PD-(D/E)XK nuclease superfamily [PF12705.10]; Domain of unknown function DUF83 [PF01930.20]	0
AF222060_AF222060.2_54	AF222060	AF222060.2	54	29214	29342	1	E											0
AF222060_AF222060.2_55	AF222060	AF222060.2	55	29342	29521	1	E											0
AF222060_AF222060.2_56	AF222060	AF222060.2	56	29514	29723	1	E											0
