locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_044941.1_171_398_+												Hypothetical
NC_044941.1_598_1680_-						VOG36420	VOG:VOG36420	360	1.7e-131	431.6		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_1764_2864_-						VOG36420	VOG:VOG36420	362	4e-138	453.5		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_3002_3535_+						VOG36423	VOG:VOG36423	177	1.1e-108	354.0		sp|P0C9W0|P22_ASFK5 Inner membrane protein p22
NC_044941.1_3673_3924_-						VOG36419	VOG:VOG36419	83	4.6e-63	202.8		sp|P0CAK6|L83L_ASFK5 Protein L83L
NC_044941.1_4019_4222_-						VOG36422	VOG:VOG36422	67	1.5e-49	159.6		REFSEQ pL60L
NC_044941.1_4407_5477_-						VOG36420	VOG:VOG36420	356	1.1e-140	461.9		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_5704_6516_-						VOG36421	VOG:VOG36421	270	6e-144	471.7		sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L
NC_044941.1_6679_7245_-						VOG36421	VOG:VOG36421	188	5.6e-52	170.2		sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L
NC_044941.1_7682_7993_-												Hypothetical
NC_044941.1_8070_8546_-						VOG36421	VOG:VOG36421	158	4.8e-60	196.2		sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L
NC_044941.1_8645_8791_+												Hypothetical
NC_044941.1_9052_10248_-						VOG36420	VOG:VOG36420	398	3.3e-117	384.7		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_10653_10781_+												Hypothetical
NC_044941.1_11041_12204_-						VOG36420	VOG:VOG36420	387	8.9e-115	376.7		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_13067_13276_+						VOG36424	VOG:VOG36424	69	2.9e-46	148.9		sp|P0CAJ3|VF69R_ASFP4 Uncharacterized membrane protein X69R
NC_044941.1_13463_14269_-						VOG36420	VOG:VOG36420	268	2e-54	178.2		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_15222_15416_+						VOG36424	VOG:VOG36424	64	4.5e-42	135.5		sp|P0CAJ3|VF69R_ASFP4 Uncharacterized membrane protein X69R
NC_044941.1_15773_15910_-												Hypothetical
NC_044941.1_15997_16479_+						VOG36425	VOG:VOG36425	160	4.6e-112	364.8		sp|P0C9K8|3002R_ASFWA Protein MGF 300-2R
NC_044941.1_16570_17556_-						VOG36420	VOG:VOG36420	328	1.5e-49	142.7		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_17674_18633_-						VOG36420	VOG:VOG36420	319	7.1e-116	371.3		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_18795_19847_-						VOG36420	VOG:VOG36420	350	1.3e-139	458.2		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_19956_21026_-						VOG36420	VOG:VOG36420	356	7.5e-132	432.8		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_21052_22140_-						VOG36420	VOG:VOG36420	289	1.2e-114	376.3		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_21991_22152_+												Hypothetical
NC_044941.1_22320_23915_+						VOG36420	VOG:VOG36420	531	2.7e-74	243.7		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_23965_25017_-						VOG36420	VOG:VOG36420	350	1.6e-136	448.2		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_25189_26250_-						VOG36420	VOG:VOG36420	353	3.6e-130	427.3		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_26422_27495_-						VOG36420	VOG:VOG36420	357	2e-115	378.8		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_27701_29281_+						VOG36420	VOG:VOG36420	526	3.4e-85	279.5		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_29368_30210_+						VOG36420	VOG:VOG36420	280	2.8e-70	230.2		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_30375_31892_+						VOG36420	VOG:VOG36420	505	8.8e-83	271.6		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_31885_33417_+						VOG36420	VOG:VOG36420	510	3e-84	276.4		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_33528_35201_+						VOG36420	VOG:VOG36420	557	2.8e-80	261.5		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_35322_36908_+						VOG36420	VOG:VOG36420	528	8.6e-84	272.5		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_37216_38736_+						VOG36420	VOG:VOG36420	506	3e-82	269.9		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_39060_40688_+						VOG36420	VOG:VOG36420	542	8.4e-87	284.8		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_40804_41478_-		K16061				VOG00028	VOG:VOG00028	224	2.9e-20	65.4		sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP
NC_044941.1_41517_41657_-												Hypothetical
NC_044941.1_42151_42873_-	K00943	K00943	COG0125		phrog_761	VOG00557	FOAM:K00943	240	3.3e-25	82.3	2.7.4.9	tmk, DTYMK; dTMP kinase
NC_044941.1_43171_43626_+						VOG36426	VOG:VOG36426	151	1.9e-110	358.7		sp|P0CA55|VF151_ASFK5 Protein A151R
NC_044941.1_43932_44801_+						VOG36420	VOG:VOG36420	289	6.8e-60	195.5		sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R
NC_044941.1_45007_45723_-		K20032			phrog_9049	VOG00004	KEGG:K20032	238	6e-21	61.4	2.3.1.225	ZDHHC13_17, HIP14; palmitoyltransferase ZDHHC13/17
NC_044941.1_45763_48342_-		K19789	COG1061		phrog_16	VOG36427	VOG:VOG36427	853	0	2092.0		sp|P0C8H0|VF859_ASFK5 Probable helicase A859L
NC_044941.1_48344_48883_-		K04570				VOG00178	VOG:VOG00178	179	6.3e-35	113.1		sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog
NC_044941.1_49127_49540_+						VOG36429	VOG:VOG36429	137	8.1e-100	323.2		sp|P0CA44|VF137_ASFK5 Structural protein A137R
NC_044941.1_49573_50526_-						VOG36428	VOG:VOG36428	317	2e-235	772.7		sp|P0CAD9|VF317_ASFK5 Uncharacterized protein F317L
NC_044941.1_50551_51561_-	K10808	K10808	COG0208		phrog_86	VOG00527	VOG:VOG00527	334	1.3e-97	321.1		sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta
NC_044941.1_51567_53912_+	K10807	K10807	COG0209		phrog_84	VOG00122	FOAM:K10807	781	1.5e-216	714.5	1.17.4.1	RRM1; ribonucleoside-diphosphate reductase subunit M1
NC_044941.1_54429_57596_-		K21501			phrog_4913	VOG00070	VOG:VOG00070	1055	5.3e-164	541.3		sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein
NC_044941.1_57765_58382_+						VOG36431	VOG:VOG36431	205	4.1e-148	483.3		sp|P0CA97|VF205_ASFK5 Uncharacterized protein K205R
NC_044941.1_58471_58707_+						VOG36432	VOG:VOG36432	78	4.7e-56	180.4		sp|P0C9X7|P10_ASFK5 Structural DNA-binding protein p10
NC_044941.1_58704_59294_+	K00857	K00857	COG1435		phrog_592	VOG00282	FOAM:K00857	196	4.2e-37	121.6	2.7.1.21	tdk, TK; thymidine kinase
NC_044941.1_59310_59747_+						VOG36433	VOG:VOG36433	145	1.9e-102	332.6		sp|P0CA48|VF145_ASFK5 Uncharacterized protein K145R
NC_044941.1_59780_61045_+						VOG36434	VOG:VOG36434	421	0	1013.8		sp|P0CAG6|VF421_ASFK5 Uncharacterized protein K421R
NC_044941.1_61064_64792_-	K03010	K03010	COG0085, COG0085		phrog_24349	VOG00359	FOAM:K03010	1242	4e-281	929.1	2.7.7.6	RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2
NC_044941.1_64871_65125_+						VOG36436	VOG:VOG36436	84	2.5e-57	184.4		sp|P0CAL4|VF84_ASFK5 Transmembrane protein EP84R
NC_044941.1_65161_66435_+	K14590	K14590				VOG00845	VOG:VOG00845	424	2e-80	264.0		sp|P41469|CMTR_NPVAC Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
NC_044941.1_66891_67376_+						VOG36435	VOG:VOG36435	161	4e-111	361.0		sp|P0CA59|VF152_ASFK5 Uncharacterized protein EP152R
NC_044941.1_67379_67840_+		K10072				VOG00270	VOG:VOG00270	153	2.4e-27	89.1		sp|A0A7H0DND3|PG162_MONPV Protein OPG162
NC_044941.1_67916_69037_+						VOG36437	VOG:VOG36437	373	1.1e-227	429.9		sp|P0C9V6|CD2H_ASFWA CD2 homolog
NC_044941.1_69146_70240_+		K08991	COG1948			VOG01108	VOG:VOG01108	364	6e-116	380.2		sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
NC_044941.1_70304_73660_-						VOG36438	VOG:VOG36438	1107	0	2709.3		sp|P0CAB3|M1249_ASFK5 Minor capsid protein M1249L
NC_044941.1_73720_74052_-						VOG36438	VOG:VOG36438	110	6.3e-64	209.4		sp|P0CAB3|M1249_ASFK5 Minor capsid protein M1249L
NC_044941.1_74092_75438_+						VOG04185	VOG:VOG04185	448	2.6e-30	98.1		sp|P00971|RLIG_BPT4 RNA ligase 1
NC_044941.1_75525_75914_+						VOG36440	VOG:VOG36440	129	5.1e-94	304.4		sp|P0CA36|VF129_ASFK5 Uncharacterized protein C129R
NC_044941.1_75971_76201_-												Hypothetical
NC_044941.1_76313_76477_+												Hypothetical
NC_044941.1_76639_78792_+						VOG36439	VOG:VOG36439	717	0	1741.7		sp|P0CAJ5|VF717_ASFK5 Uncharacterized protein C717R
NC_044941.1_78809_79096_+						VOG36441	VOG:VOG36441	95	1.4e-69	224.4		sp|P0CA22|RPB9_ASFK5 DNA-directed RNA polymerase RPB9 homolog
