locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
JAGVHI010000018.1_1												Hypothetical
JAGVHI010000018.1_2												Hypothetical
JAGVHI010000018.1_3												Hypothetical
JAGVHI010000018.1_4	K00948	K00948	COG0462		phrog_619	VOG07355	COG:COG0462	293	2.1e-61	203.6		PrsA:Histidine biosynthesis, Purine biosynthesis
JAGVHI010000018.1_5			COG4932				COG:COG4932	394	9.8e-14	45.5		ClfA:
JAGVHI010000018.1_6	K14260	K14260	COG0436		phrog_5879		FOAM:K14260	392	3.2e-108	358.4	2.6.1.66 2.6.1.2	alaA; alanine-synthesizing transaminase
JAGVHI010000018.1_7												Hypothetical
JAGVHI010000018.1_8		K18678	COG0170				COG:COG0170	188	1.9e-35	118.4		SEC59:
JAGVHI010000018.1_9		K19302	COG0671				COG:COG0671	160	2.9e-24	81.7		PgpB:Phospholipid biosynthesis
JAGVHI010000018.1_10		K07025	COG1011		phrog_8468	VOG00933	COG:COG1011	221	5e-35	117.3		YigB:
JAGVHI010000018.1_11												Hypothetical
JAGVHI010000018.1_12	K01951	K01951	COG0518		phrog_11956	VOG09884	COG:COG0518	190	1.7e-57	190.9		GuaA1:Purine biosynthesis
JAGVHI010000018.1_13		K07002	COG3545			VOG00261	COG:COG3545	187	5.3e-42	139.6		YdeN:
JAGVHI010000018.1_14												Hypothetical
JAGVHI010000018.1_15	K01756	K01756	COG0015		phrog_1703	VOG20698	COG:COG0015	441	2.4e-164	543.5		PurB:Purine biosynthesis
JAGVHI010000018.1_16												Hypothetical
JAGVHI010000018.1_17	K00600	K00600	COG0112		phrog_9968	VOG11022	COG:COG0112	465	2e-197	653.2		GlyA:Serine biosynthesis
JAGVHI010000018.1_18	K00600	K00600	COG0112		phrog_9968	VOG11022	COG:COG0112	416	1.2e-230	763.1		GlyA:Serine biosynthesis
JAGVHI010000018.1_19		K03540	COG2023				COG:COG2023	107	1.1e-25	85.9		RPR2:
JAGVHI010000018.1_20												Hypothetical
JAGVHI010000018.1_21		K24971	COG1293				COG:COG1293	309	3.5e-48	160.5		RqcH:
JAGVHI010000018.1_22		K01069	COG0491				COG:COG0491	183	8e-38	126.3		GloB:
JAGVHI010000018.1_23	K03653	K03653	COG1059				COG:COG1059	215	1.9e-65	216.1		ENDO3c:
JAGVHI010000018.1_24		K05337	COG1141				COG:COG1141	115	2.2e-22	75.6		Fer:
JAGVHI010000018.1_25												Hypothetical
JAGVHI010000018.1_26		K17104	COG1646		phrog_17890		COG:COG1646	252	4.1e-79	262.5		PcrB:
JAGVHI010000018.1_27	K01784	K01784	COG3320		phrog_540	VOG00055	FOAM:K01784	369	5.3e-56	186.8	5.1.3.2	galE, GALE; UDP-glucose 4-epimerase
JAGVHI010000018.1_28		K06865	COG1855, COG4956			VOG00282	KEGG:K06865	530	6.6e-217	717.4		K06865; ATPase
JAGVHI010000018.1_29												Hypothetical
JAGVHI010000018.1_30		K01597	COG3407				KEGG:K01597	343	5.4e-125	414.2	4.1.1.33	MVD, mvaD; diphosphomevalonate decarboxylase
JAGVHI010000018.1_31												Hypothetical
JAGVHI010000018.1_32		K07566	COG0009		phrog_27533	VOG05125	COG:COG0009	207	8.1e-62	205.4		TsaC:tRNA modification
JAGVHI010000018.1_33	K02493	K11754, K02493	COG0285, COG2890		phrog_16655, phrog_16655, phrog_11787		COG:COG0285	662	2.7e-142	466.3		FolC:Folate biosynthesis
JAGVHI010000018.1_34		K01934	COG0212		phrog_6697		COG:COG0212	180	1.2e-52	174.8		FAU1:
JAGVHI010000018.1_35	K11175	K11175	COG0299		phrog_9240	VOG03147	COG:COG0299	207	2e-90	299.8		PurN:Purine biosynthesis
JAGVHI010000018.1_36		K09167	COG3402				KEGG:K09167	319	1.5e-14	50.0		K09167; uncharacterized protein
JAGVHI010000018.1_37												Hypothetical
JAGVHI010000018.1_38			COG4954				COG:COG4954	145	1.5e-24	82.4		:
JAGVHI010000018.1_39		K02925	COG0087				COG:COG0087	321	3.1e-63	209.6		RplC:Ribosome 50S subunit
JAGVHI010000018.1_40		K02930	COG0088				KEGG:K02930	258	9.3e-54	178.9		RP-L4e, RPL4; large subunit ribosomal protein L4e
JAGVHI010000018.1_41		K02893	COG0089				COG:COG0089	80	3.4e-24	81.2		RplW:Ribosome 50S subunit
JAGVHI010000018.1_42		K02938	COG0090				KEGG:K02938	257	1.4e-62	207.9		RP-L8e, RPL8; large subunit ribosomal protein L8e
JAGVHI010000018.1_43		K02965	COG0185				COG:COG0185	135	1.1e-34	115.3		RpsS:Ribosome 30S subunit
JAGVHI010000018.1_44		K02890	COG0091				COG:COG0091	234	2.1e-19	63.2		RplV:Ribosome 50S subunit
JAGVHI010000018.1_45		K02982	COG0092				COG:COG0092	247	3e-46	153.7		RpsC:Ribosome 30S subunit
JAGVHI010000018.1_46		K02904	COG0255				COG:COG0255	81	1.7e-12	43.5		RpmC:Ribosome 50S subunit
JAGVHI010000018.1_47		K03113	COG0023		phrog_15908	VOG10265	COG:COG0023	100	2.5e-24	82.0		SUI1:Translation factors
JAGVHI010000018.1_48		K03538	COG1588				COG:COG1588	92	2.6e-32	107.2		POP4:
JAGVHI010000018.1_49		K02961	COG0186				COG:COG0186	134	2.4e-31	105.8		RpsQ:Ribosome 30S subunit
JAGVHI010000018.1_50		K02874	COG0093				COG:COG0093	133	3e-38	126.4		RplN:Ribosome 50S subunit
JAGVHI010000018.1_51		K02898	COG0198				KEGG:K02898	108	8.9e-22	73.7		RP-L26e, RPL26; large subunit ribosomal protein L26e
JAGVHI010000018.1_52		K02987	COG1471				COG:COG1471	233	4.5e-68	224.7		RPS4A:Archaeal ribosomal proteins
JAGVHI010000018.1_53		K02868	COG0094				COG:COG0094	172	3.8e-50	166.5		RplE:Ribosome 50S subunit
JAGVHI010000018.1_54		K02980	COG0199				KEGG:K02980	52	1.1e-13	47.7		RP-S29e, RPS29; small subunit ribosomal protein S29e
JAGVHI010000018.1_55		K02957	COG0096				COG:COG0096	129	2.2e-32	107.6		RpsH:Ribosome 30S subunit
JAGVHI010000018.1_56		K02940	COG0097				COG:COG0097	163	4.3e-38	126.4		RplF:Ribosome 50S subunit
JAGVHI010000018.1_57		K02912	COG1717				COG:COG1717	122	6.6e-28	93.9		Rpl32e:Archaeal ribosomal proteins
JAGVHI010000018.1_58		K02885	COG2147				COG:COG2147	149	2.3e-42	140.4		RPL19A:Archaeal ribosomal proteins
JAGVHI010000018.1_59		K02881	COG0256				COG:COG0256	188	5.3e-30	100.6		RplR:Ribosome 50S subunit
JAGVHI010000018.1_60		K02981	COG0098				COG:COG0098	225	1.2e-55	184.6		RpsE:Ribosome 30S subunit
JAGVHI010000018.1_61		K02937	COG1841				COG:COG1841	150	1.2e-37	125.5		RpmD:Ribosome 50S subunit
JAGVHI010000018.1_62		K02876	COG0200				COG:COG0200	152	2.6e-18	61.6		RplO:Ribosome 50S subunit
JAGVHI010000018.1_63												Hypothetical
JAGVHI010000018.1_64		K10956	COG0201				KEGG:K10956	506	2.3e-86	283.2		SEC61A; protein transport protein SEC61 subunit alpha
JAGVHI010000018.1_65			COG2019		phrog_6931		COG:COG2019	181	1.7e-45	150.8		AdkA:
JAGVHI010000018.1_66			COG1422				COG:COG1422	199	1.4e-22	75.7		YidC:
JAGVHI010000018.1_67		K02915	COG2174				COG:COG2174	108	1.9e-24	82.2		RPL34A:Archaeal ribosomal proteins
JAGVHI010000018.1_68	K00945	K00945	COG1102				COG:COG1102	174	2.1e-48	161.2		CmkB:
JAGVHI010000018.1_69			COG2163				COG:COG2163	55	6.6e-12	41.4		RPL14A:Ribosome 50S subunit
JAGVHI010000018.1_70		K11131	COG0130			VOG21314	KEGG:K11131	318	8.8e-111	367.4	5.4.99.-	DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4
JAGVHI010000018.1_71	K02011	K02011	COG1178		phrog_1577, phrog_1577		COG:COG1178	503	6.6e-86	284.5		FbpB:
JAGVHI010000018.1_72	K02052	K02052	COG3842		phrog_293	VOG35465	FOAM:K02052	344	8.9e-127	420.5		ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
JAGVHI010000018.1_73												Hypothetical
JAGVHI010000018.1_74												Hypothetical
JAGVHI010000018.1_75		K02964	COG0099				COG:COG0099	235	1.3e-32	108.6		RpsM:Ribosome 30S subunit
JAGVHI010000022.1_1		K09014	COG0719, COG1372		phrog_12033, phrog_12033	VOG07197	KEGG:K09014	790	1.7e-194	643.5		sufB; Fe-S cluster assembly protein SufB
JAGVHI010000022.1_2	K09013	K09013	COG0396		phrog_293	VOG02992	COG:COG0396	257	8.2e-117	385.3		SufC:
JAGVHI010000022.1_3		K11717	COG0520		phrog_12787	VOG21354	KEGG:K11717	408	2.7e-201	667.1	2.8.1.7 4.4.1.16	sufS; cysteine desulfurase / selenocysteine lyase
JAGVHI010000022.1_4		K04488	COG0822		phrog_8429	VOG17129	COG:COG0822	126	3.9e-45	150.3		IscU:
JAGVHI010000022.1_5		K00809	COG1899				COG:COG1899	328	8.1e-120	396.1		DYS1:
JAGVHI010000022.1_6												Hypothetical
JAGVHI010000022.1_7												Hypothetical
JAGVHI010000022.1_8												Hypothetical
JAGVHI010000022.1_9		K13985	COG2220		phrog_392		COG:COG2220	208	3.1e-50	167.2		UlaG:
JAGVHI010000022.1_10		K00858	COG0061		phrog_13155		COG:COG0061	253	2.3e-50	167.7		NadK:
JAGVHI010000022.1_11												Hypothetical
JAGVHI010000022.1_12												Hypothetical
JAGVHI010000022.1_13												Hypothetical
JAGVHI010000022.1_14												Hypothetical
JAGVHI010000022.1_15												Hypothetical
JAGVHI010000022.1_16												Hypothetical
JAGVHI010000022.1_17												Hypothetical
JAGVHI010000022.1_18												Hypothetical
JAGVHI010000022.1_19												Hypothetical
JAGVHI010000022.1_20			COG4347				COG:COG4347	196	5.6e-39	129.5		YpjA:
JAGVHI010000022.1_21			COG1572, COG1572				COG:COG1572	389	5.1e-30	52.2		:
JAGVHI010000022.1_22			COG1572				COG:COG1572	440	5.9e-28	92.8		:
JAGVHI010000022.1_23	K02319	K02319	COG0417		phrog_262	VOG00345	FOAM:K02319	795	7e-244	807.6	2.7.7.7	pol; DNA polymerase, archaea type
