locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
AM419438.1_499_810_-												Hypothetical
AM419438.1_1146_1805_+												Hypothetical
AM419438.1_2541_3191_-												Hypothetical
AM419438.1_3247_3441_+												Hypothetical
AM419438.1_3547_3993_+												Hypothetical
AM419438.1_3993_4463_+												Hypothetical
AM419438.1_4456_4851_+					phrog_27279	VOG26248	VOG:VOG26248	131	8e-85	273.2		REFSEQ hypothetical protein
AM419438.1_4844_5218_+												Hypothetical
AM419438.1_5232_5672_-												Hypothetical
AM419438.1_6637_7713_+												Hypothetical
AM419438.1_8689_8949_+												Hypothetical
AM419438.1_8950_9153_+												Hypothetical
AM419438.1_9159_9425_-		K07725	COG5340		phrog_2440	VOG01379	PHROG:phrog_2440	88	7.1e-36	114.1		transcriptional regulator
AM419438.1_9660_10022_+		K10947	COG1695		phrog_4278	VOG11953	VOG:VOG11953	120	4.2e-60	192.4		REFSEQ helix-turn-helix transcriptional regulator
AM419438.1_10153_10890_+												Hypothetical
AM419438.1_10880_11806_+												Hypothetical
AM419438.1_11946_12671_+												Hypothetical
AM419438.1_12757_13092_+												Hypothetical
AM419438.1_13270_14487_-		K04763	COG4974		phrog_1	VOG00056	COG:COG4974	405	1.2e-26	84.9		XerD; 
AM419438.1_14819_15307_+												Hypothetical
AM419438.1_15489_17603_+		K10726	COG1241		phrog_10371	VOG14467	VOG:VOG14467	704	0	1024.5		sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM
AM419438.1_17606_18058_+												Hypothetical
AM419438.1_18055_18519_+												Hypothetical
AM419438.1_18814_19074_+												Hypothetical
AM419438.1_19234_19806_+					phrog_27334	VOG36398	VOG:VOG36398	190	1.2e-121	395.5		REFSEQ hypothetical protein
AM419438.1_20365_21843_+					phrog_284	VOG02246	VOG:VOG02246	492	1e-60	195.3		sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ
AM419438.1_22108_22416_+												Hypothetical
AM419438.1_22574_23083_+					phrog_1482	VOG00189	VOG:VOG00189	169	6.6e-40	128.9		REFSEQ terminase small subunit
AM419438.1_23080_24423_+		K06909	COG1783		phrog_5653	VOG07294	COG:COG1783	447	2.7e-33	106.3		XtmB; 
AM419438.1_24427_26382_+			COG5518		phrog_12, phrog_3292	VOG00344	VOG:VOG00344	651	1.6e-70	229.7		sp|Q6QGD5|PORTL_BPT5 Portal protein
AM419438.1_26590_27933_+												Hypothetical
AM419438.1_27949_29031_+					phrog_1623	VOG01409	PHROG:phrog_1623	360	5.6e-69	224.1		virion structural protein
AM419438.1_29040_29219_+												Hypothetical
AM419438.1_29222_29572_+												Hypothetical
AM419438.1_29576_30451_+												Hypothetical
AM419438.1_30758_31210_+					phrog_18530	VOG36399	VOG:VOG36399	150	1.7e-102	331.1		REFSEQ hypothetical protein
AM419438.1_31207_31734_+					phrog_25153	VOG36400	VOG:VOG36400	175	2.2e-117	380.8		REFSEQ hypothetical protein
AM419438.1_31766_32680_+					phrog_18409	VOG36401	VOG:VOG36401	304	3.3e-200	654.8		REFSEQ minor tail protein
AM419438.1_32680_33177_+					phrog_19457	VOG36403	VOG:VOG36403	165	2.9e-105	340.7		REFSEQ hypothetical protein
AM419438.1_33281_34408_+												Hypothetical
AM419438.1_34444_34731_+												Hypothetical
AM419438.1_34771_35439_+					phrog_20675	VOG36404	VOG:VOG36404	222	1.9e-138	450.6		REFSEQ hypothetical protein
AM419438.1_35446_36633_+					phrog_18406	VOG36405	VOG:VOG36405	395	2.4e-248	814.8		REFSEQ hypothetical protein
AM419438.1_36634_38226_+												Hypothetical
AM419438.1_38229_40979_+												Hypothetical
AM419438.1_41023_41400_+												Hypothetical
