target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_2244091_2244630_-	VOG00002	1.5e-13	48.6	179	3	73
strain_GIC31_complete_genome_2667918_2669108_-	VOG00002	1.5e-12	45.1	396	1	282
strain_GIC31_complete_genome_287257_287466_-	VOG00002	1e-10	39.2	69	3	64
strain_GIC31_complete_genome_152114_152593_-	VOG00002	5.4e-08	30.2	159	11	127
strain_GIC31_complete_genome_119458_119664_+	VOG00002	8.2e-08	29.8	68	9	67
strain_GIC31_complete_genome_710653_711252_+	VOG00002	8.8e-08	29.4	199	12	84
strain_GIC31_complete_genome_2313179_2314402_-	VOG00004	2.9e-13	46.2	407	326	402
strain_GIC31_complete_genome_1756183_1758126_-	VOG00025	7.8e-53	175.9	647	7	423
strain_GIC31_complete_genome_2016598_2016912_-	VOG00033	3.6e-18	62.8	104	7	101
strain_GIC31_complete_genome_2114312_2114731_-	VOG00033	9.5e-13	45.0	139	8	133
strain_GIC31_complete_genome_1184032_1184346_-	VOG00033	3.6e-11	39.9	104	6	88
strain_GIC31_complete_genome_941190_941534_+	VOG00033	9.3e-10	35.1	114	12	99
strain_GIC31_complete_genome_2101272_2102393_+	VOG00033	3.4e-07	26.5	373	249	353
strain_GIC31_complete_genome_1457576_1458067_-	VOG00033	5.1e-07	25.7	163	35	157
strain_GIC31_complete_genome_657990_658313_+	VOG00033	6.6e-07	25.7	107	11	83
strain_GIC31_complete_genome_2331232_2331786_-	VOG00033	9.2e-07	25.3	184	70	140
strain_GIC31_complete_genome_560065_561672_-	VOG00051	2.2e-15	52.8	535	397	533
strain_GIC31_complete_genome_560065_561672_-	VOG01034	8.8e-09	31.2	535	16	86
strain_GIC31_complete_genome_358927_359628_-	VOG00051	1.1e-14	50.8	233	63	228
strain_GIC31_complete_genome_577815_579869_-	VOG00051	1.2e-14	50.8	684	561	681
strain_GIC31_complete_genome_500789_501877_+	VOG00055	3.7e-81	271.2	362	4	345
strain_GIC31_complete_genome_499836_500780_+	VOG00055	3e-68	228.7	314	3	311
strain_GIC31_complete_genome_493254_494270_-	VOG00055	5.5e-67	224.4	338	1	334
strain_GIC31_complete_genome_323825_325804_+	VOG00055	2.5e-40	135.6	659	308	578
strain_GIC31_complete_genome_1328156_1329193_-	VOG00055	1.2e-17	61.5	341	2	273
strain_GIC31_complete_genome_179862_180497_+	VOG00055	2.5e-15	53.6	211	1	154
strain_GIC31_complete_genome_2604557_2605627_+	VOG00055	7.1e-14	49.2	356	4	246
strain_GIC31_complete_genome_2253394_2254302_+	VOG00055	8.3e-13	44.7	302	1	247
strain_GIC31_complete_genome_817385_818797_+	VOG00055	2e-11	40.5	470	2	258
strain_GIC31_complete_genome_2343100_2343852_+	VOG00055	1.9e-10	35.3	250	1	235
strain_GIC31_complete_genome_877076_877915_+	VOG00055	7.1e-09	27.4	279	1	249
strain_GIC31_complete_genome_1877392_1878114_+	VOG09790	1.6e-36	123.3	240	4	239
strain_GIC31_complete_genome_2646087_2646779_+	VOG00055	2.2e-07	27.4	230	27	130
strain_GIC31_complete_genome_1397568_1398188_+	VOG00055	2.7e-07	27.4	206	1	68
strain_GIC31_complete_genome_2643296_2643943_-	VOG00055	6e-07	26.1	215	2	68
strain_GIC31_complete_genome_1349896_1350906_-	VOG00056	4.1e-61	202.6	336	31	331
strain_GIC31_complete_genome_1190737_1191621_+	VOG00056	4e-60	201.5	294	9	287
strain_GIC31_complete_genome_1722772_1723653_-	VOG00056	1.3e-50	170.0	293	18	288
strain_GIC31_complete_genome_512872_513741_-	VOG00056	1e-48	163.9	289	4	288
strain_GIC31_complete_genome_1222135_1223145_-	VOG00056	6.1e-10	35.8	336	7	245
strain_GIC31_complete_genome_529717_530742_+	VOG00060	3.1e-15	52.8	341	28	207
strain_GIC31_complete_genome_1058407_1059315_+	VOG00060	3.9e-13	45.4	302	7	170
strain_GIC31_complete_genome_1991746_1992342_-	VOG00060	1.7e-12	39.6	198	25	194
strain_GIC31_complete_genome_2865280_2866662_-	VOG00060	1.7e-08	30.5	460	225	383
strain_GIC31_complete_genome_1677710_1679953_-	VOG01129	6.1e-44	139.1	747	252	492
strain_GIC31_complete_genome_1028728_1030551_+	VOG01129	5.1e-35	117.7	607	7	274
strain_GIC31_complete_genome_1831871_1833715_-	VOG33006	4.5e-37	113.3	614	6	134
strain_GIC31_complete_genome_152734_153276_-	VOG00066	3.4e-08	30.9	180	72	134
strain_GIC31_complete_genome_2821200_2822381_-	VOG00072	2.7e-115	383.6	393	8	382
strain_GIC31_complete_genome_180569_181741_-	VOG00072	2.5e-114	380.6	390	4	379
strain_GIC31_complete_genome_465305_466504_-	VOG00072	4.4e-104	346.8	344	2	342
strain_GIC31_complete_genome_970091_971329_+	VOG00072	4.9e-98	326.7	412	48	411
strain_GIC31_complete_genome_449059_450150_+	VOG00072	2.4e-94	314.6	363	1	361
strain_GIC31_complete_genome_580925_581680_+	VOG00072	8.3e-16	55.0	251	18	247
strain_GIC31_complete_genome_994058_996655_+	VOG07202	3e-43	145.2	865	2	256
strain_GIC31_complete_genome_994058_996655_+	VOG00075	8.8e-116	385.3	865	384	864
strain_GIC31_complete_genome_1682303_1686667_-	VOG07446	2.5e-86	35.4	1454	1038	1191
strain_GIC31_complete_genome_1682303_1686667_-	VOG07446	2.5e-86	52.2	1454	1272	1439
strain_GIC31_complete_genome_1682303_1686667_-	VOG00088	5.3e-30	101.1	1454	433	601
strain_GIC31_complete_genome_1682303_1686667_-	VOG07446	2.5e-86	63.7	1454	334	416
strain_GIC31_complete_genome_1682303_1686667_-	VOG07446	2.5e-86	108.0	1454	619	920
strain_GIC31_complete_genome_1615983_1618802_-	VOG04419	8.8e-47	156.3	939	244	907
strain_GIC31_complete_genome_1615983_1618802_-	VOG00088	1.4e-26	90.5	939	1	192
strain_GIC31_complete_genome_1285497_1286063_-	VOG00088	7.4e-20	68.6	188	2	171
strain_GIC31_complete_genome_1601554_1602711_-	VOG00075	6.8e-08	28.4	369	66	251
strain_GIC31_complete_genome_198709_200556_-	VOG06047	1.2e-82	41.5	615	11	91
strain_GIC31_complete_genome_198709_200556_-	VOG06047	1.2e-82	231.7	615	112	503
strain_GIC31_complete_genome_744138_744965_+	VOG00089	7.9e-28	32.2	275	20	111
strain_GIC31_complete_genome_744138_744965_+	VOG00089	7.9e-28	60.5	275	143	266
strain_GIC31_complete_genome_2536614_2537075_-	VOG00123	2.2e-22	77.7	145	29	126
strain_GIC31_complete_genome_2489034_2489495_+	VOG00089	2.1e-19	67.0	153	37	128
strain_GIC31_complete_genome_1408534_1409043_-	VOG00089	2.2e-18	63.7	169	6	147
strain_GIC31_complete_genome_1838312_1838755_+	VOG00089	1.6e-16	57.7	147	1	141
strain_GIC31_complete_genome_1572721_1573167_+	VOG00123	1.3e-20	71.9	148	37	145
strain_GIC31_complete_genome_139717_140151_+	VOG00089	4e-15	53.2	144	25	131
strain_GIC31_complete_genome_154329_154793_+	VOG00089	7.2e-15	52.3	154	7	147
strain_GIC31_complete_genome_2342436_2343005_-	VOG00123	1.9e-13	48.1	189	104	168
strain_GIC31_complete_genome_1359919_1360461_-	VOG00123	9.7e-15	52.6	180	65	156
