locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
JAFEAZ010000010.1_1												Hypothetical
JAFEAZ010000010.1_2												Hypothetical
JAFEAZ010000010.1_3												Hypothetical
JAFEAZ010000010.1_4												Hypothetical
JAFEAZ010000011.1_1		K13884	COG5164		phrog_6320	VOG01091	VOG:VOG01091	364	1.4e-33	112.4		sp|B4YNE6|V6_SPTNK Collagen-like protein V6
JAFEAZ010000011.1_2		K06236			phrog_8745	VOG01091	VOG:VOG01091	371	3e-11	39.2		sp|B4YNE6|V6_SPTNK Collagen-like protein V6
JAFEAZ010000011.1_3												Hypothetical
JAFEAZ010000011.1_4		K13276					KEGG:K13276	291	6.1e-09	27.4	3.4.21.-	bpr; bacillopeptidase F
JAFEAZ010000011.1_5												Hypothetical
JAFEAZ010000011.1_6												Hypothetical
JAFEAZ010000011.1_7		K12686	COG5571	CE16	phrog_22576		KEGG:K12686	637	7.6e-80	265.1		apeE, estA, lip-1; outer membrane lipase/esterase
JAFEAZ010000011.1_8		K02836	COG1186		phrog_19918	VOG01215	KEGG:K02836	364	7.5e-149	492.2		prfB; peptide chain release factor 2
JAFEAZ010000011.1_9												Hypothetical
JAFEAZ010000011.1_10												Hypothetical
JAFEAZ010000011.1_11			COG1297				COG:COG1297	536	1.2e-32	108.2		OPT:
JAFEAZ010000011.1_12		K15269	COG0697		phrog_17492		COG:COG0697	310	1.9e-50	167.6		RhaT:
JAFEAZ010000011.1_13		K03798	COG0465		phrog_30773	VOG00842	KEGG:K03798	319	2.8e-88	293.0	3.4.24.-	ftsH, hflB; cell division protease FtsH
JAFEAZ010000011.1_14												Hypothetical
JAFEAZ010000011.1_15		K00997	COG0736				KEGG:K00997	142	2.7e-19	65.5	2.7.8.7	acpS; holo-[acyl-carrier protein] synthase
JAFEAZ010000011.1_16		K07391	COG0606			VOG02489	COG:COG0606	542	3e-220	728.4		YifB:
JAFEAZ010000011.1_17												Hypothetical
JAFEAZ010000012.1_1												Hypothetical
JAFEAZ010000012.1_2		K05770	COG3476			VOG33655	COG:COG3476	160	1.4e-49	164.9		TspO:
