L1	L2	L3	KO	Function	EC	Count
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1
